ApsimVersion = 6.1
Title = forest Sample Simulation
           date            age             fw           fvpd             ft             fn            lai         height           stem         branch           bark
             ()        (years)          (0-1)          (0-1)          (0-1)          (0-1)        (m2/m2)           (mm)        (kg/ha)        (kg/ha)        (kg/ha)
     31/01/1987          0.085          1.000          1.000          0.800          0.989          0.114        643.476           20.5            6.9            3.1
     28/02/1987          0.162          1.000          1.000          1.000          0.982          0.250       1075.724           73.3           24.8           11.2
     31/03/1987          0.246          1.000          0.904          1.000          0.990          0.518       1730.194          234.9           79.5           35.8
     30/04/1987          0.329          1.000          1.000          1.000          0.996          0.702       2325.200          481.0          162.5           73.4
     31/05/1987          0.413          1.000          1.000          0.783          0.998          0.821       2779.663          741.1          250.1          113.0
     30/06/1987          0.496          1.000          1.000          0.467          0.998          0.915       3098.540          964.4          324.9          147.1
     31/07/1987          0.580          1.000          0.991          0.633          0.997          1.026       3413.838         1229.3          413.7          187.5
     31/08/1987          0.665          1.000          1.000          0.867          0.996          1.215       3860.613         1667.7          560.3          254.3
     30/09/1987          0.747          1.000          0.937          1.000          0.995          1.521       4447.474         2373.2          796.1          361.8
     31/10/1987          0.832          1.000          0.969          1.000          0.996          1.929       5122.950         3366.3         1125.7          513.2
     30/11/1987          0.914          1.000          0.914          0.950          0.994          2.420       5830.244         4635.0         1543.4          706.4
     31/12/1987          0.999          1.000          1.000          0.975          0.997          3.019       6628.887         6349.2         2099.7          967.3
     31/01/1988          1.084          1.000          1.000          0.875          0.994          3.692       7430.402         8428.4         2763.7         1283.5
     29/02/1988          1.164          1.000          1.000          0.950          0.998          4.351       8183.073        10650.0         3463.4         1621.2
     31/03/1988          1.248          1.000          1.000          1.000          0.999          4.976       8887.970        13041.2         4203.0         1984.3
     30/04/1988          1.331          1.000          1.000          1.000          0.997          5.389       9428.039        15101.9         4819.7         2296.7
     31/05/1988          1.415          1.000          1.000          0.800          0.973          5.696       9886.474        16977.4         5368.6         2580.7
     30/06/1988          1.498          1.000          1.000          0.700          0.946          5.863      10225.459        18451.6         5787.6         2803.6
     31/07/1988          1.582          1.000          1.000          0.783          0.923          5.993      10548.200        19940.7         6201.9         3028.6
     31/08/1988          1.667          1.000          1.000          0.850          0.858          6.248      10936.926        21795.3         6731.8         3309.1
     30/09/1988          1.750          1.000          0.841          1.000          0.714          6.561      11373.445        24033.5         7366.7         3647.4
     31/10/1988          1.834          1.000          0.976          1.000          0.621          6.848      11822.076        26433.2         8034.8         4009.9
     30/11/1988          1.917          1.000          0.921          0.925          0.571          6.953      12177.153        28425.9         8559.0         4310.0
     31/12/1988          2.001          1.000          0.957          1.000          0.561          6.919      12475.416        30169.4         8986.0         4571.9
     31/01/1989          2.086          1.000          0.971          0.800          0.547          6.990      12785.904        32059.0         9455.1         4855.7
     28/02/1989          2.163          1.000          1.000          1.000          0.566          6.878      13005.368        33419.4         9746.1         5058.8
     31/03/1989          2.248          1.000          1.000          1.000          0.589          6.737      13230.071        34836.1        10035.1         5270.0
     30/04/1989          2.330          1.000          1.000          1.000          0.620          6.552      13413.485        36073.7        10262.5         5453.7
     31/05/1989          2.415          1.000          1.000          0.917          0.660          6.306      13570.120        37114.8        10420.1         5607.3
     30/06/1989          2.497          1.000          1.000          0.867          0.649          6.244      13722.398        38149.1        10629.9         5761.2
     31/07/1989          2.582          1.000          1.000          0.800          0.631          6.209      13862.583        39130.9        10835.7         5907.5
     31/08/1989          2.667          1.000          1.000          0.800          0.573          6.306      14063.058        40553.2        11176.8         6120.7
     30/09/1989          2.749          1.000          1.000          0.967          0.529          6.361      14287.291        42165.6        11539.6         6361.6
     31/10/1989          2.834          1.000          0.976          1.000          0.518          6.343      14512.178        43838.5        11884.7         6610.6
     30/11/1989          2.916          1.000          0.959          1.000          0.510          6.289      14718.494        45386.8        12185.7         6840.5
     31/12/1989          3.001          1.000          0.964          1.000          0.500          6.273      14935.189        47062.4        12521.8         7089.6
     31/01/1990          3.086          1.000          0.967          1.000          0.498          6.280      15147.332        48720.5        12851.9         7335.9
     28/02/1990          3.162          1.000          1.000          1.000          0.507          6.262      15310.771        50024.9        13100.9         7529.4
     31/03/1990          3.247          1.000          1.000          1.000          0.540          6.089      15461.377        51248.8        13264.9         7708.8
     30/04/1990          3.329          1.000          1.000          0.883          0.571          5.894      15584.274        52270.0        13372.7         7857.7
     31/05/1990          3.414          1.000          1.000          1.000          0.592          5.727      15711.812        53325.1        13491.4         8011.5
     30/06/1990          3.496          1.000          1.000          0.617          0.588          5.654      15825.024        54271.9        13629.5         8150.5
     31/07/1990          3.581          1.000          1.000          0.650          0.569          5.624      15951.148        55334.0        13805.7         8307.0
     31/08/1990          3.666          1.000          1.000          0.867          0.516          5.707      16106.278        56689.6        14084.2         8508.4
     30/09/1990          3.748          1.000          1.000          0.933          0.495          5.698      16255.462        58011.2        14310.4         8703.2
     31/10/1990          3.833          1.000          0.987          1.000          0.486          5.659      16422.361        59502.9        14545.6         8922.5
     30/11/1990          3.915          1.000          0.878          1.000          0.468          5.667      16595.332        61068.3        14812.3         9153.2
     31/12/1990          4.000          1.000          1.000          0.850          0.468          5.645      16749.410        62453.4        15033.4         9356.8
     31/01/1991          4.085          1.000          0.969          0.850          0.478          5.575      16881.852        63693.6        15201.9         9538.1
     28/02/1991          4.161          1.000          1.000          1.000          0.480          5.521      17008.508        64886.5        15367.1         9712.5
     31/03/1991          4.246          1.000          1.000          1.000          0.487          5.429      17149.223        66191.1        15523.7         9902.5
     30/04/1991          4.329          1.000          1.000          0.967          0.514          5.291      17265.270        67315.2        15620.6        10064.8
     31/05/1991          4.413          1.000          1.000          0.867          0.552          5.100      17361.180        68251.1        15651.5        10198.3
     30/06/1991          4.496          1.000          1.000          0.850          0.555          5.009      17459.941        69220.7        15739.9        10338.4
     31/07/1991          4.580          1.000          0.983          0.600          0.524          5.026      17568.400        70293.9        15907.0        10495.6
     31/08/1991          4.665          1.000          0.915          0.717          0.488          5.060      17686.250        71469.0        16099.6        10668.1
     30/09/1991          4.747          1.000          0.746          1.000          0.462          5.081      17816.959        72787.3        16302.1        10861.0
     31/10/1991          4.832          1.000          0.994          0.943          0.465          5.021      17947.098        74113.7        16451.7        11053.3
     30/11/1991          4.914          1.000          0.903          0.950          0.465          4.976      18075.879        75424.2        16604.4        11243.4
     31/12/1991          4.999          1.000          0.997          0.885          0.455          4.943      18210.076        76815.8        16771.7        11445.3
     31/01/1992          5.084          1.000          1.000          0.995          0.448          4.933      18341.650        78186.0        16950.3        11644.6
     29/02/1992          5.164          1.000          1.000          1.000          0.470          4.822      18436.443        79197.4        17011.6        11789.1
     31/03/1992          5.248          1.000          1.000          1.000          0.492          4.681      18537.793        80270.7        17052.1        11941.6
     30/04/1992          5.331          1.000          1.000          1.000          0.523          4.520      18622.838        81180.2        17049.6        12069.4
     31/05/1992          5.415          1.000          1.000          0.833          0.552          4.364      18694.697        81961.2        17029.2        12178.4
     30/06/1992          5.498          1.000          1.000          0.763          0.527          4.355      18776.373        82844.2        17128.3        12305.9
     31/07/1992          5.583          1.000          1.000          0.750          0.505          4.341      18858.312        83755.4        17226.3        12437.3
     31/08/1992          5.667          1.000          1.000          0.707          0.476          4.344      18950.865        84773.3        17348.0        12584.5
     30/09/1992          5.750          1.000          0.897          0.780          0.454          4.328      19051.418        85903.0        17464.0        12747.1
     31/10/1992          5.834          1.000          0.983          1.000          0.434          4.310      19163.271        87153.3        17589.5        12926.9
     30/11/1992          5.917          1.000          0.978          1.000          0.425          4.272      19268.469        88340.4        17690.4        13096.9
     31/12/1992          6.001          1.000          1.000          1.000          0.432          4.187      19367.152        89452.9        17741.6        13254.5
     31/01/1993          6.086          1.000          1.000          0.920          0.439          4.157      19469.867        90638.8        17815.4        13423.1
     28/02/1993          6.163          1.000          0.983          0.785          0.451          4.106      19552.861        91599.1        17849.3        13558.5
     31/03/1993          6.248          1.000          1.000          0.947          0.463          4.043      19645.109        92667.8        17877.0        13708.8
     30/04/1993          6.330          1.000          1.000          0.973          0.479          3.972      19728.006        93632.2        17883.9        13843.6
     31/05/1993          6.415          1.000          1.000          0.840          0.500          3.884      19797.986        94447.8        17859.2        13956.2
     30/06/1993          6.497          1.000          1.000          0.550          0.492          3.873      19864.439        95237.6        17899.1        14067.8
     31/07/1993          6.582          1.000          1.000          0.833          0.511          3.785      19923.613        95952.4        17859.6        14165.7
     31/08/1993          6.667          1.000          1.000          0.953          0.478          3.820      20004.307        96914.0        17949.0        14303.0
     30/09/1993          6.749          1.000          1.000          0.827          0.455          3.830      20087.219        97910.6        18017.2        14444.3
     31/10/1993          6.834          1.000          1.000          1.000          0.438          3.827      20179.629        99014.1        18077.8        14600.0
     30/11/1993          6.916          1.000          0.970          1.000          0.437          3.793      20263.336       100063.2        18104.0        14746.6
     31/12/1993          7.001          1.000          0.964          0.870          0.422          3.790      20357.195       101210.1        18161.9        14908.1
     31/01/1994          7.086          1.000          1.000          1.000          0.402          3.823      20451.471       102359.3        18255.8        15071.2
     28/02/1994          7.162          1.000          1.000          1.000          0.410          3.770      20524.082       103266.2        18252.2        15196.7
     31/03/1994          7.247          1.000          1.000          1.000          0.420          3.701      20599.168       104196.6        18228.8        15324.4
     30/04/1994          7.329          1.000          1.000          1.000          0.441          3.612      20662.555       104985.2        18173.4        15431.1
     31/05/1994          7.414          1.000          1.000          0.950          0.456          3.549      20722.844       105747.5        18136.6        15534.8
     30/06/1994          7.496          1.000          1.000          0.553          0.448          3.541      20776.484       106427.3        18150.3        15629.2
     31/07/1994          7.581          1.000          1.000          0.633          0.428          3.553      20830.422       107114.1        18185.2        15725.4
     31/08/1994          7.666          1.000          1.000          0.687          0.408          3.571      20889.844       107873.2        18229.0        15831.9
     30/09/1994          7.748          1.000          0.896          0.925          0.392          3.578      20962.039       108800.9        18267.9        15961.4
     31/10/1994          7.833          1.000          1.000          1.000          0.401          3.539      21035.465       109752.8        18259.2        16092.1
     30/11/1994          7.915          1.000          0.864          1.000          0.402          3.529      21115.580       110785.9        18280.3        16235.1
     31/12/1994          8.000          1.000          1.000          1.000          0.394          3.528      21197.346       111837.2        18310.1        16381.0
     31/01/1995          8.085          1.000          0.785          0.400          0.401          3.516      21272.316       112836.0        18325.1        16518.8
     28/02/1995          8.162          1.000          1.000          1.000          0.419          3.450      21328.029       113566.2        18275.1        16616.7
     31/03/1995          8.247          1.000          0.967          1.000          0.421          3.427      21401.656       114537.4        18271.3        16749.7
     30/04/1995          8.329          1.000          1.000          1.000          0.442          3.354      21461.598       115323.7        18207.7        16854.4
     31/05/1995          8.414          1.000          1.000          0.933          0.475          3.253      21509.879       115963.6        18103.5        16937.1
     30/06/1995          8.496          1.000          1.000          0.533          0.472          3.229      21558.525       116620.3        18079.6        17025.7
     31/07/1995          8.581          1.000          1.000          0.733          0.448          3.243      21613.459       117355.4        18098.8        17127.0
     31/08/1995          8.666          1.000          1.000          0.867          0.441          3.223      21669.447       118117.9        18081.2        17230.2
     30/09/1995          8.748          1.000          1.000          0.983          0.428          3.212      21735.580       119010.5        18072.0        17351.4
     31/10/1995          8.833          1.000          1.000          1.000          0.421          3.191      21804.305       119946.0        18050.7        17477.8
     30/11/1995          8.915          1.000          1.000          0.975          0.407          3.192      21871.861       120864.8        18053.2        17603.0
     31/12/1995          9.000          1.000          1.000          1.000          0.390          3.199      21945.799       121872.8        18062.5        17740.5
     31/01/1996          9.084          1.000          0.913          0.525          0.387          3.194      22010.215       122771.4        18057.8        17862.3
     29/02/1996          9.164          1.000          1.000          0.900          0.386          3.193      22071.713       123603.7        18059.0        17975.3
     31/03/1996          9.249          1.000          1.000          1.000          0.410          3.142      22130.025       124426.1        18000.1        18083.9
