APSIM output file, version = 5.4
Title = Pasture PI SAMPLE Simulation
           Date           rain          rtdep         rlv(1)         rlv(2)         rlv(3)         rlv(4)         rlv(5)         rlv(6)         rlv(7)          rwu()       sw_dep()             es          no3()          nh4()          fom()            rwu      sw_dep(1)      sw_dep(2)      sw_dep(3)      sw_dep(4)      sw_dep(5)      sw_dep(6)      sw_dep(7)         no3(1)         no3(2)         no3(3)         no3(4)         no3(5)         no3(6)         no3(7)         nh4(1)         nh4(2)         nh4(3)         nh4(4)         nh4(5)         nh4(6)         nh4(7)            fom      cover_tot  residue_cover
             ()           (mm)           (mm)      (mm/mm^3)      (mm/mm^3)      (mm/mm^3)      (mm/mm^3)      (mm/mm^3)      (mm/mm^3)      (mm/mm^3)            (?)           (mm)           (mm)        (kg/ha)        (kg/ha)            (?)            (?)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)            (?)      (m^2/m^2)      (m^2/m^2)
     01/10/1988          0.000        100.000     336000.000          0.000          0.000          0.000          0.000          0.000          0.000              ?        651.179          2.215         83.018          7.549              ?              ?         57.763         44.352         75.209        103.664        124.191        123.000        123.000         16.595         16.462         19.111         10.897          6.222          7.719          6.013          0.600          0.491          1.064          0.995          0.992          1.667          1.741              ?          0.441          0.041
     02/10/1988          0.000        100.000     331085.000          0.000          0.000          0.000          0.000          0.000          0.000              ?        646.826          2.223         84.394          6.492              ?              ?         51.950         45.723         75.469        105.008        122.676        123.000        123.000         16.357         16.986         19.267         11.137          6.343          8.034          6.270          0.609          0.426          0.968          0.845          0.805          1.354          1.485              ?          0.431          0.041
     03/10/1988          0.000        100.000     323470.062          0.000          0.000          0.000          0.000          0.000          0.000              ?        642.514          2.100         85.637          5.573              ?              ?         47.293         45.973         75.759        106.085        121.404        123.000        123.000         16.460         17.172         19.427         11.338          6.448          8.304          6.489          0.597          0.379          0.875          0.723          0.646          1.086          1.267              ?          0.427          0.041
     04/10/1988          0.000        100.000     318054.250          0.000          0.000          0.000          0.000          0.000          0.000              ?        639.233          1.024         86.780          4.745              ?              ?         43.974         45.918         76.071        106.941        120.426        122.903        123.000         16.680         17.250         19.587         11.506          6.548          8.533          6.676          0.543          0.349          0.786          0.625          0.509          0.852          1.081              ?          0.422          0.041
     05/10/1988          0.000        100.000     311668.344          0.000          0.000          0.000          0.000          0.000          0.000              ?        636.426          0.790         87.832          4.003              ?              ?         41.248         45.748         76.399        107.627        119.679        122.725        123.000         16.953         17.281         19.746         11.649          6.644          8.722          6.836          0.455          0.332          0.702          0.549          0.389          0.653          0.923              ?          0.415          0.041
     06/10/1988          0.000        100.000     303364.625          0.000          0.000          0.000          0.000          0.000          0.000              ?        634.407          0.667         88.721          3.402              ?              ?         39.349         45.543         76.741        108.182        119.096        122.497        123.000         17.190         17.295         19.902         11.772          6.727          8.861          6.973          0.384          0.324          0.624          0.489          0.293          0.500          0.788              ?          0.406          0.041
     07/10/1988          0.000        100.000     294405.844          0.000          0.000          0.000          0.000          0.000          0.000              ?        632.930          0.588         89.435          2.951              ?              ?         37.997         45.336         77.094        108.633        118.632        122.238        123.000         17.350         17.308         20.055         11.879          6.794          8.962          7.090          0.363          0.319          0.552          0.441          0.220          0.384          0.673              ?          0.398          0.041
     08/10/1988          0.000        100.000     286476.781          0.000          0.000          0.000          0.000          0.000          0.000              ?        631.844          0.532         90.029          2.594              ?              ?         37.035         45.135         77.457        108.999        118.253        121.965        123.000         17.468         17.320         20.204         11.971          6.844          9.033          7.189          0.355          0.313          0.486          0.402          0.168          0.295          0.575              ?          0.391          0.042
     09/10/1988          0.000        100.000     282468.281          0.000          0.000          0.000          0.000          0.000          0.000              ?        630.932          0.489         90.533          2.302              ?              ?         36.243         44.944         77.828        109.295        117.936        121.687        123.000         17.560         17.334         20.348         12.052          6.881          9.083          7.275          0.352          0.306          0.425          0.368          0.133          0.227          0.491              ?          0.384          0.043
     10/10/1988          0.000        100.000     277953.938          0.000          0.000          0.000          0.000          0.000          0.000              ?        630.202          0.456         90.961          2.053              ?              ?         35.626         44.761         78.207        109.533        117.663        121.411        123.000         17.632         17.347         20.487         12.123          6.908          9.117          7.348          0.348          0.293          0.369          0.338          0.109          0.175          0.420              ?          0.376          0.045
     11/10/1988          0.000        100.000     274024.375          0.000          0.000          0.000          0.000          0.000          0.000              ?        629.602          0.428         91.324          1.844              ?              ?         35.135         44.587         78.592        109.721        117.418        121.154        122.995         17.690         17.359         20.617         12.185          6.927          9.137          7.410          0.346          0.277          0.321          0.310          0.093          0.137          0.359              ?          0.369          0.047
     12/10/1988          0.000        100.000     270446.094          0.000          0.000          0.000          0.000          0.000          0.000              ?        629.092          0.405         91.638          1.675              ?              ?         34.729         44.422         78.982        109.867        117.195        120.933        122.965         17.737         17.370         20.738         12.238          6.943          9.151          7.461          0.345          0.263          0.283          0.287          0.081          0.108          0.307              ?          0.362          0.049
     13/10/1988          0.000        100.000     266158.094          0.000          0.000          0.000          0.000          0.000          0.000              ?        628.667          0.385         91.918          1.541              ?              ?         34.406         44.262         79.376        109.974        116.992        120.740        122.917         17.777         17.380         20.853         12.285          6.958          9.161          7.504          0.345          0.254          0.253          0.269          0.071          0.085          0.263              ?          0.355          0.053
     14/10/1988          0.000        100.000     261388.609          0.000          0.000          0.000          0.000          0.000          0.000              ?        628.299          0.368         92.176          1.437              ?              ?         34.139         44.107         79.773        110.050        116.808        120.566        122.856         17.816         17.389         20.963         12.327          6.973          9.168          7.539          0.345          0.249          0.231          0.256          0.064          0.066          0.226              ?          0.346          0.057
     15/10/1988          0.000        100.000     256528.109          0.000          0.000          0.000          0.000          0.000          0.000              ?        627.946          0.353         92.419          1.361              ?              ?         33.886         43.955         80.173        110.098        116.641        120.408        122.785         17.856         17.400         21.068         12.365          6.989          9.171          7.569          0.345          0.248          0.216          0.248          0.057          0.053          0.194              ?          0.337          0.063
     16/10/1988          0.000        100.000     251511.578          0.000          0.000          0.000          0.000          0.000          0.000              ?        627.606          0.340         92.652          1.309              ?              ?         33.646         43.808         80.574        110.123        116.487        120.261        122.707         17.896         17.414         21.172         12.401          7.005          9.172          7.593          0.345          0.251          0.207          0.245          0.052          0.042          0.166              ?          0.328          0.069
     17/10/1988          0.000        100.000     247105.531          0.000          0.000          0.000          0.000          0.000          0.000              ?        627.278          0.328         92.876          1.268              ?              ?         33.417         43.666         80.976        110.127        116.344        120.125        122.624         17.935         17.429         21.273         12.435          7.021          9.171          7.613          0.345          0.253          0.202          0.242          0.048          0.034          0.143              ?          0.321          0.075
