Summary_file = fieldpea.sum
Title = fieldpea sample
       day      year           date       sw_dep()         runoff          drain             es            eos             eo           rain     residue_wt  residue_cover      residue_n       das          stage            lai        biomass  green_biomass          yield             ep    swdef_photo    nfact_photo     root_depth        node_no        leaf_wt        stem_wt flowering_date maturity_date        leaf_no            esw
     (day)    (year)             ()           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)           (mm)        (kg/ha)      (m^2/m^2)        (kg/ha)    (days)             ()      (m^2/m^2)        (kg/ha)        (kg/ha)        (kg/ha)           (mm)             ()             ()           (mm)     (nodes/m2)        (g/m^2)        (g/m^2)          (doy)         (doy)    (leaves/m2)           (mm)
       121      2002    01/May/2002        394.102          0.000          0.000          0.398          3.611          3.611          0.000          0.000          0.000          0.000         0         12.000          0.000          0.000          0.000          0.000          0.000          1.000          1.000          0.000          0.000          0.000          0.000              0             0          0.000        102.102
       122      2002    02/May/2002        393.718          0.000          0.000          0.385          2.868          2.868          0.000          0.000          0.000          0.000         0         12.000          0.000          0.000          0.000          0.000          0.000          1.000          1.000          0.000          0.000          0.000          0.000              0             0          0.000        101.718
       123      2002    03/May/2002        393.345          0.000          0.000          0.373          3.492          3.492          0.000          0.000          0.000          0.000         0         12.000          0.000          0.000          0.000          0.000          0.000          1.000          1.000          0.000          0.000          0.000          0.000              0             0          0.000        101.345
       124      2002    04/May/2002        392.984          0.000          0.000          0.362          3.348          3.348          0.000          0.000          0.000          0.000         0         12.000          0.000          0.000          0.000          0.000          0.000          1.000          1.000          0.000          0.000          0.000          0.000              0             0          0.000        100.983
       125      2002    05/May/2002        392.632          0.000          0.000          0.351          2.613          2.613          0.000          0.000          0.000          0.000         0         12.000          0.000          0.000          0.000          0.000          0.000          1.000          1.000          0.000          0.000          0.000          0.000              0             0          0.000        100.632
       126      2002    06/May/2002        392.290          0.000          0.000          0.342          3.411          3.411          0.000          0.000          0.000          0.000         0         12.000          0.000          0.000          0.000          0.000          0.000          1.000          1.000          0.000          0.000          0.000          0.000              0             0          0.000        100.290
       127      2002    07/May/2002        391.956          0.000          0.000          0.334          2.899          2.899          0.000          0.000          0.000          0.000         0         12.000          0.000          0.000          0.000          0.000          0.000          1.000          1.000          0.000          0.000          0.000          0.000              0             0          0.000         99.956
       128      2002    08/May/2002        391.631          0.000          0.000          0.326          2.998          2.998          0.000          0.000          0.000          0.000         0         12.000          0.000          0.000          0.000          0.000          0.000          1.000          1.000          0.000          0.000          0.000          0.000              0             0          0.000         99.631
       129      2002    09/May/2002        393.982          0.000          0.000          2.249          2.249          2.249          4.600          0.000          0.000          0.000         0         12.000          0.000          0.000          0.000          0.000          0.000          1.000          1.000          0.000          0.000          0.000          0.000              0             0          0.000        101.982
       130      2002    10/May/2002        392.872          0.000          0.000          2.110          3.039          3.039          1.000          0.000          0.000          0.000         0         12.000          0.000          0.000          0.000          0.000          0.000          1.000          1.000          0.000          0.000          0.000          0.000              0             0          0.000        100.872
       131      2002    11/May/2002        392.524          0.000          0.000          0.348          2.779          2.779          0.000          0.000          0.000          0.000         0         12.000          0.000          0.000          0.000          0.000          0.000          1.000          1.000          0.000          0.000          0.000          0.000              0             0          0.000        100.524
       132      2002    12/May/2002        392.184          0.000          0.000          0.339          1.598          1.598          0.000          0.000          0.000          0.000         0         12.000          0.000          0.000          0.000          0.000          0.000          1.000          1.000          0.000          0.000          0.000          0.000              0             0          0.000        100.184
       133      2002    13/May/2002        391.853          0.000          0.000          1.131          1.465          1.465          0.800          0.000          0.000          0.000         0         12.000          0.000          0.000          0.000          0.000          0.000          1.000          1.000          0.000          0.000          0.000          0.000              0             0          0.000         99.853
       134      2002    14/May/2002        391.530          0.000          0.000          0.323          2.285          2.285          0.000          0.000          0.000          0.000         0         12.000          0.000          0.000          0.000          0.000          0.000          1.000          1.000          0.000          0.000          0.000          0.000              0             0          0.000         99.530
