APSIM output file, version = 5.4
Title = Annie2020Low
           year            day    sowing_date   maturity_das          AvMax          AvMin
            (?)            (?)          (doy)         (days)           (oC)           (oC)
           1961            166            105             61         23.891         10.744
           1962            168            105             63         23.985          9.345
           1963            163            105             58         23.584         12.691
           1964            165            106             59         23.309         12.085
           1965            163            105             58         25.836         10.322
           1966            166            105             61         23.187         11.272
           1967            163            105             58         23.088         12.717
           1968            166            106             60         24.086         10.744
           1969            164            105             59         23.907         11.551
           1970            169            105             64         23.921          8.978
           1971            168            105             63         24.190          9.237
           1972            169            106             63         23.475          9.973
           1973            159            105             54         27.220         11.544
           1974            164            105             59         23.322         12.271
           1975            165            105             60         25.299          9.466
           1976            164            106             58         24.621         11.377
           1977            166            105             61         23.841         10.649
           1978            166            105             61         23.503         10.842
           1979            165            105             60         24.666         10.024
           1980            160            106             54         25.475         12.990
           1981            165            105             60         23.901         10.934
           1982            167            105             62         24.394          9.469
           1983            163            105             58         22.993         13.174
           1984            166            106             60         24.249         10.706
           1985            164            105             59         23.694         11.748
           1986            157            105             52         26.225         13.494
           1987            159            105             54         24.807         13.629
           1988            161            106             55         24.456         13.233
           1989            159            105             54         24.012         14.668
           1990            163            105             58         23.589         12.613
