ApsimVersion = 6.0
Title = Patagonia2020Low
           year            day    sowing_date   maturity_das          AvMax          AvMin
            (?)            (?)          (doy)         (days)           (oC)           (oC)
           1961            204            135             69         21.659          6.392
           1962            198            135             63         22.148          8.185
           1963            202            135             67         20.767          7.914
           1964            201            136             65         21.052          8.422
           1965            202            135             67         22.240          6.436
           1966            197            135             62         21.522          9.355
           1967            196            135             61         20.488         10.996
           1968            208            136             72         19.877          6.971
           1969            200            135             65         20.947          8.605
           1970            204            135             69         22.292          5.509
           1971            205            135             70         21.643          5.948
           1972            206            136             70         21.796          5.843
           1973            193            135             58         23.153          9.785
           1974            201            135             66         21.231          8.060
           1975            200            135             65         22.246          7.162
           1976            198            136             62         22.472          8.573
           1977            202            135             67         21.166          7.677
           1978            203            135             68         20.041          8.498
           1979            199            135             64         22.533          7.397
           1980            199            136             63         21.948          8.543
           1981            200            135             65         20.759          8.694
           1982            205            135             70         21.404          6.290
           1983            197            135             62         20.512         10.292
           1984            200            136             64         21.228          8.900
           1985            201            135             66         21.249          8.014
           1986            196            135             61         22.565          8.766
           1987            198            135             63         21.635          8.899
           1988            197            136             61         21.769          9.832
           1989            195            135             60         20.940         10.834
           1990            200            135             65         20.626          8.850
