Summary_file = PatchInput.sum
Title = Met Sample Simulation
       day      year           rain     patch_rain
     (day)    (year)           (mm)            (?)
         1      1988          0.200              ?
         2      1988          0.000              ?
         3      1988          0.000              ?
         4      1988         34.000              ?
         5      1988          2.000              ?
         6      1988          0.000              ?
         7      1988          0.000              ?
         8      1988          0.000              ?
         9      1988          0.000              ?
        10      1988         55.000         55.000
        11      1988          0.000              ?
        12      1988          0.000              ?
        13      1988          0.000              ?
        14      1988          0.000              ?
        15      1988         66.000         66.000
        16      1988         13.000              ?
        17      1988          9.000              ?
        18      1988          0.000              ?
        19      1988          1.000              ?
        20      1988         77.000         77.000
        21      1988          0.000              ?
        22      1988          5.200              ?
        23      1988          0.000              ?
        24      1988          0.000              ?
        25      1988         88.000         88.000
        26      1988          0.000              ?
        27      1988          0.000              ?
        28      1988          0.000              ?
        29      1988          0.000              ?
        30      1988          0.000              ?
        31      1988          7.400              ?
