Summary_file = output\myr_pfw.sum
Title = 
           date      year      wht_yield         wht_ep     wht_laimax      sor_yield         sor_ep     sor_laimax    avg_residue    max_residue    min_residue annual_rainfall  annual_runoff      annual_es   annual_drain
             ()    (year)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)           (mm)           (mm)           (mm)
     27/05/1958      1958          0.000          0.000          0.000          0.000          0.000          0.000        790.416        965.279          0.000         117.000          0.066         91.389         14.414
     15/11/1958      1958       2519.702         99.310          2.929          0.000          0.000          0.000        158.000        413.404          0.000         411.200          7.402        153.981        179.812
     15/05/1959      1959          0.000          0.000          0.000          0.000          0.000          0.000       5698.096       6225.083          0.000         120.600          0.000        109.784          2.784
     07/09/1959      1959          0.000         25.749          0.581          0.000          0.000          0.000       4098.912       5120.308          0.000         221.100          2.281         74.169        123.067
     29/05/1960      1960          0.000          0.000          0.000          0.000          0.000          0.000       4224.968       5262.387          0.000         479.900         20.234        221.089        202.590
     14/11/1960      1960       1215.576         57.143          1.619          0.000          0.000          0.000       1581.471       3048.733          0.000         326.700          2.709        123.842        194.840
     15/05/1961      1961          0.000          0.000          0.000          0.000          0.000          0.000       3743.144       4334.066          0.000         307.900         21.154        127.975        118.064
     07/09/1961      1961          0.000         27.312          0.882          0.000          0.000          0.000       1407.175       2722.949          0.000         324.200          9.716        110.524        199.311
     16/05/1962      1962          0.000          0.000          0.000          0.000          0.000          0.000       1902.588       2877.704          0.000         199.400          0.076        168.190          9.634
     26/10/1962      1962       3001.358        104.788          2.305          0.000          0.000          0.000        201.789        691.444          0.000         373.900          1.504        163.112        129.621
     15/05/1963      1963          0.000          0.000          0.000          0.000          0.000          0.000       4257.427       5249.550          0.000         187.000          0.925        138.795         27.473
     07/09/1963      1963          0.000         17.778          0.584          0.000          0.000          0.000       1759.656       3036.927          0.000         283.400          7.220        110.798        161.367
     19/06/1964      1964          0.000          0.000          0.000          0.000          0.000          0.000       1641.757       2519.922          0.000         211.000          0.045        167.763         24.195
     26/11/1964      1964       3356.373        145.387          3.534          0.000          0.000          0.000        197.811        639.691          0.000         392.900         16.783        161.098         97.596
     15/05/1965      1965          0.000          0.000          0.000          0.000          0.000          0.000       7261.012       7943.326          0.000         136.700          5.308         66.078         30.303
     07/09/1965      1965          0.000         12.156          0.378          0.000          0.000          0.000       5294.366       6539.935          0.000         345.000          6.357         58.080        287.316
     31/05/1966      1966          0.000          0.000          0.000          0.000          0.000          0.000       3592.052       5455.219          0.000         345.800          3.017        207.195        118.329
     15/11/1966      1966       2233.887         93.334          2.298          0.000          0.000          0.000        723.641       1708.300          0.000         413.100         41.987        152.346        157.939
     15/05/1967      1967          0.000          0.000          0.000          0.000          0.000          0.000       5034.054       5626.388          0.000         148.800          2.536         74.034         36.806
     07/09/1967      1967          0.000         22.125          0.751          0.000          0.000          0.000       2469.870       3790.408          0.000         297.400          1.181         90.348        190.393
     18/05/1968      1968          0.000          0.000          0.000          0.000          0.000          0.000       2215.802       3459.712          0.000         351.300          5.770        191.084        145.039
     05/11/1968      1968       2499.251        111.362          2.592          0.000          0.000          0.000        200.054        595.758          0.000         492.300         27.098        165.597        229.049
     15/05/1969      1969          0.000          0.000          0.000          0.000          0.000          0.000       4730.850       6341.407          0.000         145.300          0.000        118.249         15.010
     07/09/1969      1969          0.000         37.863          1.231          0.000          0.000          0.000       1864.188       3260.988          0.000         171.300          0.042         93.425         42.916
     15/05/1970      1970          0.000          0.000          0.000          0.000          0.000          0.000       2775.443       4039.285          0.000         469.800         22.290        175.250        238.967
     30/10/1970      1970       3746.696        123.940          3.246          0.000          0.000          0.000        318.788       1059.897          0.000         304.200          3.928        134.246         85.661
     15/05/1971      1971          0.000          0.000          0.000          0.000          0.000          0.000       6275.892       6904.034          0.000         203.800          5.553         78.216         82.518
     07/09/1971      1971          0.000          5.615          0.206          0.000          0.000          0.000       3636.978       4863.100          0.000         377.900          4.660         90.538        295.152
     12/07/1972      1972          0.000          0.000          0.000          0.000          0.000          0.000        998.119       3125.500          0.000         496.700          9.922        318.819        150.689
     02/12/1972      1972       2074.308         94.604          1.695          0.000          0.000          0.000         83.764        182.846          0.000         298.800         27.645        157.327        111.944
     15/05/1973      1973          0.000          0.000          0.000          0.000          0.000          0.000       3537.501       4040.183          0.000         115.100          0.000         79.950          0.000
     07/09/1973      1973          0.000         16.046          0.476          0.000          0.000          0.000       1347.453       2364.486          0.000         292.000          3.310        134.838         98.959
     29/06/1974      1974          0.000          0.000          0.000          0.000          0.000          0.000        583.239       1918.889          0.000         496.200         18.227        310.637        152.781
     24/11/1974      1974       2148.968        101.255          3.027          0.000          0.000          0.000          9.846         29.247          0.000         287.900         14.672        157.866         63.422
     15/05/1975      1975          0.000          0.000          0.000          0.000          0.000          0.000       3685.166       4745.179          0.000         147.500          0.000        120.472          0.000
     07/09/1975      1975          0.000         14.463          0.386          0.000          0.000          0.000       1558.277       2549.210          0.000         285.800          1.450        129.584        136.342
     26/06/1976      1976          0.000          0.000          0.000          0.000          0.000          0.000        785.378       1933.310          0.000         401.700         22.209        285.392         70.026
     22/11/1976      1976       2545.644        118.184          2.926          0.000          0.000          0.000         59.571        166.287          0.000         303.000         18.655        159.952         98.463
     15/05/1977      1977          0.000          0.000          0.000          0.000          0.000          0.000       5702.071       6310.666          0.000          54.300          0.000         50.500          0.000
     07/09/1977      1977          0.000         14.322          0.342          0.000          0.000          0.000       4413.649       5259.715          0.000         238.000          0.542         73.367         74.754
     11/06/1978      1978          0.000          0.000          0.000          0.000          0.000          0.000       3109.552       4804.515          0.000         307.700          0.000        227.742         67.016
     16/11/1978      1978       2486.361         86.689          1.829          0.000          0.000          0.000        445.353       1316.193          0.000         311.300          1.186        163.038        111.213
     15/05/1979      1979          0.000          0.000          0.000          0.000          0.000          0.000       3360.930       4423.928          0.000         164.000          0.000        137.340          1.492
     07/09/1979      1979          0.000          6.436          0.275          0.000          0.000          0.000       1256.449       2131.783          0.000         393.900         12.618        137.025        221.098
     09/06/1980      1980          0.000          0.000          0.000          0.000          0.000          0.000        400.962       1225.653          0.000         302.400          2.687        248.894         44.935
     11/11/1980      1980       3120.006        134.125          3.584          0.000          0.000          0.000         26.033         85.871          0.000         275.400          0.408        175.720         53.968
     15/05/1981      1981          0.000          0.000          0.000          0.000          0.000          0.000       5197.375       6366.942          0.000         133.300          0.000        105.602          0.000
     07/09/1981      1981          0.000          4.864          0.196          0.000          0.000          0.000       3398.791       4488.850          0.000         354.700          1.100         95.606        214.891
     16/06/1982      1982          0.000          0.000          0.000          0.000          0.000          0.000       2217.384       3047.099          0.000         237.000          0.609        193.958          9.849
     13/11/1982      1982       3300.745        137.619          3.681          0.000          0.000          0.000        416.006        997.717          0.000         275.700          4.949        144.824         45.816
     15/05/1983      1983          0.000          0.000          0.000          0.000          0.000          0.000       5739.027       6927.935          0.000         164.200          0.077        118.609         16.472
     07/09/1983      1983          0.000         28.163          0.834          0.000          0.000          0.000       2850.457       4497.036          0.000         164.800          0.000         87.704         46.788
     08/06/1984      1984          0.000          0.000          0.000          0.000          0.000          0.000       1935.300       3728.211          0.000         333.800          1.998        240.245         71.182
     14/11/1984      1984       1986.901         83.286          2.473          0.000          0.000          0.000         99.536        288.330          0.000         400.300         22.124        156.076        191.833
     15/05/1985      1985          0.000          0.000          0.000          0.000          0.000          0.000       4227.704       5165.936          0.000         141.300          2.252         96.572          5.145
     07/09/1985      1985          0.000         31.334          0.920          0.000          0.000          0.000       1636.018       2964.011          0.000         235.300          2.323        100.420        107.480
     16/05/1986      1986          0.000          0.000          0.000          0.000          0.000          0.000       1546.594       3344.549          0.000         396.200         20.673        230.285        109.258
