ApsimVersion = 6.1
Title = 
           date           year      wht_yield         wht_ep     wht_laimax      sor_yield         sor_ep     sor_laimax    avg_residue    max_residue    min_residue annual_rainfall  annual_runoff      annual_es   annual_drain
             ()         (year)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)            (?)        (m2/m2)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)           (mm)           (mm)           (mm)
     15/05/1958           1958            0.0          0.000          0.000            0.0          0.000          0.000          817.1          965.3            0.0          76.200          0.000         73.714         13.997
     07/09/1958           1958            0.0         49.072          1.671            0.0          0.000          0.000          254.8          571.5            0.0         273.100          1.291        109.522        114.447
     26/09/1958           1958            0.0          0.000          0.000            0.0          0.000          0.000         3781.0         3923.2            0.0          56.500          0.000         24.605          5.520
     24/02/1959           1959            0.0          0.000          0.000          723.1         55.164          0.749         2562.7         3642.1            0.0         202.500          1.348        131.336         83.670
     03/06/1959           1959            0.0          0.000          0.000            0.0          0.000          0.000         1035.1         1136.7            0.0          81.100          0.000         54.003          0.000
     07/11/1959           1959         2586.5        190.908          3.282            0.0          0.000          0.000          282.0          841.9            0.0         336.300          8.033        149.377          7.688
     14/05/1960           1960            0.0          0.000          0.000            0.0          0.000          0.000         9008.5        10362.9            0.0         280.200         18.293         93.968        111.831
     06/09/1960           1960            0.0         11.923          0.450            0.0          0.000          0.000         6681.2         7668.3            0.0         309.100          3.778         42.350        263.695
     25/09/1960           1960            0.0          0.000          0.000            0.0          0.000          0.000         6875.6         6982.4            0.0          43.100          0.000         12.015          6.870
     23/02/1961           1961            0.0          0.000          0.000          793.5         58.413          0.789         5385.6         6720.0            0.0         118.600          0.000         89.431         21.519
     15/05/1961           1961            0.0          0.000          0.000            0.0          0.000          0.000         1421.1         1726.3            0.0         207.700         33.192         72.758         61.036
     20/10/1961           1961         2051.7        127.428          2.114            0.0          0.000          0.000          342.4          950.5            0.0         357.700          9.976        138.733        162.057
     15/05/1962           1962            0.0          0.000          0.000            0.0          0.000          0.000         5538.4         6601.4            0.0         156.000          0.000        112.009          0.000
     07/09/1962           1962            0.0         24.032          0.582            0.0          0.000          0.000         3355.5         4460.0            0.0         297.900          1.332         84.953        151.028
     24/09/1962           1962            0.0          0.000          0.000            0.0          0.000          0.000         3866.8         4031.2            0.0          44.100          0.000         21.736         14.009
     22/02/1963           1963            0.0          0.000          0.000          852.2         59.114          0.829         2613.7         3679.6            0.0         157.500          0.327        118.951         31.790
     04/06/1963           1963            0.0          0.000          0.000            0.0          0.000          0.000          717.8         1049.7            0.0         118.500          0.000         94.512          0.000
     09/11/1963           1963         3022.7        128.374          3.327            0.0          0.000          0.000          124.0          309.9            0.0         295.400         14.575        148.284         74.250
     14/05/1964           1964            0.0          0.000          0.000            0.0          0.000          0.000         5419.9         6081.8            0.0         107.700          0.000         65.642          0.000
     06/09/1964           1964            0.0         23.748          0.689            0.0          0.000          0.000         3178.3         4556.6            0.0         200.500          0.429         81.478         63.681
     26/09/1964           1964            0.0          0.000          0.000            0.0          0.000          0.000         3864.4         4047.3            0.0          68.100          0.308         26.463          0.000
     24/02/1965           1965            0.0          0.000          0.000          523.2         58.307          0.837         2476.6         3639.1            0.0         200.200          6.564        112.541        126.663
     30/05/1965           1965            0.0          0.000          0.000            0.0          0.000          0.000         1142.5         1254.6            0.0         134.900          3.241         63.756          0.000
     06/11/1965           1965         2750.7        153.232          3.178            0.0          0.000          0.000          272.2          786.0            0.0         439.300         11.295        156.713        159.195
     15/05/1966           1966            0.0          0.000          0.000            0.0          0.000          0.000         6405.6         7757.0            0.0         177.100          4.040         99.976         36.631
     07/09/1966           1966            0.0         12.214          0.443            0.0          0.000          0.000         3854.2         5054.7            0.0         321.900         33.057         73.218        181.850
     21/09/1966           1966            0.0          0.000          0.000            0.0          0.000          0.000         3719.1         3839.0            0.0          71.400          0.000         18.803         39.724
     19/02/1967           1967            0.0          0.000          0.000          506.0         63.865          0.844         2345.5         3559.0            0.0          75.400          0.000         79.523         37.871
     15/05/1967           1967            0.0          0.000          0.000            0.0          0.000          0.000          922.2         1256.6            0.0         137.600          1.711         71.684          0.000
     25/10/1967           1967         2716.2        131.255          2.325            0.0          0.000          0.000          182.3          500.2            0.0         332.700          2.959        149.523        101.042
     14/05/1968           1968            0.0          0.000          0.000            0.0          0.000          0.000         6171.9         7199.9            0.0         283.700          1.272         96.274        118.567
     06/09/1968           1968            0.0         11.247          0.394            0.0          0.000          0.000         3521.5         4716.7            0.0         406.500         20.979         81.001        300.567
     23/09/1968           1968            0.0          0.000          0.000            0.0          0.000          0.000         3342.8         3484.0            0.0          62.700          0.000         23.975         12.924
     21/02/1969           1969            0.0          0.000          0.000         1568.3         87.260          1.113         1633.2         3139.8            0.0         151.600          0.000        120.053         41.337
     30/07/1969           1969            0.0          0.000          0.000            0.0          0.000          0.000          575.4         1053.6            0.0         153.400          0.214        147.909          0.000
