ApsimVersion = 6.0
Title = Salmon Gums continuous wheat
           date           year      wht_yield         wht_ep     wht_laimax      sor_yield         sor_ep     sor_laimax    avg_residue    max_residue    min_residue annual_rainfall  annual_runoff      annual_es   annual_drain
             ()         (year)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)             ()        (m2/m2)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)           (mm)           (mm)           (mm)
     24/07/1958           1958            0.0          0.000          0.000            0.0          0.000          0.000          527.7          961.2            0.0         180.400          4.067        156.766          2.283
     16/12/1958           1958         1866.4        121.128          2.985            0.0          0.000          0.000           99.6          203.2            0.0         230.700          1.505        127.549         64.839
     04/06/1959           1959            0.0          0.000          0.000            0.0          0.000          0.000         3895.9         4578.0            0.0         105.400          0.000         91.135          0.000
     13/11/1959           1959          598.8        104.238          1.473            0.0          0.000          0.000         2082.5         2908.9            0.0         238.900          6.631        128.169          0.000
     25/07/1960           1960            0.0          0.000          0.000            0.0          0.000          0.000         5306.7         6856.7            0.0         328.200          2.130        184.221         61.102
     14/12/1960           1960          753.8         79.780          1.418            0.0          0.000          0.000         3183.1         3970.4            0.0          98.000          0.000         90.771         39.138
     30/07/1961           1961            0.0          0.000          0.000            0.0          0.000          0.000         4431.7         5522.0            0.0         288.100         11.755        140.153         50.098
     07/12/1961           1961          838.5         67.933          1.316            0.0          0.000          0.000         2655.7         3287.1            0.0          40.500          0.000         62.052          6.328
     16/05/1962           1962            0.0          0.000          0.000            0.0          0.000          0.000         3792.8         4430.3            0.0         111.800          0.000         72.691          0.000
     06/11/1962           1962          851.7        120.845          2.147            0.0          0.000          0.000         1820.0         2983.9            0.0         200.000          0.000        123.250          0.000
     06/06/1963           1963            0.0          0.000          0.000            0.0          0.000          0.000         5910.7         7265.2            0.0         347.700          4.912        152.801         48.312
     16/11/1963           1963          497.0         85.049          1.239            0.0          0.000          0.000         3348.5         4320.0            0.0         191.600          0.000        109.245        109.881
     12/07/1964           1964            0.0          0.000          0.000            0.0          0.000          0.000         5696.5         6568.9            0.0         168.500          0.294        107.106          0.000
     13/12/1964           1964          493.1         96.426          1.216            0.0          0.000          0.000         3381.7         4412.6            0.0         196.900          0.880        108.696         65.337
     26/06/1965           1965            0.0          0.000          0.000            0.0          0.000          0.000         7008.8         7247.9            0.0         174.900          3.196         60.825          2.847
     28/11/1965           1965          642.0         82.553          1.320            0.0          0.000          0.000         5118.2         6260.9            0.0         208.900          0.015         86.061        106.305
     28/06/1966           1966            0.0          0.000          0.000            0.0          0.000          0.000         5853.0         7080.7            0.0         179.800         12.345        108.115          0.000
     02/12/1966           1966          863.6        108.649          1.804            0.0          0.000          0.000         3569.9         4598.2            0.0         134.200          0.116         92.382         34.823
     25/05/1967           1967            0.0          0.000          0.000            0.0          0.000          0.000         6809.0         7666.2            0.0         119.900          1.456         78.043          0.000
     09/11/1967           1967          530.0         91.699          1.393            0.0          0.000          0.000         4438.3         5767.7            0.0         207.500          3.762         88.455         49.314
     11/06/1968           1968            0.0          0.000          0.000            0.0          0.000          0.000         6433.2         7950.3            0.0         225.000          2.823        132.233          0.000
     28/11/1968           1968          461.8         85.575          1.270            0.0          0.000          0.000         3412.1         4563.7            0.0         174.400          0.417        102.540         89.277
     30/07/1969           1969            0.0          0.000          0.000            0.0          0.000          0.000         5009.4         6349.8            0.0         126.000          0.000        127.268          0.000
     12/12/1969           1969         1096.1         75.919          1.777            0.0          0.000          0.000         2994.9         3611.0            0.0         128.200          3.078         76.358          0.000
     30/07/1970           1970            0.0          0.000          0.000            0.0          0.000          0.000         3859.4         4937.8            0.0         204.000          4.863        148.741          0.000
     14/12/1970           1970         1176.0         83.462          1.970            0.0          0.000          0.000         1752.2         2457.8            0.0         109.500          0.397         71.370          0.000
     27/05/1971           1971            0.0          0.000          0.000            0.0          0.000          0.000         3899.8         4217.5            0.0         125.300          0.461         69.928          0.000
     19/11/1971           1971          833.9         75.935          1.565            0.0          0.000          0.000         1392.5         2688.1            0.0         160.600          0.000        145.093          0.000
     23/06/1972           1972            0.0          0.000          0.000            0.0          0.000          0.000         3492.3         4455.3            0.0         170.900          6.436        108.804          0.000
     26/11/1972           1972         1245.6         84.085          3.416            0.0          0.000          0.000         1657.9         2703.7            0.0         124.700          0.000        101.494          0.000
     11/06/1973           1973            0.0          0.000          0.000            0.0          0.000          0.000         4022.0         4935.7            0.0         167.500          2.720        103.703          0.000
     25/11/1973           1973          651.9         87.642          1.547            0.0          0.000          0.000         1160.8         2231.4            0.0         219.100          1.211        154.364          0.000
     15/05/1974           1974            0.0          0.000          0.000            0.0          0.000          0.000         4374.4         4958.2            0.0         219.700          5.185        106.866          0.000
     08/11/1974           1974          535.7         96.837          1.391            0.0          0.000          0.000         1678.0         2950.5            0.0         204.200          0.000        139.616         80.690
     30/07/1975           1975            0.0          0.000          0.000            0.0          0.000          0.000         4549.2         5841.2            0.0         213.700          0.005        152.449          0.000
     16/12/1975           1975         1604.8        115.306          2.253            0.0          0.000          0.000         2135.5         2766.6            0.0         194.300          0.954        103.664          0.000
     29/07/1976           1976            0.0          0.000          0.000            0.0          0.000          0.000         4929.3         5910.0            0.0         138.600          6.721        105.752          0.000
     12/12/1976           1976         1236.3        108.134          2.105            0.0          0.000          0.000         2307.7         3480.0            0.0         139.200          0.000        102.587          0.000
     30/07/1977           1977            0.0          0.000          0.000            0.0          0.000          0.000         5586.7         5869.7            0.0          86.700          0.000         75.562          0.000
     08/12/1977           1977          768.5         68.446          1.392            0.0          0.000          0.000         3613.8         4775.5            0.0         146.300          0.000         96.814          0.000
     28/06/1978           1978            0.0          0.000          0.000            0.0          0.000          0.000         3559.8         5423.4            0.0         170.600          0.000        146.295          0.000
     02/12/1978           1978          929.9         71.904          1.508            0.0          0.000          0.000         1181.4         2072.3            0.0         160.600          0.000        125.227          0.000
     25/07/1979           1979            0.0          0.000          0.000            0.0          0.000          0.000         2497.1         3615.1            0.0         239.700          0.184        181.520          0.000
     09/12/1979           1979         1081.7         68.845          1.789            0.0          0.000          0.000          702.4         1100.2            0.0         127.900          2.494        113.905          0.000
     29/07/1980           1980            0.0          0.000          0.000            0.0          0.000          0.000         1701.6         2850.0            0.0         205.400          0.014        165.764          0.000
     08/12/1980           1980          514.2         39.918          1.564            0.0          0.000          0.000          608.7          742.6            0.0          64.800          0.000         66.577          0.000
     30/07/1981           1981            0.0          0.000          0.000            0.0          0.000          0.000         1266.6         1999.3            0.0         170.700          0.000        161.677          0.000
     09/12/1981           1981          401.9         30.591          0.914            0.0          0.000          0.000          466.0          615.7            0.0          82.900          0.000         80.300          0.000
     15/06/1982           1982            0.0          0.000          0.000            0.0          0.000          0.000         1027.4         1435.1            0.0         137.000          1.270        104.317          0.000
     15/11/1982           1982          924.5         44.729          1.558            0.0          0.000          0.000          376.5          651.6            0.0         156.500          0.000        122.713          0.000
     24/06/1983           1983            0.0          0.000          0.000            0.0          0.000          0.000          992.3         1870.6            0.0         174.000          5.977        138.178          0.000
     17/11/1983           1983         1664.2         92.873          2.797            0.0          0.000          0.000          364.8          690.9            0.0         174.600          0.485        111.692          0.000
     29/05/1984           1984            0.0          0.000          0.000            0.0          0.000          0.000         2835.4         4128.9            0.0         245.200          1.209        155.496          0.000
     16/11/1984           1984          685.1         97.691          1.684            0.0          0.000          0.000          584.1         1153.4            0.0         219.300          1.399        145.787         15.587
     30/07/1985           1985            0.0          0.000          0.000            0.0          0.000          0.000         3830.8         5460.0            0.0         151.700          0.000        146.135          0.000
