Summary_file = output\sal_psw_r.sum
Title = 
           date      year      wht_yield         wht_ep     wht_laimax      sor_yield         sor_ep     sor_laimax    avg_residue    max_residue    min_residue annual_rainfall  annual_runoff      annual_es   annual_drain
             ()    (year)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)             ()        (m2/m2)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)           (mm)           (mm)           (mm)
     15/05/1958      1958          0.000          0.000          0.000          0.000          0.000          0.000        654.788        961.164          0.000          79.600          1.613         89.726          1.935
     07/09/1958      1958          0.000         64.891          2.986          0.000          0.000          0.000        227.963        409.282          0.000         143.500          1.108         82.694         16.723
     18/09/1958      1958          0.000          0.000          0.000          0.000          0.000          0.000       4522.096       4605.130          0.000          53.000          0.451         11.689          0.000
     16/02/1959      1959          0.000          0.000          0.000        935.648         60.788          0.627       3469.065       4427.552          0.000         182.000          0.301        121.829         66.726
     04/06/1959      1959          0.000          0.000          0.000          0.000          0.000          0.000        791.899       1009.289          0.000          58.400          0.346         47.750          0.000
     13/11/1959      1959       1459.222         83.988          1.942          0.000          0.000          0.000        234.124        432.470          0.000         238.900          9.229        139.850          0.000
     14/05/1960      1960          0.000          0.000          0.000          0.000          0.000          0.000       2688.208       3713.778          0.000         233.800          1.388        157.987         21.643
     06/09/1960      1960          0.000         36.814          1.836          0.000          0.000          0.000       1026.443       1507.384          0.000         129.100          0.008         86.336         44.762
     28/01/1961      1961          0.000          0.000          0.000          0.000          0.000          0.000       2431.256       3285.642          0.000         164.100         27.424         94.976          0.009
     24/06/1961      1961          0.000          0.000          0.000       1829.321         73.788          1.144        703.698       1192.388          0.000         152.200         16.133         86.751          7.422
     30/07/1961      1961          0.000          0.000          0.000          0.000          0.000          0.000        561.661        657.355          0.000          35.100          0.000         32.202          0.000
     07/12/1961      1961        735.259         63.694          1.940          0.000          0.000          0.000        289.432        422.273          0.000          40.500          0.000         58.158          0.000
     15/05/1962      1962          0.000          0.000          0.000          0.000          0.000          0.000       1749.052       2252.639          0.000         102.400          0.000         73.321          0.000
     07/09/1962      1962          0.000         52.157          1.814          0.000          0.000          0.000        682.480       1184.189          0.000         146.200          0.000        108.211          0.000
     25/09/1962      1962          0.000          0.000          0.000          0.000          0.000          0.000       3431.174       3542.709          0.000          33.800          0.000         20.978          0.000
     16/02/1963      1963          0.000          0.000          0.000        803.595         43.034          0.660       2696.717       3330.615          0.000         165.000          4.899        113.298          0.000
     06/06/1963      1963          0.000          0.000          0.000          0.000          0.000          0.000        386.105        740.898          0.000         212.100          4.719        135.178          0.000
     16/11/1963      1963       1280.863         79.409          1.841          0.000          0.000          0.000         52.428        128.650          0.000         191.600          1.168        157.305         24.555
     14/05/1964      1964          0.000          0.000          0.000          0.000          0.000          0.000       2890.480       3400.747          0.000          76.900          0.000         78.273          0.000
     06/09/1964      1964          0.000         49.719          1.641          0.000          0.000          0.000       1356.741       1929.327          0.000         191.800          0.766         82.303         19.863
     27/09/1964      1964          0.000          0.000          0.000          0.000          0.000          0.000       4430.619       4480.649          0.000          36.000          0.251         17.682          0.024
     20/02/1965      1965          0.000          0.000          0.000       1098.452         65.995          0.991       3501.669       4370.746          0.000          68.700          0.000         79.399          2.471
     26/06/1965      1965          0.000          0.000          0.000          0.000          0.000          0.000       1226.721       1370.421          0.000         166.900          5.124         86.752          0.000
     28/11/1965      1965       1034.244         75.913          1.658          0.000          0.000          0.000        350.150        802.933          0.000         208.900          0.755        163.927          5.745
     15/05/1966      1966          0.000          0.000          0.000          0.000          0.000          0.000       2393.490       3038.688          0.000         120.300          3.916         98.951          0.000
     07/09/1966      1966          0.000         57.139          2.746          0.000          0.000          0.000       1314.379       1648.439          0.000         126.100         10.480         60.017          0.000
     25/05/1967      1967          0.000          0.000          0.000          0.000          0.000          0.000       3115.000       5017.362          0.000         187.500          3.759        160.997          0.000
     09/11/1967      1967       1563.557         92.717          2.382          0.000          0.000          0.000        232.360        789.455          0.000         207.500          5.431        138.666         19.886
     14/05/1968      1968          0.000          0.000          0.000          0.000          0.000          0.000       3104.944       4217.585          0.000         156.100          0.000        142.882          0.000
     06/09/1968      1968          0.000         31.517          1.523          0.000          0.000          0.000       1167.197       1670.223          0.000         195.400          5.050         92.543         32.211
     30/07/1969      1969          0.000          0.000          0.000          0.000          0.000          0.000       1303.476       3088.678          0.000         173.900          0.001        191.027          0.118
     12/12/1969      1969       1693.832        110.869          2.932          0.000          0.000          0.000        206.007        339.254          0.000         128.200          3.656         75.560          0.000
     15/05/1970      1970          0.000          0.000          0.000          0.000          0.000          0.000       3452.690       4028.486          0.000         160.500          4.770         91.691          0.000
     07/09/1970      1970          0.000         33.352          1.303          0.000          0.000          0.000       1724.179       2591.694          0.000          66.000          0.000         78.652          0.000
     26/09/1970      1970          0.000          0.000          0.000          0.000          0.000          0.000       3237.628       3382.890          0.000          61.000          0.096         21.089          0.000
     05/02/1971      1971          0.000          0.000          0.000        804.604         46.879          0.715       2709.735       3056.068          0.000          35.300          0.000         58.453          0.000
     27/05/1971      1971          0.000          0.000          0.000          0.000          0.000          0.000        738.042        985.565          0.000         116.000          3.028         64.921          0.000
     19/11/1971      1971       1179.772         66.881          2.082          0.000          0.000          0.000        110.896        311.857          0.000         160.600          0.000        155.201          0.000
     14/05/1972      1972          0.000          0.000          0.000          0.000          0.000          0.000       2657.389       3414.155          0.000         115.200          1.999         95.039          0.000
     06/09/1972      1972          0.000         56.351          2.076          0.000          0.000          0.000       1622.485       1970.504          0.000         150.300          3.874         61.508          0.000
     24/01/1973      1973          0.000          0.000          0.000          0.000          0.000          0.000       4688.218       5281.798          0.000          78.800          1.338         65.539          0.000
     24/06/1973      1973          0.000          0.000          0.000       1027.115         47.346          0.945       2535.621       3842.462          0.000         152.100          2.904         93.204          0.000
     19/07/1973      1973          0.000          0.000          0.000          0.000          0.000          0.000        810.682        897.484          0.000          43.300          0.466         30.577          0.000
     11/12/1973      1973       1106.323         72.500          1.871          0.000          0.000          0.000        267.389        694.847          0.000         150.800          0.000        147.411          0.000
     15/05/1974      1974          0.000          0.000          0.000          0.000          0.000          0.000       2663.335       3069.804          0.000         211.400          5.478        103.804          0.000
