Summary_file = output\dingxi_w.sum
Title = Continuous spring wheat at Dingxi
       day      year           date          event           flag           rain           w_ep              sw(1)              sw(2)              sw(3)              sw(4)              sw(5)              sw(6)              sw(7)              sw(8)             es         runoff          drain         sw_dep          nh4()        tot_no3             no3(1)             no3(2)             no3(3)             no3(4)             no3(5)             no3(6)             no3(7)             no3(8)           dnit       hum_c(1)      biom_c(1)       fom_c(1)    surfaceom_n   surfaceom_wt          w_lai        w_yield      w_biomass      w_root_wt     w_root_dep       w_biom_n     w_mat       n_stress       w_stress             eo
     (day)    (year)             ()             ()             ()           (mm)           (mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)           (mm)           (mm)           (mm)           (mm)        (kg/ha)        (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)      (m^2/m^2)        (kg/ha)        (kg/ha)        (g/m^2)           (mm)        (g/m^2)     (doy)             ()             ()           (mm)
        90      1970     31/03/1970          0.000          0.000         18.500          0.000              0.151              0.167              0.173              0.176              0.172              0.171              0.177              0.193         14.276          0.000          0.000        350.224         35.504         50.110             10.684              7.311              4.892              5.196              5.362              5.907              5.538              5.220          0.000       9514.252        213.818         66.129          0.399         89.880          0.000          0.000          0.000          0.000        108.420          0.000         0          1.000          1.000         48.500
       120      1970     30/04/1970          0.000          0.000         76.200          4.440              0.243              0.242              0.198              0.176              0.173              0.173              0.180              0.190         41.872          0.000          0.000        380.112        129.987         55.756             10.417              8.899              6.888              5.830              5.850              6.407              5.973              5.493          0.000       9512.718        216.719         59.273          0.360         81.012          0.559          0.000        335.075         28.973        279.990          1.635         0          1.000          1.000        102.386
       151      1970     31/05/1970          0.000          0.000         35.300         44.336              0.201              0.132              0.140              0.159              0.173              0.175              0.181              0.189         33.325          0.000          0.000        337.751         15.210         94.833             47.585              9.171              5.693              6.236              6.591              7.163              6.519              5.875          0.000       9509.283        223.534         60.195          0.216         48.684          1.908          0.000       3204.701        136.559        795.750          7.046         0          1.000          0.691        140.591
       181      1970     30/06/1970          0.000          0.000         44.600         38.346              0.156              0.124              0.131              0.125              0.140              0.169              0.181              0.189         36.233          0.000          0.000        307.772          1.302         97.689             42.303             16.183              5.751              6.476              6.735              7.385              6.776              6.079          0.000       9505.791        229.162         69.397          0.111         25.001          0.641          0.000       5296.163        158.598       1319.850          7.474         0          1.000          0.636        151.619
       212      1970     31/07/1970          0.000          0.000        101.600         30.618              0.245              0.245              0.225              0.119              0.125              0.150              0.172              0.187         34.150          0.466          0.000        344.138          0.446         70.921              7.069             18.253             13.423              6.663              6.502              6.691              6.107              6.213          0.048       9499.144        234.319         66.368          0.053         11.895          0.287       2086.253       6551.004        136.391       1664.899         10.300         0          1.000          0.747        177.344
       218      1970     06/08/1970          2.000          0.000         24.000          0.888              0.264              0.267              0.266              0.131              0.125              0.150              0.172              0.186          5.191          0.000          0.000        362.060          0.469         67.369              4.315             15.216             14.676              7.663              6.502              6.677              6.093              6.226          0.024       9497.416        235.099         63.584          0.044          9.883          0.002       2100.512       6590.729        133.016       1668.562         10.684       216          1.000          1.000         17.871
       243      1970     31/08/1970          0.000          0.000         89.300          0.000              0.266              0.269              0.265              0.210              0.131              0.151              0.172              0.184         53.495         10.343          0.000        387.522          1.133         72.457              4.704             12.622             14.534             14.551              6.857              6.763              6.162              6.265          0.044       9492.623        281.503        112.394          0.826         76.614          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000        117.829
       273      1970     30/09/1970          0.000          0.000         76.000          0.000              0.245              0.248              0.250              0.244              0.190              0.156              0.171              0.182         49.812          6.677          0.000        407.033          1.432         78.359              5.053             10.859             13.380             18.250             11.313              7.031              6.199              6.274          0.026       9486.133        287.139         76.519          0.514         47.678          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000        100.874
       304      1970     31/10/1970          0.000          0.000         23.400          0.000              0.225              0.232              0.232              0.224              0.211              0.176              0.173              0.181         25.481          0.000          0.000        404.952          1.598         81.933              6.237             11.276             12.836             17.291             13.306              8.383              6.313              6.290          0.000       9482.673        286.376         64.795          0.473         43.880          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000         64.312
