Summary_file = output\coonamble_cd2_200_oc2_deep_AvgWindow.sum
Title = site=coonamble; soil=cd2; treatment=oc2; Nrate=200; RootDepth=deep; Sowing = AvgWindow
           date      year      wht_yield         wht_ep     wht_laimax      chk_yield         chk_ep     chk_laimax      sor_yield         sor_ep     sor_laimax    avg_residue    max_residue    min_residue annual_rainfall  annual_runoff      annual_es   annual_drain
             ()    (year)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)           (mm)           (mm)           (mm)
     31/12/1957      1957          0.000          0.000          0.000          0.000          0.000          0.000       3089.294        150.044          2.971       1400.513       3470.008          0.000         240.300          0.048        237.007          0.000
     31/12/1958      1958       4272.569        192.007          4.685          0.000          0.000          0.000          0.000          0.000          0.000       1069.796       7175.637          0.000         642.900         24.676        431.605          2.054
     31/12/1959      1959          0.000          0.000          0.000       1383.941        124.320          2.225          0.000          0.000          0.000       3704.865       6471.121          0.000         685.200         20.540        331.268        196.237
     31/12/1960      1960          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000       2201.421       4174.304          0.000         399.100          0.037        379.565          0.000
     31/12/1961      1961          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000        108.427        590.156          0.000         445.200          0.000        409.779          0.000
     31/12/1962      1962          0.000          0.000          0.000       1902.617        160.416          2.594          0.000          0.000          0.000        229.190       2729.199          0.000         641.300          2.827        509.806          0.000
     31/12/1963      1963       2312.010        148.168          4.375          0.000          0.000          0.000          0.000          0.000          0.000        628.167       6033.955          0.000         555.600          9.420        437.538          0.000
     31/12/1964      1964          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000        387.188       2051.287          0.000         449.100          0.203        413.824          0.000
     31/12/1965      1965          0.000          0.000          0.000          0.000          0.000          0.000          0.000          1.072          0.060         17.801         28.309          0.000         342.700          9.268        266.191          0.000
     31/12/1966      1966          0.000          0.000          0.000          0.000          0.000          0.000       1570.402         88.775          2.267        643.839       2173.824          0.000         374.800          0.000        370.665          0.000
     31/12/1967      1967       1271.873        100.284          5.098          0.000          0.000          0.000          0.000          0.000          0.000        811.618       5004.679          0.000         327.800          3.676        249.083          0.000
     31/12/1968      1968          0.000          0.000          0.000       1171.831        115.105          2.171          0.000          0.000          0.000        832.618       4438.451          0.000         519.800          9.039        375.072          0.000
     31/12/1969      1969       2557.334        131.495          3.333          0.000          0.000          0.000          0.000          0.000          0.000        474.247       4155.623          0.000         671.000          4.408        522.182          0.000
     31/12/1970      1970          0.000          0.000          0.000          0.000          0.000          0.000          0.000         82.268          2.909        337.500       2726.769          0.000         601.600          3.865        453.279          0.000
     31/12/1971      1971       2110.918        142.535          4.060          0.000          0.000          0.000       3560.146         83.467          2.842       1809.315       4466.531          0.000         617.500         15.538        396.118         40.020
     31/12/1972      1972          0.000          0.000          0.000          0.000          0.000          0.000          0.000         24.471          1.028        385.085       2115.831          0.000         467.300          0.124        397.500          0.000
     31/12/1973      1973       5349.875        238.443          4.707          0.000          0.000          0.000       3178.388        150.691          2.367       2045.746       7599.390          0.000         873.600         16.186        427.275         39.094
     31/12/1974      1974          0.000          0.000          0.000          0.000          0.000          0.000       2703.383        121.426          2.731        943.201       4970.917          0.000         593.200         34.397        377.097         85.462
     31/12/1975      1975       2155.658        125.255          3.583          0.000          0.000          0.000          0.000          0.000          0.000        470.410       4618.107          0.000         485.500          7.356        378.016         15.910
     31/12/1976      1976          0.000          0.000          0.000       1446.748        124.725          2.730          0.000          0.000          0.000        470.120       2658.318          0.000         624.200          9.918        439.383         48.385
     31/12/1977      1977       1446.622        117.539          3.776          0.000          0.000          0.000          0.000          0.000          0.000        880.076       4576.339          0.000         498.800         38.456        333.254         22.196
     31/12/1978      1978          0.000          0.000          0.000       1030.348         95.388          1.583          0.000          0.000          0.000        480.957       3595.166          0.000         738.800          6.120        527.186          0.000
     31/12/1979      1979          0.000          0.000          0.000          0.000          0.000          0.000       1511.168         85.684          2.429        582.967       2221.803          0.000         325.400          0.000        341.175          0.000
     31/12/1980      1980       1331.658        111.231          3.980          0.000          0.000          0.000          0.000          0.000          0.000        613.265       4609.200          0.000         533.300         54.781        353.399          0.000
     31/12/1981      1981          0.000          0.000          0.000       1193.183        107.233          1.383          0.000          0.000          0.000        760.250       2361.161          0.000         500.600          8.541        383.007          0.000
     31/12/1982      1982          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000        227.024       1286.404          0.000         368.300          5.939        297.766          0.000
     31/12/1983      1983       3599.561        192.469          4.866          0.000          0.000          0.000       2523.481        115.485          2.453        886.130       7151.659          0.000         734.100          5.113        427.809          0.000
     31/12/1984      1984          0.000          0.000          0.000        928.839        106.985          1.228       5251.200        211.836          3.826       1363.648       5016.425          0.000         737.300          7.200        426.693         63.643
     31/12/1985      1985          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000        500.630       1552.553          0.000         490.100          0.000        454.238          0.000
     31/12/1986      1986          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          4.910         19.248          0.000         352.400          0.000        353.161          0.000
     31/12/1987      1987          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.056          0.297          0.000         439.300          0.234        423.375          0.000
     31/12/1988      1988       1510.593        111.230          4.810          0.000          0.000          0.000          0.000          0.000          0.000        685.917       5135.926          0.000         537.400          0.401        426.765          0.000
     31/12/1989      1989          0.000          0.000          0.000       1191.576        115.101          1.901          0.000          0.000          0.000        506.995       2161.911          0.000         513.600          6.307        438.909          5.339
     31/12/1990      1990       2133.979        135.388          6.286          0.000          0.000          0.000          0.000          0.000          0.000       1056.345       6920.847          0.000         487.500         22.040        333.477          0.000
     31/12/1991      1991          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000        774.294       5135.710          0.000         469.000         14.961        373.592          0.000
     31/12/1992      1992       1854.847        100.407          2.863          0.000          0.000          0.000          0.000          0.000          0.000        223.144       3512.844          0.000         475.200          0.011        397.336          0.000
     31/12/1993      1993          0.000          0.000          0.000       1554.313        113.439          1.951          0.000          0.000          0.000        387.285       2076.733          0.000         589.200          0.041        518.780          0.000
     31/12/1994      1994          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000        152.750        618.250          0.000         357.300          0.174        295.900          0.000
     31/12/1995      1995       1722.044        114.166          4.134          0.000          0.000          0.000          0.000          0.000          0.000        364.438       4631.763          0.000         584.200         86.009        381.105         35.974
     31/12/1996      1996          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.003          0.064        105.223        985.351          0.000         545.700          0.815        494.691          0.000
     31/12/1997      1997          0.000          0.000          0.000          0.000          0.000          0.000       2143.647         99.855          3.127        641.582       2456.198          0.000         496.600          5.857        382.396          0.000
     31/12/1998      1998       6289.964        242.889          5.376          0.000          0.000          0.000       1924.656        134.729          2.091       1299.856       8838.897          0.000         812.200         29.501        372.510         76.899
     31/12/1999      1999          0.000          0.000          0.000       1110.681        104.969          1.753       1240.985         45.171          1.963       1112.198       4923.818          0.000         592.800          9.551        448.818          0.000
     31/12/2000      2000       2324.831        134.580          4.956          0.000          0.000          0.000          0.000         32.311          1.650        367.277       5086.959          0.000         738.900         34.086        416.181         62.505
     31/12/2001      2001          0.000          0.000          0.000          0.000          0.000          0.000       1829.947         84.128          2.321        479.503       2746.537          0.000         447.500          0.000        405.842          0.000
     31/12/2002      2002          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          8.279         24.876          0.000         206.600          0.000        236.799          0.000
