Summary_file = output\coonamble_cd2_50_LongFallow1_deep_AvgWindow.sum
Title = site=coonamble; soil=cd2; treatment=LongFallow1; Nrate=50; RootDepth=deep; Sowing = AvgWindow
           date      year      wht_yield         wht_ep     wht_laimax      chk_yield         chk_ep     chk_laimax      sor_yield         sor_ep     sor_laimax    avg_residue    max_residue    min_residue annual_rainfall  annual_runoff      annual_es   annual_drain
             ()    (year)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)           (mm)           (mm)           (mm)
     31/12/1957      1957          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          5.811          9.784          0.000         240.300          4.725        261.889         20.510
     31/12/1958      1958       3949.226        185.845          4.747          0.000          0.000          0.000          0.000          0.000          0.000       1003.675       7276.102          0.000         642.900         44.271        430.611         83.598
     31/12/1959      1959          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000       6455.952       7130.721          0.000         685.200         33.605        297.399        229.824
     31/12/1960      1960          0.000          0.000          0.000          0.000          0.000          0.000       2967.158        152.930          2.622       6225.762       7347.886          0.000         399.100          0.080        297.898          0.000
     31/12/1961      1961       1629.411        126.135          3.334          0.000          0.000          0.000          0.000          0.000          0.000       4617.562       6899.139          0.000         445.200          0.000        348.904         11.220
     31/12/1962      1962          0.000          0.000          0.000          0.000          0.000          0.000          0.000         84.560          3.057       3475.275       5944.851          0.000         641.300          0.132        441.530         62.857
     31/12/1963      1963          0.000          0.000          0.000          0.000          0.000          0.000       4300.799        111.908          2.981       3850.992       5714.703          0.000         555.600         10.662        378.072         23.973
     31/12/1964      1964       2168.857        124.199          3.197          0.000          0.000          0.000          0.000          0.000          0.000       1868.690       4761.004          0.000         449.100          0.000        379.742         45.578
     31/12/1965      1965          0.000          0.000          0.000          0.000          0.000          0.000          0.000          3.894          0.176       3994.957       4430.664          0.000         342.700          2.604        246.833          0.000
     31/12/1966      1966          0.000          0.000          0.000          0.000          0.000          0.000       1727.384         94.225          2.664       2019.474       3833.545          0.000         374.800          0.000        367.560          0.000
     31/12/1967      1967       1351.140        102.874          3.546          0.000          0.000          0.000          0.000          0.000          0.000        843.384       4141.858          0.000         327.800          1.830        253.611          0.000
     31/12/1968      1968          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000       1604.159       3915.785          0.000         519.800          5.090        374.958         10.600
     31/12/1969      1969          0.000          0.000          0.000          0.000          0.000          0.000       2858.259        129.235          2.622        865.189       3390.759          0.000         671.000          6.146        523.646          1.324
     31/12/1970      1970          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         12.311         67.710          0.000         601.600          7.301        487.782         95.788
     31/12/1971      1971          0.000          0.000          0.000          0.000          0.000          0.000          0.000         54.019          2.736          0.109          0.504          0.000         617.500         25.339        459.392        136.569
     31/12/1972      1972          0.000          0.000          0.000          0.000          0.000          0.000       3591.175        113.776          2.832       2493.564       4168.321          0.000         467.300          0.285        373.463          0.000
     31/12/1973      1973       5070.338        223.276          4.593          0.000          0.000          0.000          0.000          0.000          0.000        943.590       7044.480          0.000         873.600         27.994        472.646        131.820
     31/12/1974      1974          0.000          0.000          0.000          0.000          0.000          0.000          0.000         72.934          2.409       4335.275       6564.779          0.000         593.200         34.644        354.096        170.006
     31/12/1975      1975          0.000          0.000          0.000          0.000          0.000          0.000       2062.687         47.120          2.097       2155.294       4215.439          0.000         485.500          0.000        373.081          0.000
     31/12/1976      1976       2124.989        129.527          3.581          0.000          0.000          0.000          0.000          0.000          0.000        642.019       4825.049          0.000         624.200         15.544        435.437        144.969
     31/12/1977      1977          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000       3223.997       4282.792          0.000         498.800         15.825        313.041         77.416
     31/12/1978      1978          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000        939.547       2784.200          0.000         738.800         17.361        525.218        139.485
     31/12/1979      1979       2235.854        139.476          2.965          0.000          0.000          0.000          0.000          0.000          0.000        720.039       5049.960          0.000         325.400          0.000        328.397         13.854
     31/12/1980      1980          0.000          0.000          0.000          0.000          0.000          0.000          0.000          5.379          0.295       3188.945       4510.488          0.000         533.300         24.868        331.701         39.056
     31/12/1981      1981          0.000          0.000          0.000          0.000          0.000          0.000       2203.539        103.835          2.485       1034.185       2771.480          0.000         500.600          5.193        397.673          7.190
     31/12/1982      1982          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         16.925         83.860          0.000         368.300          9.898        299.161         69.501
     31/12/1983      1983          0.000          0.000          0.000          0.000          0.000          0.000          0.000         83.745          2.880          0.545          3.128          0.000         734.100         19.290        558.328        118.956
     31/12/1984      1984          0.000          0.000          0.000          0.000          0.000          0.000       4770.910        144.284          2.823       3451.948       5802.413          0.000         737.300         14.678        431.087         91.647
     31/12/1985      1985       3161.900        174.952          4.394          0.000          0.000          0.000          0.000          0.000          0.000       2153.595       6327.654          0.000         490.100          0.000        345.496         10.135
     31/12/1986      1986          0.000          0.000          0.000          0.000          0.000          0.000          0.000         33.860          1.512       3535.170       4960.526          0.000         352.400          0.000        343.084          0.000
     31/12/1987      1987          0.000          0.000          0.000          0.000          0.000          0.000       1388.923         54.503          2.288       1667.866       3077.074          0.000         439.300          0.000        407.341          0.000
     31/12/1988      1988       1177.095         83.357          3.023          0.000          0.000          0.000          0.000          0.000          0.000        606.484       3631.959          0.000         537.400          0.315        438.746          0.000
     31/12/1989      1989          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000        559.684       2336.665          0.000         513.600          4.195        438.842         14.216
     31/12/1990      1990          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         13.421         61.011          0.000         487.500         23.166        368.882         99.939
     31/12/1991      1991       1631.766        118.781          4.464          0.000          0.000          0.000          0.000          0.000          0.000        587.545       4943.433          0.000         469.000          4.030        356.492          9.157
     31/12/1992      1992          0.000          0.000          0.000          0.000          0.000          0.000          0.000         66.575          3.423       1708.804       2930.215          0.000         475.200          0.000        415.842          0.000
     31/12/1993      1993          0.000          0.000          0.000          0.000          0.000          0.000       2492.754         61.930          3.401        913.392       3294.134          0.000         589.200          0.026        532.064          0.000
     31/12/1994      1994          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          6.605         25.031          0.000         357.300          1.607        312.016          0.000
     31/12/1995      1995          0.000          0.000          0.000          0.000          0.000          0.000          0.000         36.024          1.747          0.174          0.884          0.000         584.200         86.224        392.733         85.501
     31/12/1996      1996          0.000          0.000          0.000          0.000          0.000          0.000       3195.075        110.669          3.187        765.265       3127.946          0.000         545.700          0.483        460.172          0.000
     31/12/1997      1997       2401.162        106.046          3.254          0.000          0.000          0.000          0.000          0.000          0.000        506.085       3649.763          0.000         496.600          3.449        381.104          0.000
     31/12/1998      1998          0.000          0.000          0.000          0.000          0.000          0.000          0.000         79.180          2.492       1132.819       2811.755          0.000         812.200         30.086        524.380        202.354
     31/12/1999      1999          0.000          0.000          0.000          0.000          0.000          0.000       1938.749         39.929          2.274        515.030       2791.859          0.000         592.800         10.331        482.374          0.000
     31/12/2000      2000       1872.841        118.500          3.323          0.000          0.000          0.000          0.000          0.000          0.000        429.848       3662.182          0.000         738.900         34.532        430.103        142.620
     31/12/2001      2001          0.000          0.000          0.000          0.000          0.000          0.000          0.000         86.121          2.888       1372.799       2698.902          0.000         447.500          0.000        401.296         26.385
     31/12/2002      2002          0.000          0.000          0.000          0.000          0.000          0.000       2208.063         46.061          2.650        808.048       3234.390          0.000         206.600          0.000        219.536          0.000
