Summary_file = output\coonamble_cd2_50_w3_deep_AvgWindow.sum
Title = site=coonamble; soil=cd2; treatment=w3; Nrate=50; RootDepth=deep; Sowing = AvgWindow
           date      year      wht_yield         wht_ep     wht_laimax      chk_yield         chk_ep     chk_laimax      sor_yield         sor_ep     sor_laimax    avg_residue    max_residue    min_residue annual_rainfall  annual_runoff      annual_es   annual_drain
             ()    (year)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)             ()        (m2/m2)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)           (mm)           (mm)           (mm)
     31/12/1957      1957          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          5.811          9.784          0.000         240.300          4.725        261.889         20.510
     31/12/1958      1958       3602.290        183.054          4.402          0.000          0.000          0.000          0.000          0.000          0.000        957.591       6948.164          0.000         642.900         44.271        433.188         83.602
     31/12/1959      1959          0.000          0.000          0.000       1670.396        140.497          2.250          0.000          0.000          0.000       6081.478       7537.260          0.000         685.200         31.440        286.801        218.975
     31/12/1960      1960        558.121         48.259          1.604          0.000          0.000          0.000          0.000          0.000          0.000       5791.101       7332.984          0.000         399.100          0.000        337.851          0.000
     31/12/1961      1961          0.000          0.000          0.000        557.841         76.015          1.563          0.000          0.000          0.000       3672.680       5063.260          0.000         445.200          0.000        387.020          0.000
     31/12/1962      1962       2009.385        144.412          3.205          0.000          0.000          0.000          0.000          0.000          0.000       1574.742       5246.858          0.000         641.300          0.000        443.568          0.000
     31/12/1963      1963          0.000          0.000          0.000       1664.060        136.878          2.411          0.000          0.000          0.000       2565.926       4369.718          0.000         555.600          3.820        400.504         76.995
     31/12/1964      1964       1449.522         65.564          1.649          0.000          0.000          0.000          0.000          0.000          0.000       1340.614       3763.868          0.000         449.100          0.005        391.125          0.000
     31/12/1965      1965          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000       1642.939       2023.996          0.000         342.700          4.695        248.853          0.000
     31/12/1966      1966          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000        406.966        673.201          0.000         374.800          0.075        371.031          0.000
     31/12/1967      1967       1724.329        127.397          5.271          0.000          0.000          0.000          0.000          0.000          0.000        980.418       5785.269          0.000         327.800          3.078        251.066         34.381
     31/12/1968      1968          0.000          0.000          0.000       1205.222        119.513          2.252          0.000          0.000          0.000       2368.142       5327.053          0.000         519.800          4.557        361.619         19.707
     31/12/1969      1969       1868.443        121.076          3.322          0.000          0.000          0.000          0.000          0.000          0.000       1202.623       5329.414          0.000         671.000          8.164        479.885          0.000
     31/12/1970      1970          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000       1525.194       3700.186          0.000         601.600          1.185        469.730         58.909
     31/12/1971      1971       2083.451        141.846          3.540          0.000          0.000          0.000          0.000          0.000          0.000        461.030       4548.168          0.000         617.500         20.361        442.563        133.707
     31/12/1972      1972          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000       1107.916       2890.996          0.000         467.300          0.001        391.228          0.000
     31/12/1973      1973       4749.905        228.258          4.315          0.000          0.000          0.000          0.000          0.000          0.000        834.837       6682.399          0.000         873.600         30.761        477.234        156.028
     31/12/1974      1974          0.000          0.000          0.000       1948.410        143.284          2.596          0.000          0.000          0.000       4140.856       6186.566          0.000         593.200         34.532        329.615        164.388
     31/12/1975      1975       1512.905        105.850          2.625          0.000          0.000          0.000          0.000          0.000          0.000       2649.294       4909.479          0.000         485.500          0.000        371.961          0.000
     31/12/1976      1976          0.000          0.000          0.000       1557.233        131.209          2.759          0.000          0.000          0.000       2068.177       3954.255          0.000         624.200          3.737        420.073         75.624
     31/12/1977      1977       1070.700         90.369          1.615          0.000          0.000          0.000          0.000          0.000          0.000       1229.852       3126.030          0.000         498.800         24.393        333.933         37.747
     31/12/1978      1978          0.000          0.000          0.000       1797.360        132.820          2.433          0.000          0.000          0.000       1043.326       2867.304          0.000         738.800          4.525        498.643          0.000
     31/12/1979      1979       1726.435        115.908          2.539          0.000          0.000          0.000          0.000          0.000          0.000        858.229       4054.738          0.000         325.400          0.000        335.057          0.000
     31/12/1980      1980          0.000          0.000          0.000        894.611        115.594          1.948          0.000          0.000          0.000       2270.008       3781.575          0.000         533.300         25.653        349.245         12.878
     31/12/1981      1981       1736.288        109.746          3.147          0.000          0.000          0.000          0.000          0.000          0.000       1283.904       3930.788          0.000         500.600          7.488        351.179          0.000
     31/12/1982      1982          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000       1411.762       3261.120          0.000         368.300          0.854        283.439         28.673
     31/12/1983      1983       4018.774        224.964          6.172          0.000          0.000          0.000          0.000          0.000          0.000       1377.333       8686.771          0.000         734.100         10.089        408.900         69.737
     31/12/1984      1984          0.000          0.000          0.000       1338.740        153.727          1.614          0.000          0.000          0.000       3621.672       6972.903          0.000         737.300          5.609        395.637        304.367
     31/12/1985      1985          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000       1840.291       3845.263          0.000         490.100          0.000        450.063          0.000
     31/12/1986      1986        669.834         50.397          1.484          0.000          0.000          0.000          0.000          0.000          0.000        262.969       2004.803          0.000         352.400          0.000        349.922          0.000
     31/12/1987      1987          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000        322.391       1555.847          0.000         439.300          0.000        420.997          0.000
     31/12/1988      1988        684.977         61.703          2.004          0.000          0.000          0.000          0.000          0.000          0.000        304.238       2898.594          0.000         537.400          0.676        452.261          0.000
     31/12/1989      1989          0.000          0.000          0.000       1191.749        115.122          1.902          0.000          0.000          0.000        418.014       2164.970          0.000         513.600          6.475        439.995          0.166
     31/12/1990      1990       1888.216        125.097          3.950          0.000          0.000          0.000          0.000          0.000          0.000        918.063       5380.824          0.000         487.500         22.035        338.590          0.000
     31/12/1991      1991          0.000          0.000          0.000        206.966         30.969          0.934          0.000          0.000          0.000       3139.574       4973.424          0.000         469.000          2.936        357.835          0.000
     31/12/1992      1992       1643.112         96.779          2.540          0.000          0.000          0.000          0.000          0.000          0.000       1317.567       3227.322          0.000         475.200          0.000        394.374          0.000
     31/12/1993      1993          0.000          0.000          0.000       1824.915        137.599          2.057          0.000          0.000          0.000       1139.521       2638.347          0.000         589.200          0.000        500.838          0.000
     31/12/1994      1994          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000        234.354        843.169          0.000         357.300          0.112        295.904          0.000
     31/12/1995      1995       1684.335        111.822          3.855          0.000          0.000          0.000          0.000          0.000          0.000        559.277       4304.965          0.000         584.200         85.523        378.848         39.090
     31/12/1996      1996          0.000          0.000          0.000        498.930         64.391          1.271          0.000          0.000          0.000        815.831       2557.410          0.000         545.700          0.000        479.384          0.000
     31/12/1997      1997       1591.670         81.800          2.044          0.000          0.000          0.000          0.000          0.000          0.000        415.989       2500.180          0.000         496.600          4.187        389.920          0.000
