Summary_file = output\coonamble_lg1_200_LongFallow1_deep_AvgWindow.sum
Title = site=coonamble; soil=lg1; treatment=LongFallow1; Nrate=200; RootDepth=deep; Sowing = AvgWindow
           date      year      wht_yield         wht_ep     wht_laimax      chk_yield         chk_ep     chk_laimax      sor_yield         sor_ep     sor_laimax    avg_residue    max_residue    min_residue annual_rainfall  annual_runoff      annual_es   annual_drain
             ()    (year)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)           (mm)           (mm)           (mm)
     31/12/1957      1957          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          5.811          9.784          0.000         240.300          9.978        260.706         21.140
     31/12/1958      1958       6164.951        283.947          5.390          0.000          0.000          0.000          0.000          0.000          0.000       1305.990       9483.973          0.000         642.900         48.409        411.583         86.098
     31/12/1959      1959          0.000          0.000          0.000          0.000          0.000          0.000         58.880        130.682          3.014       7717.804       9268.237          0.000         685.200         67.291        233.873        158.900
     31/12/1960      1960          0.000          0.000          0.000          0.000          0.000          0.000       2989.614         66.803          2.837       3002.636       6979.735          0.000         399.100          0.182        361.031          0.001
     31/12/1961      1961       1750.122        133.867          5.288          0.000          0.000          0.000          0.000          0.000          0.000        661.038       5623.406          0.000         445.200          0.694        380.725          0.000
     31/12/1962      1962          0.000          0.000          0.000          0.000          0.000          0.000          0.000         90.187          3.035        106.899       1317.538          0.000         641.300          2.379        498.706          0.000
     31/12/1963      1963          0.000          0.000          0.000          0.000          0.000          0.000       4284.592        103.743          2.944       1760.877       5387.217          0.000         555.600          9.642        402.121          0.000
     31/12/1964      1964       4177.053        209.830          4.820          0.000          0.000          0.000          0.000          0.000          0.000        867.675       7188.940          0.000         449.100          1.331        358.881          0.000
     31/12/1965      1965          0.000          0.000          0.000          0.000          0.000          0.000          0.000          1.377          0.067       4126.050       6103.308          0.000         342.700          7.930        244.644          0.000
     31/12/1966      1966          0.000          0.000          0.000          0.000          0.000          0.000       1348.011         82.035          2.305        718.700       2259.321          0.000         374.800          0.000        365.265          0.000
     31/12/1967      1967       1549.500        113.264          5.137          0.000          0.000          0.000          0.000          0.000          0.000        863.787       5239.772          0.000         327.800          8.020        243.286          0.000
     31/12/1968      1968          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000        608.867       4669.335          0.000         519.800         12.904        375.174          0.000
     31/12/1969      1969          0.000          0.000          0.000          0.000          0.000          0.000       3177.886        144.808          2.908        727.816       3554.992          0.000         671.000          8.142        517.641          0.000
     31/12/1970      1970          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          9.397         53.400          0.000         601.600         14.979        477.693          0.000
