Summary_file = output\coonamble_lg1_200_oc2_deep_AvgWindow.sum
Title = site=coonamble; soil=lg1; treatment=oc2; Nrate=200; RootDepth=deep; Sowing = AvgWindow
           date      year      wht_yield         wht_ep     wht_laimax      chk_yield         chk_ep     chk_laimax      sor_yield         sor_ep     sor_laimax    avg_residue    max_residue    min_residue annual_rainfall  annual_runoff      annual_es   annual_drain
             ()    (year)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)           (mm)           (mm)           (mm)
     31/12/1957      1957          0.000          0.000          0.000          0.000          0.000          0.000       5097.405        228.218          3.454       2201.292       4673.150          0.000         240.300          1.083        232.727          0.000
     31/12/1958      1958       5400.126        239.691          5.263          0.000          0.000          0.000          0.000          0.000          0.000       1440.536       8601.197          0.000         642.900         24.574        412.193          0.000
     31/12/1959      1959          0.000          0.000          0.000       2403.300        206.477          2.971          0.000          0.000          0.000       5438.260       8155.047          0.000         685.200         44.735        290.446        104.817
     31/12/1960      1960          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000       3691.117       6028.272          0.000         399.100          0.044        369.539          0.000
     31/12/1961      1961       1609.500        127.678          5.909          0.000          0.000          0.000          0.000          0.000          0.000        645.599       5517.458          0.000         445.200          0.831        381.858          0.000
     31/12/1962      1962          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.835          0.160        123.616       1536.881          0.000         641.300          2.388        519.561          0.000
     31/12/1963      1963          0.000          0.000          0.000          0.000          0.000          0.000       4866.784        216.406          3.878        961.354       5006.274          0.000         555.600          4.533        427.063          0.000
     31/12/1964      1964       3001.669        137.570          3.793          0.000          0.000          0.000          0.000          0.000          0.000        566.724       4913.112          0.000         449.100          1.427        365.990          0.000
     31/12/1965      1965          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000       2624.546       4127.615          0.000         342.700          9.386        250.480          0.000
     31/12/1966      1966          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         59.667        153.383          0.000         374.800          1.605        367.413          0.000
     31/12/1967      1967       2404.775        169.835          6.384          0.000          0.000          0.000          0.000          0.000          0.000       1178.091       7299.052          0.000         327.800         11.014        248.662          0.000
     31/12/1968      1968          0.000          0.000          0.000       1486.018        133.702          2.469          0.000          0.000          0.000       1302.537       6367.227          0.000         519.800         10.792        364.708          0.000
     31/12/1969      1969          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000        215.301       1662.464          0.000         671.000         13.704        553.942          0.000
     31/12/1970      1970          0.000          0.000          0.000          0.000          0.000          0.000          0.000        106.141          3.397          0.116          0.891          0.000         601.600         15.143        447.724          0.000
     31/12/1971      1971       3499.257        217.091          4.975          0.000          0.000          0.000       4986.414        127.366          3.335       2750.797       6239.925          0.000         617.500         23.008        368.588          0.000
     31/12/1972      1972          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000        660.470       3118.947          0.000         467.300          0.516        387.633          0.000
     31/12/1973      1973       6598.091        268.328          5.103          0.000          0.000          0.000          0.000          0.000          0.000        936.812       8744.965          0.000         873.600         54.089        461.792          7.132
     31/12/1974      1974          0.000          0.000          0.000          0.000          0.000          0.000       4342.620        195.669          3.243       1789.838       6428.660          0.000         593.200         41.756        357.541         64.553
     31/12/1975      1975       3463.195        184.532          5.021          0.000          0.000          0.000          0.000          0.000          0.000        686.009       6504.420          0.000         485.500          8.572        370.157          0.000
     31/12/1976      1976          0.000          0.000          0.000       2243.070        186.168          2.973          0.000          0.000          0.000        801.269       3605.488          0.000         624.200          8.005        421.300          0.000
     31/12/1977      1977       2173.772        170.012          5.804          0.000          0.000          0.000          0.000          0.000          0.000       1278.087       6093.062          0.000         498.800         36.992        327.294          0.000
     31/12/1978      1978          0.000          0.000          0.000       1722.424        135.993          2.238          0.000          0.000          0.000       1437.909       5039.275          0.000         738.800          7.956        482.138          0.000
