APSIM output file, version = 5.4
Title = site=coonamble; soil=lg1; treatment=w1; Nrate=200; RootDepth=deep; Sowing = AvgWindow
           date           year      wht_yield         wht_ep     wht_laimax      chk_yield         chk_ep     chk_laimax      sor_yield         sor_ep     sor_laimax    avg_residue    max_residue    min_residue annual_rainfall  annual_runoff      annual_es   annual_drain
             ()         (year)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)             ()        (m2/m2)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)           (mm)           (mm)           (mm)
     31/12/1970           1970            0.0          0.000          0.000            0.0          0.000          0.000            0.0          0.000          0.000            3.2            9.7            0.0         601.600         15.500        494.990         98.228
     31/12/1971           1971         3994.7        220.481          4.312            0.0          0.000          0.000            0.0          0.000          0.000          455.6         5940.3            0.0         617.500         26.176        429.528        138.432
     31/12/1972           1972            0.0          0.000          0.000            0.0          0.000          0.000            0.0          0.000          0.000         3753.9         5091.1            0.0         467.300          0.044        368.537          0.000
     31/12/1973           1973         5636.6        321.486          5.075            0.0          0.000          0.000            0.0          0.000          0.000         1572.2         9957.0            0.0         873.600         34.001        440.999        116.176
     31/12/1974           1974         5245.4        264.389          6.806            0.0          0.000          0.000            0.0          0.000          0.000         4731.9         9602.7            0.0         593.200         43.743        276.215        106.115
     31/12/1975           1975         3858.5        200.392          5.128            0.0          0.000          0.000            0.0          0.000          0.000         5271.6         8869.1            0.0         485.500          2.765        292.401          0.000
     31/12/1976           1976         5037.8        254.637          5.560            0.0          0.000          0.000            0.0          0.000          0.000         3967.7         8617.6            0.0         624.200          6.469        331.642          4.687
     31/12/1977           1977         3170.6        203.055          5.602            0.0          0.000          0.000            0.0          0.000          0.000         4682.9         7849.9            0.0         498.800         21.539        280.441         13.132
     31/12/1978           1978         4626.5        227.614          5.897            0.0          0.000          0.000            0.0          0.000          0.000         3091.4         9209.8            0.0         738.800         33.462        364.824          0.000
     31/12/1979           1979         2712.0        157.362          3.357            0.0          0.000          0.000            0.0          0.000          0.000         4003.2         6844.8            0.0         325.400          0.000        307.271          0.000
     31/12/1980           1980         1732.0        135.022          5.117            0.0          0.000          0.000            0.0          0.000          0.000         1761.1         5958.4            0.0         533.300         47.041        338.430          0.000
     31/12/1981           1981         2387.0        137.316          5.811            0.0          0.000          0.000            0.0          0.000          0.000         1449.4         6117.6            0.0         500.600          7.702        320.020          0.000
     31/12/1982           1982            0.0          0.000          0.000            0.0          0.000          0.000            0.0          0.000          0.000          680.8         3693.8            0.0         368.300          3.803        283.253          0.000
     31/12/1983           1983         7520.2        332.468          7.738            0.0          0.000          0.000            0.0          0.000          0.000         1304.7        10587.2            0.0         734.100         20.071        394.066          0.000
     31/12/1984           1984         3879.0        229.141          3.981            0.0          0.000          0.000            0.0          0.000          0.000         1638.0         6995.7            0.0         737.300         13.380        420.519        139.501
     31/12/1985           1985            0.0          0.000          0.000            0.0          0.000          0.000            0.0          0.000          0.000         1968.2         5256.0            0.0         490.100          0.042        441.434          0.000
     31/12/1986           1986         1575.8         92.130          1.892            0.0          0.000          0.000            0.0          0.000          0.000          213.3         2912.6            0.0         352.400          0.011        343.105          0.000
     31/12/1987           1987            0.0          0.000          0.000            0.0          0.000          0.000            0.0          0.000          0.000          418.8         2298.4            0.0         439.300          0.000        414.285          0.000
     31/12/1988           1988          946.0         73.697          2.206            0.0          0.000          0.000            0.0          0.000          0.000          228.9         2681.0            0.0         537.400          0.970        447.192          0.000
     31/12/1989           1989         2814.7        170.481          6.657            0.0          0.000          0.000            0.0          0.000          0.000          928.6         7193.5            0.0         513.600         10.171        407.447          0.000
     31/12/1990           1990         2929.8        171.738          6.778            0.0          0.000          0.000            0.0          0.000          0.000         2183.6         7900.4            0.0         487.500         13.261        307.669          0.000
     31/12/1991           1991            0.0          0.000          0.000            0.0          0.000          0.000            0.0          0.000          0.000         1643.2         6104.6            0.0         469.000         18.319        360.786          0.000
     31/12/1992           1992            0.0          0.000          0.000            0.0          0.000          0.000            0.0          0.000          0.000           19.7           92.3            0.0         475.200          2.290        431.407          0.000
     31/12/1993           1993         5816.2        258.826          6.198            0.0          0.000          0.000            0.0          0.000          0.000          845.4         8671.6            0.0         589.200          0.584        418.509          0.000
     31/12/1994           1994            0.0          0.000          0.000            0.0          0.000          0.000            0.0          0.000          0.000         2718.2         4739.2            0.0         357.300          2.064        291.862          0.000
     31/12/1995           1995         3388.8        188.848          5.357            0.0          0.000          0.000            0.0          0.000          0.000          872.9         6370.2            0.0         584.200         93.246        360.483          0.000
     31/12/1996           1996         1652.5        109.045          3.160            0.0          0.000          0.000            0.0          0.000          0.000          928.3         3893.5            0.0         545.700          0.000        451.877          0.000
     31/12/1997           1997         1423.5         75.616          1.837            0.0          0.000          0.000            0.0          0.000          0.000          429.4         2573.5            0.0         496.600          5.074        373.711          0.000
     31/12/1998           1998         6197.9        319.336          5.376            0.0          0.000          0.000            0.0          0.000          0.000         1484.3        11362.3            0.0         812.200         47.641        387.405          0.000
     31/12/1999           1999         4687.3        251.393          5.022            0.0          0.000          0.000            0.0          0.000          0.000         4199.7         8403.3            0.0         592.800          7.003        352.075          0.000
     31/12/2000           2000         4348.2        238.699          7.216            0.0          0.000          0.000            0.0          0.000          0.000         2438.6         7994.1            0.0         738.900         24.615        386.369          0.000
