Summary_file = output\coonamble_lg1_200_w3_deep_AvgWindow.sum
Title = site=coonamble; soil=lg1; treatment=w3; Nrate=200; RootDepth=deep; Sowing = AvgWindow
           date      year      wht_yield         wht_ep     wht_laimax      chk_yield         chk_ep     chk_laimax      sor_yield         sor_ep     sor_laimax    avg_residue    max_residue    min_residue annual_rainfall  annual_runoff      annual_es   annual_drain
             ()    (year)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)           (mm)           (mm)           (mm)
     31/12/1957      1957          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          5.811          9.784          0.000         240.300          9.978        260.706         21.140
     31/12/1958      1958       6392.820        273.107          5.337          0.000          0.000          0.000          0.000          0.000          0.000       1332.369       9668.985          0.000         642.900         48.516        411.805         86.395
     31/12/1959      1959          0.000          0.000          0.000       2540.551        225.712          3.039          0.000          0.000          0.000       8131.405       9960.851          0.000         685.200         65.963        203.734        164.990
     31/12/1960      1960       2351.469        150.843          5.462          0.000          0.000          0.000          0.000          0.000          0.000       6451.449       9342.256          0.000         399.100          0.016        267.671          0.000
     31/12/1961      1961          0.000          0.000          0.000        790.437         99.599          1.731          0.000          0.000          0.000       3327.888       7087.474          0.000         445.200          0.058        378.498          0.000
     31/12/1962      1962       1580.904        129.203          3.930          0.000          0.000          0.000          0.000          0.000          0.000        472.427       4607.982          0.000         641.300          1.602        485.346          0.000
     31/12/1963      1963          0.000          0.000          0.000       1894.675        157.397          2.738          0.000          0.000          0.000        434.726       2900.248          0.000         555.600          5.709        442.084          0.000
     31/12/1964      1964       1563.126         72.640          2.314          0.000          0.000          0.000          0.000          0.000          0.000        491.092       2878.826          0.000         449.100          0.850        375.836          0.000
     31/12/1965      1965          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000       1349.077       2344.201          0.000         342.700         10.030        254.654          0.000
     31/12/1966      1966          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         25.507         66.401          0.000         374.800          1.576        367.452          0.000
     31/12/1967      1967       2383.272        168.659          6.355          0.000          0.000          0.000          0.000          0.000          0.000       1172.986       7264.434          0.000         327.800         10.989        248.567          0.000
     31/12/1968      1968          0.000          0.000          0.000       1461.914        135.105          2.506          0.000          0.000          0.000       1366.993       6684.927          0.000         519.800         10.978        362.921          0.000
     31/12/1969      1969       3244.367        145.497          3.968          0.000          0.000          0.000          0.000          0.000          0.000        671.507       5044.415          0.000         671.000          7.395        489.235          0.000
     31/12/1970      1970          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000        312.588       2683.609          0.000         601.600          9.030        473.393          0.000
