Summary_file = output\goondiwindi_cd2_200_s1_deep_AvgWindow.sum
Title = site=goondiwindi; soil=cd2; treatment=s1; Nrate=200; RootDepth=deep; Sowing = AvgWindow
           date           year      wht_yield         wht_ep     wht_laimax      chk_yield         chk_ep     chk_laimax      sor_yield         sor_ep     sor_laimax    avg_residue    max_residue    min_residue annual_rainfall  annual_runoff      annual_es   annual_drain
             ()         (year)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)             ()        (m2/m2)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)           (mm)           (mm)           (mm)
     31/12/1957           1957          0.000          0.000          0.000          0.000          0.000          0.000       2546.945        130.725          2.556        716.965       3224.191          0.000         453.500          0.036        446.611          5.126
     31/12/1958           1958          0.000          0.000          0.000          0.000          0.000          0.000        185.442         76.787          2.159         30.608        240.700          0.000         662.400         16.589        535.867          0.199
     31/12/1959           1959          0.000          0.000          0.000          0.000          0.000          0.000       2215.927         86.562          2.465        443.440       2766.714          0.000         654.400         22.880        457.136         61.132
     31/12/1960           1960          0.000          0.000          0.000          0.000          0.000          0.000       2223.196         60.907          2.424        400.262       2711.971          0.000         450.100          0.000        446.482          0.000
     31/12/1961           1961          0.000          0.000          0.000          0.000          0.000          0.000        424.888        117.779          2.814          7.152         39.334          0.000         745.300         16.415        530.019         19.896
     31/12/1962           1962          0.000          0.000          0.000          0.000          0.000          0.000       4650.465         56.818          2.468       2881.668       5017.083          0.000         871.900         55.671        443.451        238.388
     31/12/1963           1963          0.000          0.000          0.000          0.000          0.000          0.000       2156.116        157.419          2.594        740.813       2957.268          0.000         577.700          4.692        435.563         44.616
     31/12/1964           1964          0.000          0.000          0.000          0.000          0.000          0.000       2769.001        103.481          2.107        390.966       2802.006          0.000         650.500          0.477        540.988          0.000
     31/12/1965           1965          0.000          0.000          0.000          0.000          0.000          0.000        913.588         44.782          0.507        608.549       1308.274          0.000         402.800          2.110        345.692          0.000
     31/12/1966           1966          0.000          0.000          0.000          0.000          0.000          0.000       1419.885        151.170          2.219        484.930       2786.426          0.000         572.500          5.587        445.720         16.631
     31/12/1967           1967          0.000          0.000          0.000          0.000          0.000          0.000       1364.334         49.240          2.072        622.972       2744.024          0.000         385.700          6.474        318.087          0.000
     31/12/1968           1968          0.000          0.000          0.000          0.000          0.000          0.000       3176.689        125.272          2.607        583.047       2817.982          0.000         561.600          4.026        427.045          0.000
     31/12/1969           1969          0.000          0.000          0.000          0.000          0.000          0.000        702.242        133.399          2.659        394.360       1875.265          0.000         621.900         29.126        439.163         17.059
     31/12/1970           1970          0.000          0.000          0.000          0.000          0.000          0.000       2465.744        149.833          2.742       1052.373       4159.091          0.000         743.300         21.895        440.745         46.793
     31/12/1971           1971          0.000          0.000          0.000          0.000          0.000          0.000       4853.645        126.022          2.666       1164.649       4251.038          0.000         668.800          9.648        460.833        105.615
     31/12/1972           1972          0.000          0.000          0.000          0.000          0.000          0.000       2918.790        158.809          2.744       1170.468       3733.604          0.000         501.100          0.392        432.284          0.000
     31/12/1973           1973          0.000          0.000          0.000          0.000          0.000          0.000       1640.870        105.731          2.726        179.494       2006.436          0.000         727.500          2.460        545.756         15.972
     31/12/1974           1974          0.000          0.000          0.000          0.000          0.000          0.000       3664.885        114.521          2.688        681.684       3133.307          0.000         509.100         14.564        432.809          0.000
     31/12/1975           1975          0.000          0.000          0.000          0.000          0.000          0.000        942.902        115.522          2.181        257.243       2422.322          0.000         692.900          6.781        468.194          9.610
     31/12/1976           1976          0.000          0.000          0.000          0.000          0.000          0.000       3583.126        162.912          2.191        385.525       3826.314          0.000         817.500         50.645        540.193        155.366
     31/12/1977           1977          0.000          0.000          0.000          0.000          0.000          0.000       2278.884        125.000          2.285        417.326       3126.490          0.000         614.500          2.096        468.593         31.695
     31/12/1978           1978          0.000          0.000          0.000          0.000          0.000          0.000       1809.076        100.096          2.510        329.883       2803.715          0.000         799.100         16.266        556.298         90.739
     31/12/1979           1979          0.000          0.000          0.000          0.000          0.000          0.000       2010.298        108.672          2.351        802.063       3619.878          0.000         488.600          0.040        440.443          0.000
     31/12/1980           1980          0.000          0.000          0.000          0.000          0.000          0.000       1038.200         13.795          1.380        459.869       2263.591          0.000         387.700          0.000        354.756          0.000
     31/12/1981           1981          0.000          0.000          0.000          0.000          0.000          0.000          0.000         81.738          2.546          5.939         30.570          0.000         664.100         27.448        481.001         12.512
     31/12/1982           1982          0.000          0.000          0.000          0.000          0.000          0.000       3020.848         80.685          2.471        468.032       3480.635          0.000         518.300          2.342        392.202         14.169
     31/12/1983           1983          0.000          0.000          0.000          0.000          0.000          0.000       3266.364        223.719          2.924        269.996       2999.466          0.000        1019.100         70.438        599.590        183.656
     31/12/1984           1984          0.000          0.000          0.000          0.000          0.000          0.000       4046.847        136.574          2.685        659.786       4265.147          0.000         798.300         25.865        527.146        112.467
     31/12/1985           1985          0.000          0.000          0.000          0.000          0.000          0.000       1759.956        104.369          2.674        703.464       3127.856          0.000         568.000          8.972        473.686          0.000
     31/12/1986           1986          0.000          0.000          0.000          0.000          0.000          0.000       1864.335         77.042          2.508        984.250       3679.613          0.000         531.400          0.202        470.525          0.000
     31/12/1987           1987          0.000          0.000          0.000          0.000          0.000          0.000       1456.332         58.853          1.457        273.827       2188.414          0.000         598.600          0.022        498.506          0.000
     31/12/1988           1988          0.000          0.000          0.000          0.000          0.000          0.000       2735.552        135.818          2.199        260.719       2444.242          0.000         832.400         16.814        528.221        143.822
     31/12/1989           1989          0.000          0.000          0.000          0.000          0.000          0.000       1819.821        105.644          2.467        411.879       2632.876          0.000         680.000         42.166        466.195         35.979
     31/12/1990           1990          0.000          0.000          0.000          0.000          0.000          0.000       4033.316        132.082          2.524        612.713       3938.874          0.000         687.900         21.403        447.719         79.213
     31/12/1991           1991          0.000          0.000          0.000          0.000          0.000          0.000       4296.822        181.557          2.658       1423.582       4588.962          0.000         608.700         29.278        375.472         10.887
     31/12/1992           1992          0.000          0.000          0.000          0.000          0.000          0.000       2927.170        122.456          2.077        884.228       2949.818          0.000         382.800          0.000        369.261          0.000
     31/12/1993           1993          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         27.228        109.586          0.000         446.500          0.543        407.523          0.000
     31/12/1994           1994          0.000          0.000          0.000          0.000          0.000          0.000          0.000         39.227          1.820          0.114          0.621          0.000         524.300         31.163        374.925         31.891
     31/12/1995           1995          0.000          0.000          0.000          0.000          0.000          0.000       3709.357        145.196          2.223       1334.712       3658.310          0.000         608.600         13.261        420.611         29.969
     31/12/1996           1996          0.000          0.000          0.000          0.000          0.000          0.000       4992.701        164.234          2.756       1978.100       5316.410          0.000         961.100         88.376        469.469        205.626
     31/12/1997           1997          0.000          0.000          0.000          0.000          0.000          0.000       3967.750        153.872          2.447       1312.078       3962.244          0.000         747.000         69.795        432.608         90.374
     31/12/1998           1998          0.000          0.000          0.000          0.000          0.000          0.000       1787.603        115.979          2.746        610.704       2980.941          0.000         891.400         77.453        556.452        169.588
     31/12/1999           1999          0.000          0.000          0.000          0.000          0.000          0.000       2412.252        155.539          2.571        241.963       2243.996          0.000         848.600         26.715        561.349        119.287
     31/12/2000           2000          0.000          0.000          0.000          0.000          0.000          0.000       2798.814         92.508          2.475        778.038       4182.566          0.000         481.900          1.294        419.172          0.000
     31/12/2001           2001          0.000          0.000          0.000          0.000          0.000          0.000       1902.720        117.709          2.337        471.764       3075.628          0.000         584.800         26.208        450.078          0.000
     31/12/2002           2002          0.000          0.000          0.000          0.000          0.000          0.000       1284.734         42.716          2.156        595.144       2418.750          0.000         469.700          9.914        383.296          0.000
