Summary_file = output\goondiwindi_cd2_50_oc2_deep_AvgWindow.sum
Title = site=goondiwindi; soil=cd2; treatment=oc2; Nrate=50; RootDepth=deep; Sowing = AvgWindow
           date      year      wht_yield         wht_ep     wht_laimax      chk_yield         chk_ep     chk_laimax      sor_yield         sor_ep     sor_laimax    avg_residue    max_residue    min_residue annual_rainfall  annual_runoff      annual_es   annual_drain
             ()    (year)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)             ()        (m2/m2)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)           (mm)           (mm)           (mm)
     31/12/1957      1957          0.000          0.000          0.000          0.000          0.000          0.000       2545.867        130.700          2.557       1285.499       3223.441          0.000         453.500          0.036        441.723          5.132
     31/12/1958      1958       2644.427        142.156          3.093          0.000          0.000          0.000          0.000          0.000          0.000        856.222       4627.510          0.000         662.400         15.032        511.642          7.237
     31/12/1959      1959          0.000          0.000          0.000       1728.830        130.833          2.232          0.000         43.934          2.370       3033.319       4490.424          0.000         654.400         21.826        406.625         21.273
     31/12/1960      1960          0.000          0.000          0.000          0.000          0.000          0.000       1517.575         40.495          2.238       1972.734       3198.185          0.000         450.100          0.000        443.945          0.000
     31/12/1961      1961       1370.168         86.344          2.181          0.000          0.000          0.000          0.000         19.239          1.260        360.379       2229.251          0.000         745.300          6.635        521.486          1.271
     31/12/1962      1962          0.000          0.000          0.000       1490.093        146.550          2.175       4605.376        145.946          2.874       2311.302       4218.215          0.000         871.900         39.996        418.735        190.931
     31/12/1963      1963       1512.313        100.122          2.335          0.000          0.000          0.000          0.000          0.000          0.000        848.398       3659.781          0.000         577.700         15.853        456.375          0.000
     31/12/1964      1964          0.000          0.000          0.000       2228.379        180.384          2.468          0.000          0.000          0.000        967.245       3340.760          0.000         650.500          0.243        503.446          2.995
     31/12/1965      1965          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000        411.043       1045.862          0.000         402.800          1.576        346.972          0.000
     31/12/1966      1966       3622.152        204.944          5.667          0.000          0.000          0.000          0.000          0.000          0.000       1058.607       7804.327          0.000         572.500          1.082        379.286          0.000
     31/12/1967      1967          0.000          0.000          0.000       1163.647        121.323          1.950          0.000          0.000          0.000       5241.585       6910.591          0.000         385.700          1.391        264.764         35.380
     31/12/1968      1968       1789.381        113.232          3.407          0.000          0.000          0.000          0.000          0.000          0.000       2104.139       5475.959          0.000         561.600          0.381        391.793          0.000
     31/12/1969      1969          0.000          0.000          0.000       1283.311        128.128          1.637       1015.348         67.963          1.645       2299.545       4687.365          0.000         621.900          7.918        390.433          0.000
     31/12/1970      1970          0.000          0.000          0.000          0.000          0.000          0.000       2905.210        188.216          2.771       1191.696       2908.612          0.000         743.300         20.589        439.844         28.197
     31/12/1971      1971       1991.899        145.576          2.453          0.000          0.000          0.000       4897.784        113.077          2.694       1582.161       4246.961          0.000         668.800          8.136        441.215         81.905
     31/12/1972      1972          0.000          0.000          0.000          0.000          0.000          0.000          0.000         48.957          2.025        920.961       2483.909          0.000         501.100          0.712        442.768          0.000
     31/12/1973      1973       2113.320        124.854          3.058          0.000          0.000          0.000       2193.122         70.582          2.098        868.917       3828.740          0.000         727.500          1.225        521.963         13.565
     31/12/1974      1974          0.000          0.000          0.000          0.000          0.000          0.000          0.000         47.204          2.137        820.428       2120.568          0.000         509.100         18.747        431.235          0.000
     31/12/1975      1975       2316.141        124.252          3.110          0.000          0.000          0.000       1477.920         57.344          2.287        857.258       4189.148          0.000         692.900          4.971        448.361          8.528
     31/12/1976      1976          0.000          0.000          0.000       2179.215        155.053          2.232       4993.787        156.710          2.933       2309.239       4430.488          0.000         817.500         52.324        427.533         99.329
     31/12/1977      1977       1568.854        112.089          3.181          0.000          0.000          0.000          0.000          0.000          0.000        757.545       3928.394          0.000         614.500          5.995        480.587         48.851
     31/12/1978      1978          0.000          0.000          0.000       2230.421        158.721          2.702          0.000          0.000          0.000        724.430       3321.081          0.000         799.100          8.586        526.972         33.774
     31/12/1979      1979          0.000          0.000          0.000          0.000          0.000          0.000        315.427         86.119          2.192        157.485        647.338          0.000         488.600          1.549        442.196          2.219
     31/12/1980      1980          0.000          0.000          0.000          0.000          0.000          0.000       1729.828         23.350          1.891        673.849       2839.079          0.000         387.700          0.000        354.800          0.000
     31/12/1981      1981       2623.743        155.207          5.621          0.000          0.000          0.000          0.000          0.000          0.000        902.773       6296.461          0.000         664.100         27.577        432.265          0.935
     31/12/1982      1982          0.000          0.000          0.000          0.000          0.000          0.000       3076.676        116.299          2.330       2786.136       3954.155          0.000         518.300          0.478        356.961         11.351
     31/12/1983      1983       2206.368        149.064          2.579          0.000          0.000          0.000       3329.678        159.820          2.602       1219.373       5711.188          0.000        1019.100         54.449        525.650        151.636
     31/12/1984      1984          0.000          0.000          0.000       1525.658        143.619          2.278       4390.597        132.475          2.732       2048.472       4399.440          0.000         798.300         17.072        461.040        118.135
     31/12/1985      1985       1666.187        103.421          2.724          0.000          0.000          0.000          0.000          0.000          0.000        887.833       3888.030          0.000         568.000         15.113        457.197          0.000
     31/12/1986      1986          0.000          0.000          0.000        780.421         87.863          1.463          0.000          0.000          0.000        787.949       1986.824          0.000         531.400          0.001        462.673          0.000
     31/12/1987      1987          0.000          0.000          0.000          0.000          0.000          0.000        105.179         74.083          2.606        123.204       1131.159          0.000         598.600          0.777        496.651          0.000
     31/12/1988      1988       2981.864        155.518          3.269          0.000          0.000          0.000       2175.578         32.143          2.307       1367.214       5339.137          0.000         832.400         15.866        501.353        142.505
     31/12/1989      1989          0.000          0.000          0.000       1107.262        111.664          1.963          0.000          0.000          0.000       2522.401       4353.385          0.000         680.000         27.093        423.241         79.380
