Summary_file = output\goondiwindi_cd2_50_w3_deep_AvgWindow.sum
Title = site=goondiwindi; soil=cd2; treatment=w3; Nrate=50; RootDepth=deep; Sowing = AvgWindow
           date      year      wht_yield         wht_ep     wht_laimax      chk_yield         chk_ep     chk_laimax      sor_yield         sor_ep     sor_laimax    avg_residue    max_residue    min_residue annual_rainfall  annual_runoff      annual_es   annual_drain
             ()    (year)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)           (mm)           (mm)           (mm)
     31/12/1957      1957          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          2.660          9.845          0.000         453.500          0.606        468.079         21.882
     31/12/1958      1958       2740.260        147.163          3.285          0.000          0.000          0.000          0.000          0.000          0.000        783.056       5485.912          0.000         662.400         18.985        499.944         89.816
     31/12/1959      1959          0.000          0.000          0.000       1789.459        135.995          2.223          0.000          0.000          0.000       4459.932       5944.240          0.000         654.400         21.763        386.018         41.918
     31/12/1960      1960       1876.864        128.293          3.419          0.000          0.000          0.000          0.000          0.000          0.000       3716.402       6758.220          0.000         450.100          0.000        385.154          0.000
     31/12/1961      1961          0.000          0.000          0.000       1331.543        138.485          1.897          0.000          0.000          0.000       4068.368       5941.000          0.000         745.300          7.650        458.917         31.623
     31/12/1962      1962          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000        391.682       1997.863          0.000         871.900         67.401        504.461        278.420
     31/12/1963      1963       1688.693        118.416          4.523          0.000          0.000          0.000          0.000          0.000          0.000        697.450       4814.695          0.000         577.700         19.127        451.281         88.968
     31/12/1964      1964          0.000          0.000          0.000       2231.883        180.700          2.474          0.000          0.000          0.000       1399.987       3326.066          0.000         650.500          0.008        495.805         12.180
     31/12/1965      1965          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000       1057.566       1703.220          0.000         402.800          1.552        346.438          0.000
     31/12/1966      1966       3150.918        198.587          5.168          0.000          0.000          0.000          0.000          0.000          0.000       1067.049       7781.746          0.000         572.500          1.633        381.584          0.000
     31/12/1967      1967          0.000          0.000          0.000       1097.855        122.091          1.930          0.000          0.000          0.000       5420.528       6941.719          0.000         385.700          1.416        260.209         44.105
     31/12/1968      1968       1682.334        113.672          3.193          0.000          0.000          0.000          0.000          0.000          0.000       2484.733       5813.999          0.000         561.600          0.160        386.622          0.000
     31/12/1969      1969          0.000          0.000          0.000       2464.146        175.650          3.013          0.000          0.000          0.000       2799.924       3963.053          0.000         621.900          7.038        370.133         19.797
