Summary_file = output\goondiwindi_lg1_200_LongFallow1_deep_AvgWindow.sum
Title = site=goondiwindi; soil=lg1; treatment=LongFallow1; Nrate=200; RootDepth=deep; Sowing = AvgWindow
           date      year      wht_yield         wht_ep     wht_laimax      chk_yield         chk_ep     chk_laimax      sor_yield         sor_ep     sor_laimax    avg_residue    max_residue    min_residue annual_rainfall  annual_runoff      annual_es   annual_drain
             ()    (year)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)           (mm)           (mm)           (mm)
     31/12/1957      1957          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          2.660          9.845          0.000         453.500          1.390        458.739         31.350
     31/12/1958      1958       4780.753        238.924          4.406          0.000          0.000          0.000          0.000          0.000          0.000       1132.549       8095.803          0.000         662.400         27.470        459.306         90.291
     31/12/1959      1959          0.000          0.000          0.000          0.000          0.000          0.000        355.653        131.843          3.228       4041.449       6643.865          0.000         654.400         28.466        396.996         42.595
     31/12/1960      1960          0.000          0.000          0.000          0.000          0.000          0.000       3552.184         60.466          2.942       1256.914       4913.431          0.000         450.100          0.000        442.735          3.591
     31/12/1961      1961       2239.919        129.578          2.296          0.000          0.000          0.000          0.000          0.000          0.000        192.878       3219.209          0.000         745.300          6.356        499.316          0.000
     31/12/1962      1962          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         36.325        540.680          0.000         871.900        107.230        509.346        166.442
     31/12/1963      1963          0.000          0.000          0.000          0.000          0.000          0.000       4116.927        190.087          3.220        884.996       3446.718          0.000         577.700          9.005        432.574         12.710
     31/12/1964      1964       6378.429        285.899          6.994          0.000          0.000          0.000          0.000          0.000          0.000       1055.520       8754.996          0.000         650.500          4.460        462.009         31.938
     31/12/1965      1965          0.000          0.000          0.000          0.000          0.000          0.000          0.000          3.407          0.150       2681.248       4835.326          0.000         402.800          1.376        346.833          0.000
     31/12/1966      1966          0.000          0.000          0.000          0.000          0.000          0.000       1565.504         95.366          2.490        401.546       2184.250          0.000         572.500         10.261        440.660          0.000
