ApsimVersion = 6.1
Title = site=goondiwindi; soil=lg1; treatment=oc2; Nrate=200; RootDepth=deep; Sowing = AvgWindow
           date           year      wht_yield         wht_ep     wht_laimax      chk_yield         chk_ep     chk_laimax      sor_yield         sor_ep     sor_laimax    avg_residue    max_residue    min_residue annual_rainfall  annual_runoff      annual_es   annual_drain
             ()         (year)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)            (?)        (m2/m2)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)           (mm)           (mm)           (mm)
     31/12/1970           1970            0.0          0.000          0.000            0.0          0.000          0.000         6110.7        240.758          2.650         1506.4         4588.3            0.0         737.200         19.864        475.391          9.066
     31/12/1971           1971            0.0          0.000          0.000            0.0          0.000          0.000         7013.2        265.959          2.890         2379.5         4942.7            0.0         668.800          8.001        416.658         29.317
     31/12/1972           1972            0.0          0.000          0.000            0.0          0.000          0.000         6278.5        114.918          2.351         1498.0         4467.3            0.0         501.100          0.381        428.446          0.003
     31/12/1973           1973         3912.1        209.536          3.633            0.0          0.000          0.000            0.0          0.000          0.000          483.5         5429.5            0.0         727.500         26.184        534.303         31.239
     31/12/1974           1974            0.0          0.000          0.000            0.0          0.000          0.000            0.0         32.011          2.154          216.8         1170.7            0.0         509.100         19.612        429.813          0.000
     31/12/1975           1975         3282.9        167.177          4.733            0.0          0.000          0.000         3323.3        119.130          2.550         1261.3         5722.4            0.0         692.900          7.770        402.861          0.000
     31/12/1976           1976            0.0          0.000          0.000         2935.8        217.251          3.157            0.0          0.000          0.000          653.1         4020.4            0.0         817.500         85.599        492.718         48.295
     31/12/1977           1977         3106.0        202.647          6.046            0.0          0.000          0.000            0.0          0.000          0.000          998.7         6872.7            0.0         614.500         11.080        471.649          0.000
     31/12/1978           1978            0.0          0.000          0.000         2545.8        185.451          3.101            0.0          0.000          0.000          500.4         3814.3            0.0         799.100         15.026        523.023          0.000
     31/12/1979           1979         2799.3        149.887          3.002            0.0          0.000          0.000            0.0          0.000          0.000          456.7         4411.0            0.0         488.600          2.182        385.428          0.000
     31/12/1980           1980            0.0          0.000          0.000            0.0          0.000          0.000            0.0          0.000          0.000          312.2         1362.7            0.0         387.700          0.261        359.345          0.000
     31/12/1981           1981         3751.8        209.379          7.397            0.0          0.000          0.000            0.0          0.000          0.000         1117.2         8729.6            0.0         664.100         32.995        408.858          0.000
     31/12/1982           1982            0.0          0.000          0.000            0.0          0.000          0.000            0.0         39.524          1.367          678.6         3904.2            0.0         518.300          6.087        388.194          0.000
     31/12/1983           1983         6079.3        278.511          6.769            0.0          0.000          0.000         4033.4         91.973          1.367         1807.0         9654.9            0.0        1019.100         77.842        454.692         96.048
     31/12/1984           1984            0.0          0.000          0.000         2166.2        225.817          2.923         7560.3        251.162          2.903         3237.0         6484.3            0.0         798.300         19.051        403.993          3.941
     31/12/1985           1985         2799.1        164.450          5.333            0.0          0.000          0.000            0.0          0.000          0.000         1376.3         6462.6            0.0         568.000         16.524        423.523          0.000
     31/12/1986           1986            0.0          0.000          0.000            0.0          0.000          0.000            0.0          0.000          0.000          285.2         1653.4            0.0         531.400          1.560        478.928          0.000
     31/12/1987           1987         3499.4        192.895          5.166            0.0          0.000          0.000            0.0          0.000          0.000          896.4         7740.7            0.0         598.600          7.307        422.999          0.000
     31/12/1988           1988            0.0          0.000          0.000         2291.4        204.710          3.263            0.0          0.000          0.000          740.2         3848.7            0.0         832.400         31.433        527.288         74.844
     31/12/1989           1989         3069.9        182.684          6.505            0.0          0.000          0.000            0.0          0.000          0.000         1016.3         7743.1            0.0         680.000         54.058        421.823          0.000
     31/12/1990           1990            0.0          0.000          0.000         2124.2        193.567          3.011            0.0          0.000          0.000          810.4         3683.1            0.0         687.900         44.160        465.656         29.699
     31/12/1991           1991         1935.1        146.102          4.577            0.0          0.000          0.000            0.0          0.000          0.000          688.2         5521.2            0.0         608.700         32.630        391.400          0.000
     31/12/1992           1992            0.0          0.000          0.000            0.0          0.000          0.000            0.0          0.000          0.000          206.0         1023.5            0.0         382.800          0.235        380.596          0.000
     31/12/1993           1993         2216.1        137.571          3.721            0.0          0.000          0.000            0.0          0.000          0.000          354.8         4503.0            0.0         446.500          4.800        371.821          0.000
     31/12/1994           1994            0.0          0.000          0.000            0.0          0.000          0.000            0.0         37.832          2.020          253.1         1599.4            0.0         524.300         23.443        364.462          0.000
     31/12/1995           1995            0.0          0.000          0.000            0.0          0.000          0.000         6651.4        220.407          2.558         2338.6         5196.6            0.0         608.600          6.901        404.710          0.000
     31/12/1996           1996         4260.6        225.963          5.571            0.0          0.000          0.000         8093.2        257.568          2.822         3227.8         8016.4            0.0         961.100        102.002        380.570          0.000
     31/12/1997           1997            0.0          0.000          0.000         2236.8        220.853          2.736            0.0          0.000          0.000         1835.6         4956.6            0.0         747.000         71.373        410.849         43.547
     31/12/1998           1998         5475.6        272.909          5.069            0.0          0.000          0.000            0.0        121.117          2.864         1473.8        10099.9            0.0         891.400         57.692        375.927         32.934
     31/12/1999           1999            0.0          0.000          0.000         1893.9        191.512          2.901         7057.2        150.533          2.864         2037.2         6308.8            0.0         848.600         12.782        496.137          0.000
     31/12/2000           2000         1554.9        127.386          4.265            0.0          0.000          0.000            0.0          0.000          0.000          503.1         4170.6            0.0         481.900         11.686        398.548          0.000
