APSIM output file, version = 5.4
Title = site=goondiwindi; soil=lg1; treatment=w1; Nrate=200; RootDepth=deep; Sowing = AvgWindow
           date           year      wht_yield         wht_ep     wht_laimax      chk_yield         chk_ep     chk_laimax      sor_yield         sor_ep     sor_laimax    avg_residue    max_residue    min_residue annual_rainfall  annual_runoff      annual_es   annual_drain
             ()         (year)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)             ()        (m2/m2)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)           (mm)           (mm)           (mm)
     31/12/1970           1970       4352.021        260.987          4.413          0.000          0.000          0.000          0.000          0.000          0.000       1026.553       7659.579          0.000         737.200         14.096        420.540         56.300
     31/12/1971           1971       4430.794        258.263          4.078          0.000          0.000          0.000          0.000          0.000          0.000       3861.909       6853.840          0.000         668.800          9.696        371.970        172.015
     31/12/1972           1972          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000       2974.463       5556.551          0.000         501.100          0.169        426.915          0.000
     31/12/1973           1973       3917.839        209.923          3.634          0.000          0.000          0.000          0.000          0.000          0.000        660.083       5456.612          0.000         727.500         18.252        531.692         58.380
     31/12/1974           1974          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000        254.198       1330.229          0.000         509.100         19.559        433.163          0.000
     31/12/1975           1975       4787.554        225.142          4.740          0.000          0.000          0.000          0.000          0.000          0.000        857.565       6899.168          0.000         692.900         22.270        417.196         16.327
     31/12/1976           1976       5464.043        257.518          6.828          0.000          0.000          0.000          0.000          0.000          0.000       1979.764       8633.817          0.000         817.500         56.875        442.395        133.703
     31/12/1977           1977       3477.209        207.552          4.535          0.000          0.000          0.000          0.000          0.000          0.000       2762.093       6680.549          0.000         614.500          2.557        433.779         28.121
     31/12/1978           1978       5852.576        245.650          6.211          0.000          0.000          0.000          0.000          0.000          0.000       1444.235       9321.305          0.000         799.100         14.813        431.617          0.000
     31/12/1979           1979       3587.146        194.355          5.684          0.000          0.000          0.000          0.000          0.000          0.000       3417.755       7137.128          0.000         488.600          0.012        347.270          0.000
     31/12/1980           1980       1147.332         96.232          4.508          0.000          0.000          0.000          0.000          0.000          0.000       1619.836       3906.233          0.000         387.700          0.000        330.242          0.000
     31/12/1981           1981       3209.878        187.040          7.090          0.000          0.000          0.000          0.000          0.000          0.000       1182.956       8235.695          0.000         664.100         29.426        414.602          0.000
     31/12/1982           1982          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000        421.443       3113.082          0.000         518.300          9.439        403.466          0.000
     31/12/1983           1983       6095.294        279.046          6.769          0.000          0.000          0.000          0.000          0.000          0.000       1383.886       9661.404          0.000        1019.100         93.642        476.199        157.187
     31/12/1984           1984       4869.277        239.351          4.107          0.000          0.000          0.000          0.000          0.000          0.000       2378.881       7622.518          0.000         798.300         26.763        449.590        189.069
     31/12/1985           1985       3754.164        204.450          6.412          0.000          0.000          0.000          0.000          0.000          0.000       3486.887       8557.568          0.000         568.000          6.903        371.528          0.000
     31/12/1986           1986          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000       1417.295       4538.389          0.000         531.400          0.930        466.657          0.000
     31/12/1987           1987       4367.081        228.409          5.876          0.000          0.000          0.000          0.000          0.000          0.000        983.860       8623.603          0.000         598.600          6.986        418.000          0.000
     31/12/1988           1988       5343.229        263.459          5.809          0.000          0.000          0.000          0.000          0.000          0.000       1522.384       8846.743          0.000         832.400         32.058        500.727         78.665
     31/12/1989           1989       3655.226        209.352          6.701          0.000          0.000          0.000          0.000          0.000          0.000       3147.806       8521.940          0.000         680.000         34.261        372.899          0.000
     31/12/1990           1990       4531.601        228.165          6.560          0.000          0.000          0.000          0.000          0.000          0.000       2072.178       8970.689          0.000         687.900         35.976        433.477         62.168
     31/12/1991           1991       2463.038        179.336          5.240          0.000          0.000          0.000          0.000          0.000          0.000       2593.837       7160.505          0.000         608.700         17.598        351.914          0.000
     31/12/1992           1992       1148.990         92.837          2.437          0.000          0.000          0.000          0.000          0.000          0.000        661.390       3515.954          0.000         382.800          0.000        375.537          0.000
     31/12/1993           1993          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000        169.948        676.853          0.000         446.500          1.439        402.967          0.000
     31/12/1994           1994          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.962          4.859          0.000         524.300         38.304        370.819          0.000
     31/12/1995           1995       3447.129        199.520          2.302          0.000          0.000          0.000          0.000          0.000          0.000        496.814       5086.582          0.000         608.600         18.663        422.428          0.000
     31/12/1996           1996       4427.191        233.244          5.560          0.000          0.000          0.000          0.000          0.000          0.000       1116.616       7996.979          0.000         961.100        142.949        475.309        150.155
     31/12/1997           1997       3447.610        208.225          4.213          0.000          0.000          0.000          0.000          0.000          0.000       1340.241       5905.000          0.000         747.000         88.843        402.670         21.616
     31/12/1998           1998       5475.598        272.909          5.069          0.000          0.000          0.000          0.000          0.000          0.000       2250.050      10132.919          0.000         891.400         52.226        388.137         74.270
     31/12/1999           1999       3668.109        221.676          3.904          0.000          0.000          0.000          0.000          0.000          0.000       1823.384       6224.515          0.000         848.600         12.713        507.277        183.964
     31/12/2000           2000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000        372.002       1857.059          0.000         481.900          7.011        421.505          0.000
