APSIM output file, version = 5.4
Title = site=goondiwindi; soil=lg1; treatment=LongFallow1; Nrate=50; RootDepth=deep; Sowing = AvgWindow
           date           year      wht_yield         wht_ep     wht_laimax      chk_yield         chk_ep     chk_laimax      sor_yield         sor_ep     sor_laimax    avg_residue    max_residue    min_residue annual_rainfall  annual_runoff      annual_es   annual_drain
             ()         (year)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)             ()        (m2/m2)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)           (mm)           (mm)           (mm)
     31/12/1970           1970          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          3.353          9.728          0.000         737.200         46.031        507.100        109.921
     31/12/1971           1971       3960.375        237.909          4.159          0.000          0.000          0.000          0.000          0.000          0.000        632.377       6183.578          0.000         668.800         17.684        470.775        171.655
     31/12/1972           1972          0.000          0.000          0.000          0.000          0.000          0.000         46.017        122.074          2.838       4612.861       5720.434          0.000         501.100          0.014        395.113          0.000
     31/12/1973           1973          0.000          0.000          0.000          0.000          0.000          0.000       4056.939         85.379          2.634       4677.550       6642.335          0.000         727.500          3.225        444.209         13.436
     31/12/1974           1974       2602.958        194.824          3.783          0.000          0.000          0.000          0.000          0.000          0.000       2472.494       7732.624          0.000         509.100         10.418        355.182         51.888
     31/12/1975           1975          0.000          0.000          0.000          0.000          0.000          0.000        135.115        101.527          2.726       3431.869       6039.037          0.000         692.900          7.190        431.854         91.038
     31/12/1976           1976          0.000          0.000          0.000          0.000          0.000          0.000       4597.083         84.760          2.443       1560.941       4833.679          0.000         817.500         52.276        508.500        160.128
     31/12/1977           1977       2964.848        189.295          4.160          0.000          0.000          0.000          0.000          0.000          0.000        984.240       6092.176          0.000         614.500         13.251        471.355        138.309
     31/12/1978           1978          0.000          0.000          0.000          0.000          0.000          0.000        156.275        117.137          3.012       2343.099       4587.969          0.000         799.100          8.280        487.192         70.807
     31/12/1979           1979          0.000          0.000          0.000          0.000          0.000          0.000       3967.832         71.168          2.745       3053.414       5338.067          0.000         488.600          0.000        412.697          0.724
     31/12/1980           1980       1891.596        134.920          3.249          0.000          0.000          0.000          0.000          0.000          0.000        927.001       4221.897          0.000         387.700          0.566        329.267          0.000
     31/12/1981           1981          0.000          0.000          0.000          0.000          0.000          0.000          0.000        110.127          2.823       1051.703       2553.299          0.000         664.100         23.744        450.005          0.000
     31/12/1982           1982          0.000          0.000          0.000          0.000          0.000          0.000       4163.858        100.591          2.707       1952.546       4850.294          0.000         518.300          1.733        374.957          0.000
     31/12/1983           1983       3746.327        214.918          3.843          0.000          0.000          0.000          0.000          0.000          0.000       1230.474       7614.124          0.000        1019.100         90.336        509.941        189.430
     31/12/1984           1984          0.000          0.000          0.000          0.000          0.000          0.000        129.167        117.981          2.886       2199.501       5370.223          0.000         798.300         21.501        498.055        243.466
     31/12/1985           1985          0.000          0.000          0.000          0.000          0.000          0.000       3322.945         64.655          2.667       1849.546       4607.266          0.000         568.000          7.046        477.299          1.219
     31/12/1986           1986       2952.264        180.297          3.321          0.000          0.000          0.000          0.000          0.000          0.000        460.465       4847.670          0.000         531.400          3.204        445.004          0.000
     31/12/1987           1987          0.000          0.000          0.000          0.000          0.000          0.000        329.401        113.203          2.876       1858.172       3957.120          0.000         598.600          0.675        474.767          0.000
     31/12/1988           1988          0.000          0.000          0.000          0.000          0.000          0.000       2977.472         48.078          2.545       1142.238       4622.291          0.000         832.400         12.158        514.326         99.289
     31/12/1989           1989       2494.635        188.326          4.130          0.000          0.000          0.000          0.000          0.000          0.000       1108.977       7462.651          0.000         680.000         57.644        426.937        110.093
     31/12/1990           1990          0.000          0.000          0.000          0.000          0.000          0.000        905.867        131.669          2.653       2256.003       5070.404          0.000         687.900         26.341        424.938        127.476
     31/12/1991           1991          0.000          0.000          0.000          0.000          0.000          0.000       3421.652         55.118          2.280       1924.855       4353.587          0.000         608.700         34.821        374.540          0.002
     31/12/1992           1992       2778.962        196.234          3.792          0.000          0.000          0.000          0.000          0.000          0.000        982.297       6358.498          0.000         382.800          0.000        365.186         15.261
     31/12/1993           1993          0.000          0.000          0.000          0.000          0.000          0.000          0.000          2.458          0.251       3553.259       4782.989          0.000         446.500          0.000        392.286          0.000
     31/12/1994           1994          0.000          0.000          0.000          0.000          0.000          0.000       2836.078        102.864          2.025       2282.956       3357.125          0.000         524.300         14.331        319.531          0.000
     31/12/1995           1995       2666.827        172.487          2.566          0.000          0.000          0.000          0.000          0.000          0.000        846.987       4430.826          0.000         608.600         11.422        420.374         39.070
     31/12/1996           1996          0.000          0.000          0.000          0.000          0.000          0.000          0.000         18.808          2.280        808.356       2669.376          0.000         961.100        105.552        495.632        241.983
     31/12/1997           1997          0.000          0.000          0.000          0.000          0.000          0.000       4085.403        104.428          2.398       1883.241       3516.229          0.000         747.000         82.999        424.619        130.576
     31/12/1998           1998       2839.442        165.707          3.453          0.000          0.000          0.000          0.000          0.000          0.000       1339.387       7081.199          0.000         891.400         58.558        416.988        262.466
     31/12/1999           1999          0.000          0.000          0.000          0.000          0.000          0.000          0.000        107.659          3.052       2174.221       5352.597          0.000         848.600         15.781        526.708        263.711
     31/12/2000           2000          0.000          0.000          0.000          0.000          0.000          0.000       5162.833        116.595          2.944       3465.689       5531.795          0.000         481.900          0.530        399.697          2.743
