ApsimVersion = 6.0
Title = site=goondiwindi; soil=lg1; treatment=s1; Nrate=50; RootDepth=deep; Sowing = AvgWindow
           date           year      wht_yield         wht_ep     wht_laimax      chk_yield         chk_ep     chk_laimax      sor_yield         sor_ep     sor_laimax    avg_residue    max_residue    min_residue annual_rainfall  annual_runoff      annual_es   annual_drain
             ()         (year)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)             ()        (m2/m2)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)           (mm)           (mm)           (mm)
     31/12/1970           1970            0.0          0.000          0.000            0.0          0.000          0.000         4716.8        296.968          3.001         2494.1         4633.2            0.0         737.200         11.086        426.992          7.060
     31/12/1971           1971            0.0          0.000          0.000            0.0          0.000          0.000         5352.9        161.296          2.893         3251.5         5010.9            0.0         668.800         16.597        415.244         91.151
     31/12/1972           1972            0.0          0.000          0.000            0.0          0.000          0.000         5056.7        206.123          2.851         2925.3         4401.8            0.0         501.100          0.023        414.134          0.009
     31/12/1973           1973            0.0          0.000          0.000            0.0          0.000          0.000         4112.8        152.694          3.006         1585.5         4222.4            0.0         727.500          2.025        508.271          0.002
     31/12/1974           1974            0.0          0.000          0.000            0.0          0.000          0.000         4700.7        144.567          2.959         1594.2         3957.9            0.0         509.100         12.949        425.307          0.001
     31/12/1975           1975            0.0          0.000          0.000            0.0          0.000          0.000         1832.5        166.178          2.595          465.8         3217.3            0.0         692.900          8.423        459.402          0.000
     31/12/1976           1976            0.0          0.000          0.000            0.0          0.000          0.000         4263.8        211.336          2.607          849.6         4329.9            0.0         817.500         56.204        518.806         79.972
     31/12/1977           1977            0.0          0.000          0.000            0.0          0.000          0.000         3614.3        187.265          2.782          841.4         4112.1            0.0         614.500          2.480        453.255          0.867
     31/12/1978           1978            0.0          0.000          0.000            0.0          0.000          0.000         3183.7        143.729          2.975          793.6         3976.7            0.0         799.100         18.276        530.542         40.733
     31/12/1979           1979            0.0          0.000          0.000            0.0          0.000          0.000         3647.4        173.788          2.808         2082.3         4943.5            0.0         488.600          0.000        417.653          0.365
     31/12/1980           1980            0.0          0.000          0.000            0.0          0.000          0.000         1831.5         23.982          2.013          917.3         3312.6            0.0         387.700          0.000        346.773          0.000
     31/12/1981           1981            0.0          0.000          0.000            0.0          0.000          0.000            0.0        102.733          2.846           24.1           99.9            0.0         664.100         31.961        467.355          0.000
     31/12/1982           1982            0.0          0.000          0.000            0.0          0.000          0.000         3739.7        101.353          2.764         1213.5         4388.9            0.0         518.300          2.616        378.535          0.000
     31/12/1983           1983            0.0          0.000          0.000            0.0          0.000          0.000         4152.1        295.287          3.078          471.0         3760.0            0.0        1019.100         80.960        582.003         72.867
     31/12/1984           1984            0.0          0.000          0.000            0.0          0.000          0.000         5529.4        193.742          2.898         1743.7         5083.8            0.0         798.300         25.884        499.241         99.911
     31/12/1985           1985            0.0          0.000          0.000            0.0          0.000          0.000         3322.8        152.188          2.866         1787.1         4420.6            0.0         568.000          6.947        459.150          1.055
     31/12/1986           1986            0.0          0.000          0.000            0.0          0.000          0.000         2761.8        103.899          2.676         1924.8         4371.9            0.0         531.400          0.127        445.380          0.000
     31/12/1987           1987            0.0          0.000          0.000            0.0          0.000          0.000         2160.8         77.917          2.037          519.4         3049.4            0.0         598.600          1.012        487.049          0.000
     31/12/1988           1988            0.0          0.000          0.000            0.0          0.000          0.000         3244.8        160.166          2.649          395.9         2825.8            0.0         832.400         18.464        512.247         69.491
     31/12/1989           1989            0.0          0.000          0.000            0.0          0.000          0.000         3208.5        193.767          2.872          751.8         3790.5            0.0         680.000         37.426        446.848          0.003
     31/12/1990           1990            0.0          0.000          0.000            0.0          0.000          0.000         4802.2        245.472          2.810         1034.1         4786.7            0.0         687.900         25.151        439.857         47.398
     31/12/1991           1991            0.0          0.000          0.000            0.0          0.000          0.000         3581.9         57.046          2.428         1580.4         4216.3            0.0         608.700         36.724        375.630          0.003
     31/12/1992           1992            0.0          0.000          0.000            0.0          0.000          0.000         4578.4        190.171          2.533         2121.4         4135.5            0.0         382.800          0.000        358.020          2.808
     31/12/1993           1993            0.0          0.000          0.000            0.0          0.000          0.000            0.0          0.000          0.000         1007.1         1771.0            0.0         446.500          0.469        401.646          0.001
     31/12/1994           1994            0.0          0.000          0.000            0.0          0.000          0.000            0.0         47.437          2.187           19.2           80.7            0.0         524.300         38.037        368.477          0.000
     31/12/1995           1995            0.0          0.000          0.000            0.0          0.000          0.000         4999.4        182.711          2.684         1978.4         4287.5            0.0         608.600         10.886        405.548          0.000
     31/12/1996           1996            0.0          0.000          0.000            0.0          0.000          0.000         5608.3        183.240          3.036         2774.9         5926.8            0.0         961.100        108.319        449.644        147.187
     31/12/1997           1997            0.0          0.000          0.000            0.0          0.000          0.000         4737.0        233.158          3.010         2468.6         4401.4            0.0         747.000         82.627        397.686         97.999
     31/12/1998           1998            0.0          0.000          0.000            0.0          0.000          0.000         3375.1        223.648          2.953         2139.1         4699.6            0.0         891.400         57.657        492.112        201.523
     31/12/1999           1999            0.0          0.000          0.000            0.0          0.000          0.000         4474.4        183.555          3.087          744.1         4103.6            0.0         848.600         23.149        535.536         43.148
     31/12/2000           2000            0.0          0.000          0.000            0.0          0.000          0.000         5099.8        161.398          2.995         2943.7         5477.3            0.0         481.900          0.490        396.140          2.795
