Summary_file = output\warialda_cd2_200_LongFallow1_deep_AvgWindow.sum
Title = site=warialda; soil=cd2; treatment=LongFallow1; Nrate=200; RootDepth=deep; Sowing = AvgWindow
           date      year      wht_yield         wht_ep     wht_laimax      chk_yield         chk_ep     chk_laimax      sor_yield         sor_ep     sor_laimax    avg_residue    max_residue    min_residue annual_rainfall  annual_runoff      annual_es   annual_drain
             ()    (year)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)           (mm)           (mm)           (mm)
     31/12/1957      1957          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          2.659          9.812          0.000         433.800          1.250        435.488         34.046
     31/12/1958      1958       4600.916        221.549          4.571          0.000          0.000          0.000          0.000          0.000          0.000       1077.532       7576.730          0.000         761.600         28.427        459.330         78.146
     31/12/1959      1959          0.000          0.000          0.000          0.000          0.000          0.000          0.000        120.224          3.493       3869.789       7017.224          0.000         916.800         11.642        484.745        248.863
     31/12/1960      1960          0.000          0.000          0.000          0.000          0.000          0.000       4376.438        115.231          3.420       3184.236       5727.457          0.000         567.000          0.647        450.915         11.617
     31/12/1961      1961       1959.868        157.136          6.319          0.000          0.000          0.000          0.000          0.000          0.000        644.988       6234.342          0.000         650.900          9.287        457.026         61.156
     31/12/1962      1962          0.000          0.000          0.000          0.000          0.000          0.000          0.000         76.190          2.842         41.423        863.781          0.000         803.000         24.089        553.789        102.709
     31/12/1963      1963          0.000          0.000          0.000          0.000          0.000          0.000       4027.864        112.350          2.772        891.731       5048.777          0.000         722.000         11.238        518.501         86.451
     31/12/1964      1964       4016.692        193.183          5.170          0.000          0.000          0.000          0.000          0.000          0.000        548.484       6568.220          0.000         709.000         29.050        460.690        113.082
     31/12/1965      1965          0.000          0.000          0.000          0.000          0.000          0.000          0.000          2.821          0.117        417.962       2075.899          0.000         355.900          1.338        343.965          0.000
     31/12/1966      1966          0.000          0.000          0.000          0.000          0.000          0.000        550.846         49.073          1.622        357.203       1584.245          0.000         547.400          2.883        457.815          0.000
     31/12/1967      1967       1971.774        138.635          4.789          0.000          0.000          0.000          0.000          0.000          0.000        751.194       5023.864          0.000         455.200          9.163        339.363         46.295
     31/12/1968      1968          0.000          0.000          0.000          0.000          0.000          0.000          0.000         85.959          2.789        349.484       4450.258          0.000         638.100         10.596        494.041          2.466
     31/12/1969      1969          0.000          0.000          0.000          0.000          0.000          0.000       3422.632         98.620          2.720        634.197       4028.473          0.000         687.900         12.571        537.658          0.000
     31/12/1970      1970          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          3.127         23.511          0.000         894.100         76.177        540.948        204.309
     31/12/1971      1971          0.000          0.000          0.000          0.000          0.000          0.000          0.000          8.209          0.543          0.008          0.097          0.000         894.099         71.085        505.110        347.127
     31/12/1972      1972          0.000          0.000          0.000          0.000          0.000          0.000       2989.155        142.278          3.108        926.089       3233.939          0.000         552.200          0.756        470.319          0.000
     31/12/1973      1973       3311.640        184.658          2.885          0.000          0.000          0.000          0.000          0.000          0.000        301.908       4637.842          0.000         816.400         30.026        508.527         20.269
     31/12/1974      1974          0.000          0.000          0.000          0.000          0.000          0.000          0.000         65.388          2.256        194.331       1426.388          0.000         610.200         46.981        438.471        146.306
     31/12/1975      1975          0.000          0.000          0.000          0.000          0.000          0.000       2366.841         82.787          2.451        255.679       2742.421          0.000        1036.400         56.656        571.310        234.885
     31/12/1976      1976       3541.115        174.793          2.945          0.000          0.000          0.000          0.000          0.000          0.000        416.680       5461.603          0.000         817.900        127.642        444.253        203.719
     31/12/1977      1977          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000        373.927       3507.977          0.000         676.600         40.963        457.625         86.527
     31/12/1978      1978          0.000          0.000          0.000          0.000          0.000          0.000       3728.124        158.080          2.883        961.195       3726.458          0.000         858.400         17.649        550.594        114.803
     31/12/1979      1979       3109.146        152.139          2.897          0.000          0.000          0.000          0.000          0.000          0.000        553.222       4441.052          0.000         620.300         24.004        392.928        117.221
     31/12/1980      1980          0.000          0.000          0.000          0.000          0.000          0.000          0.000         81.719          2.883        637.587       4272.089          0.000         533.200          2.023        385.820         27.161
     31/12/1981      1981          0.000          0.000          0.000          0.000          0.000          0.000       3608.575        100.931          2.653        917.551       4164.049          0.000         668.200         16.975        498.374          0.101
     31/12/1982      1982          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          7.099         49.129          0.000         525.900         17.395        390.952        129.108
     31/12/1983      1983          0.000          0.000          0.000          0.000          0.000          0.000          0.000         75.637          2.809          0.113          0.800          0.000         957.300         55.407        667.496        223.254
     31/12/1984      1984          0.000          0.000          0.000          0.000          0.000          0.000       4103.504         94.511          2.761       1366.144       4764.927          0.000         832.400         16.069        499.251        162.581
     31/12/1985      1985       2608.825        152.202          3.184          0.000          0.000          0.000          0.000          0.000          0.000        343.726       4745.111          0.000         651.600          5.032        452.968         54.531
     31/12/1986      1986          0.000          0.000          0.000          0.000          0.000          0.000          0.000         33.652          1.464        357.190       2034.541          0.000         474.300          1.694        438.142         29.495
     31/12/1987      1987          0.000          0.000          0.000          0.000          0.000          0.000       3274.013        134.329          3.021        648.895       3846.619          0.000         692.700          0.334        564.577          0.000
     31/12/1988      1988       3731.587        221.277          5.396          0.000          0.000          0.000          0.000          0.000          0.000       1109.021       8997.682          0.000         859.700         33.627        478.184        165.986
     31/12/1989      1989          0.000          0.000          0.000          0.000          0.000          0.000          0.000         62.565          2.826        372.483       3630.919          0.000         745.200         23.279        570.907         51.709
     31/12/1990      1990          0.000          0.000          0.000          0.000          0.000          0.000       2796.131         81.509          2.856        582.764       3595.590          0.000         533.100          3.190        442.854          0.000
     31/12/1991      1991       1699.462        132.374          4.592          0.000          0.000          0.000          0.000          0.000          0.000        501.263       5411.394          0.000         743.500         43.272        450.460        161.504
     31/12/1992      1992          0.000          0.000          0.000          0.000          0.000          0.000          0.000         42.347          2.488        182.140       1214.584          0.000         575.600          0.000        550.005          0.000
     31/12/1993      1993          0.000          0.000          0.000          0.000          0.000          0.000       1073.627         22.977          1.661        292.259       2028.192          0.000         582.300          1.819        499.129          0.000
     31/12/1994      1994          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          1.410          9.675          0.000         428.100         17.622        366.471         32.623
     31/12/1995      1995          0.000          0.000          0.000          0.000          0.000          0.000          0.000         99.464          3.388          0.005          0.091          0.000         802.200         50.529        506.986        154.124
     31/12/1996      1996          0.000          0.000          0.000          0.000          0.000          0.000       5453.285        148.893          3.330       3856.668       6592.922          0.000         785.800         18.271        475.838         96.133
