ApsimVersion = 6.1
Title = site=warialda; soil=cd2; treatment=oc2; Nrate=200; RootDepth=deep; Sowing = AvgWindow
           date           year      wht_yield         wht_ep     wht_laimax      chk_yield         chk_ep     chk_laimax      sor_yield         sor_ep     sor_laimax    avg_residue    max_residue    min_residue annual_rainfall  annual_runoff      annual_es   annual_drain
             ()         (year)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)             ()        (m2/m2)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)           (mm)           (mm)           (mm)
     31/12/1970           1970            0.0          0.000          0.000            0.0          0.000          0.000         3866.4        204.272          2.804         1239.5         3185.9            0.0         892.100         49.547        492.661        124.305
     31/12/1971           1971         2562.1        159.210          3.652            0.0          0.000          0.000         6637.6        205.785          2.864         3122.6         5657.8            0.0         894.099         42.187        339.460        279.720
     31/12/1972           1972            0.0          0.000          0.000            0.0          0.000          0.000            0.0         44.343          1.835         1632.8         4751.7            0.0         552.200          0.800        487.048          0.000
     31/12/1973           1973            0.0          0.000          0.000            0.0          0.000          0.000         4057.6        181.950          2.651         1193.9         3480.2            0.0         816.400         45.602        515.490          0.000
     31/12/1974           1974            0.0          0.000          0.000            0.0          0.000          0.000         5072.6        182.374          2.825         1501.2         3940.6            0.0         610.200         30.829        410.867         62.180
     31/12/1975           1975         3093.3        181.956          3.522            0.0          0.000          0.000         2236.7        103.950          2.322          913.7         5521.6            0.0        1036.400         41.957        464.494        144.424
     31/12/1976           1976            0.0          0.000          0.000            0.0          0.000          0.000         6170.2        184.606          2.829         1674.9         4742.3            0.0         817.900        103.003        469.850        181.254
     31/12/1977           1977         1632.3        120.980          2.916            0.0          0.000          0.000            0.0          0.000          0.000          466.1         4491.6            0.0         676.600         56.649        456.475         84.103
     31/12/1978           1978            0.0          0.000          0.000         2095.5        151.892          2.316            0.0          0.000          0.000          352.6         2854.2            0.0         858.400         14.334        582.982         46.728
     31/12/1979           1979         2773.9        151.745          2.432            0.0          0.000          0.000            0.0          0.000          0.000          734.8         4355.0            0.0         620.300         23.048        395.508         49.986
     31/12/1980           1980            0.0          0.000          0.000          816.5        114.473          1.638            0.0          0.000          0.000          803.3         4193.0            0.0         533.200          1.828        394.768          2.189
     31/12/1981           1981         2382.3        136.729          5.110            0.0          0.000          0.000         1591.8         91.211          2.512         1094.2         5083.5            0.0         668.200         20.450        450.079          0.000
     31/12/1982           1982            0.0          0.000          0.000            0.0          0.000          0.000            0.0          1.482          0.478          162.1         1681.6            0.0         525.900         14.148        385.004         36.261
     31/12/1983           1983         5755.7        279.607          5.687            0.0          0.000          0.000         2534.1        123.700          1.888         1147.3         9371.2            0.0         957.300         42.012        450.836         59.836
     31/12/1984           1984            0.0          0.000          0.000         1606.7        181.459          2.065         7085.0        233.835          2.874         2619.9         5976.8            0.0         832.400         16.927        421.125         80.485
     31/12/1985           1985         2079.0        123.092          2.838            0.0          0.000          0.000            0.0          0.000          0.030          620.3         3869.5            0.0         651.600          2.840        461.663          0.000
     31/12/1986           1986            0.0          0.000          0.000            0.0          0.000          0.000         2887.5         67.872          0.938          862.6         2317.1            0.0         474.300          0.500        428.445          0.000
     31/12/1987           1987            0.0          0.000          0.000            0.0          0.000          0.000         4146.2        144.728          2.326          566.9         2902.6            0.0         692.700          0.062        571.893          0.000
     31/12/1988           1988         4095.3        221.583          4.873            0.0          0.000          0.000            0.0          0.000          0.000         1050.2         8362.5            0.0         859.700         33.662        480.894        135.124
     31/12/1989           1989            0.0          0.000          0.000         1232.8        127.533          1.797            0.0          0.000          0.000          542.7         3687.3            0.0         745.200         20.281        539.685         20.917
     31/12/1990           1990         2625.4        159.348          6.412            0.0          0.000          0.000            0.0          0.000          0.000          923.9         7144.4            0.0         533.100          8.318        431.738         22.705
     31/12/1991           1991            0.0          0.000          0.000          964.9        114.885          2.021            0.0          0.000          0.000          738.2         5454.8            0.0         743.500         18.431        446.459        110.621
     31/12/1992           1992            0.0          0.000          0.000            0.0          0.000          0.000            0.0          0.000          0.000           75.0          464.4            0.0         575.600          0.623        554.494          0.000
     31/12/1993           1993         3014.8        166.470          3.266            0.0          0.000          0.000            0.0          0.000          0.000          499.4         5723.4            0.0         582.300          0.000        424.388          0.000
     31/12/1994           1994            0.0          0.000          0.000          699.4        105.747          1.536            0.0          0.000          0.000          696.9         2678.6            0.0         428.100          7.426        355.302         19.929
     31/12/1995           1995         1435.9         93.421          1.447            0.0          0.000          0.000            0.0         13.858          1.119          195.0         2779.7            0.0         802.200         20.252        504.646         38.574
     31/12/1996           1996            0.0          0.000          0.000          932.7        111.010          1.320         6539.6        224.156          2.878         1874.2         5190.8            0.0         785.800          8.444        491.963         58.669
     31/12/1997           1997         1680.4        108.891          3.033            0.0          0.000          0.000            0.0          0.000          0.000          507.8         3632.0            0.0         676.200         17.070        475.946          0.000
     31/12/1998           1998            0.0          0.000          0.000         2392.9        176.658          2.679         2221.8        115.481          2.162          724.7         3193.7            0.0         911.900         35.693        546.965         73.491
     31/12/1999           1999         3616.7        215.894          2.893            0.0          0.000          0.000            0.0         17.630          1.704          525.9         6147.9            0.0         872.000         21.570        503.399         31.979
     31/12/2000           2000            0.0          0.000          0.000            0.0          0.000          0.000         3440.3        244.710          2.795         1286.7         4673.4            0.0         821.000         54.560        462.024         99.568
