Summary_file = output\warialda_cd2_200_w3_deep_AvgWindow.sum
Title = site=warialda; soil=cd2; treatment=w3; Nrate=200; RootDepth=deep; Sowing = AvgWindow
           date      year      wht_yield         wht_ep     wht_laimax      chk_yield         chk_ep     chk_laimax      sor_yield         sor_ep     sor_laimax    avg_residue    max_residue    min_residue annual_rainfall  annual_runoff      annual_es   annual_drain
             ()    (year)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)           (mm)           (mm)           (mm)
     31/12/1957      1957       1190.693        107.740          2.320          0.000          0.000          0.000          0.000          0.000          0.000        329.465       3238.309          0.000         433.800          1.250        427.101         34.046
     31/12/1958      1958          0.000          0.000          0.000       2138.720        167.790          2.559          0.000          0.000          0.000        461.431       2868.991          0.000         761.600         24.169        544.744          0.000
     31/12/1959      1959       2517.967        149.264          4.208          0.000          0.000          0.000          0.000          0.000          0.000        395.135       5221.161          0.000         916.800         32.109        590.715         32.381
     31/12/1960      1960          0.000          0.000          0.000       1538.703        174.934          1.794          0.000          0.000          0.000        300.748       2563.208          0.000         567.000          0.460        448.513         64.084
     31/12/1961      1961       1437.192        124.720          6.030          0.000          0.000          0.000          0.000          0.000          0.000        537.154       5432.646          0.000         650.900         10.815        467.880          0.000
     31/12/1962      1962          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         32.204        667.229          0.000         803.000         33.306        581.363        101.850
     31/12/1963      1963       1684.307        128.627          4.276          0.000          0.000          0.000          0.000          0.000          0.000        379.708       5198.643          0.000         722.000          4.817        522.037         95.909
     31/12/1964      1964          0.000          0.000          0.000       2447.871        178.642          2.496          0.000          0.000          0.000        400.516       2913.941          0.000         709.000         25.925        490.465        123.213
     31/12/1965      1965          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000        187.468       1017.852          0.000         355.900          0.726        337.075          0.000
     31/12/1966      1966       3301.747        178.333          5.142          0.000          0.000          0.000          0.000          0.000          0.000        536.547       6493.226          0.000         547.400          0.519        368.519          0.000
     31/12/1967      1967          0.000          0.000          0.000       1012.475        118.088          1.588          0.000          0.000          0.000       1071.983       4258.266          0.000         455.200          3.540        356.547         11.739
     31/12/1968      1968       2322.711        158.336          6.536          0.000          0.000          0.000          0.000          0.000          0.000        843.896       7022.769          0.000         638.100         14.531        458.891          0.000
     31/12/1969      1969          0.000          0.000          0.000       1408.607        116.116          2.336          0.000          0.000          0.000        469.648       3486.740          0.000         687.900          7.818        504.105          0.000
     31/12/1970      1970          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         62.179        670.220          0.000         894.100         76.039        541.016        181.934
     31/12/1971      1971       1940.203        139.928          3.531          0.000          0.000          0.000          0.000          0.000          0.000        246.134       4180.076          0.000         894.099         69.832        481.516        343.026
     31/12/1972      1972          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000        359.938       2569.036          0.000         552.200          1.047        498.079          0.000
     31/12/1973      1973       3311.422        184.637          2.885          0.000          0.000          0.000          0.000          0.000          0.000        288.603       4637.313          0.000         816.400         30.264        508.696         31.354
     31/12/1974      1974          0.000          0.000          0.000       1427.011        168.744          1.697          0.000          0.000          0.000        243.620       2180.056          0.000         610.200         37.896        424.150        102.122
     31/12/1975      1975       3562.611        177.898          3.834          0.000          0.000          0.000          0.000          0.000          0.000        659.964       5649.754          0.000        1036.400         70.818        521.171        129.066
     31/12/1976      1976          0.000          0.000          0.000       1863.303        162.362          2.682          0.000          0.000          0.000        845.931       3339.074          0.000         817.900         86.525        462.616        258.181
