Summary_file = output\warialda_cd2_50_oc2_deep_AvgWindow.sum
Title = site=warialda; soil=cd2; treatment=oc2; Nrate=50; RootDepth=deep; Sowing = AvgWindow
           date      year      wht_yield         wht_ep     wht_laimax      chk_yield         chk_ep     chk_laimax      sor_yield         sor_ep     sor_laimax    avg_residue    max_residue    min_residue annual_rainfall  annual_runoff      annual_es   annual_drain
             ()    (year)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)             ()        (m2/m2)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)           (mm)           (mm)           (mm)
     31/12/1957      1957          0.000          0.000          0.000          0.000          0.000          0.000       3022.194        136.041          2.352       1206.961       2961.041          0.000         433.800          1.253        407.316         28.073
     31/12/1958      1958       2523.510        168.584          3.286          0.000          0.000          0.000          0.000          0.000          0.000       1231.604       6212.857          0.000         761.600         20.889        478.095          0.000
     31/12/1959      1959          0.000          0.000          0.000       2158.768        174.014          2.362       4640.302        215.532          2.862       4610.538       6990.613          0.000         916.800         14.594        374.370         99.731
     31/12/1960      1960       1074.998        102.118          1.460          0.000          0.000          0.000       3614.890        128.728          2.715       3346.568       4862.006          0.000         567.000          0.303        405.308          0.119
     31/12/1961      1961          0.000          0.000          0.000          0.000          0.000          0.000       3687.048        173.518          2.598       2595.808       4452.780          0.000         650.900          2.480        470.251          0.000
     31/12/1962      1962          0.000          0.000          0.000          0.000          0.000          0.000       4474.436        164.739          2.899       1388.479       4631.715          0.000         803.000         16.284        515.326         55.971
     31/12/1963      1963       1151.705         85.708          1.492          0.000          0.000          0.000       2604.120        163.540          2.637        952.098       3117.525          0.000         722.000          1.503        480.034          8.856
     31/12/1964      1964          0.000          0.000          0.000       2556.073        183.494          2.556       2945.746        120.073          2.122       1497.810       3930.742          0.000         709.000         10.308        456.336         24.733
     31/12/1965      1965          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000        228.573       1149.450          0.000         355.900          0.687        337.121          0.000
