Summary_file = output\warialda_cd2_50_s1_deep_AvgWindow.sum
Title = site=warialda; soil=cd2; treatment=s1; Nrate=50; RootDepth=deep; Sowing = AvgWindow
           date      year      wht_yield         wht_ep     wht_laimax      chk_yield         chk_ep     chk_laimax      sor_yield         sor_ep     sor_laimax    avg_residue    max_residue    min_residue annual_rainfall  annual_runoff      annual_es   annual_drain
             ()    (year)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)           (mm)           (mm)           (mm)
     31/12/1957      1957          0.000          0.000          0.000          0.000          0.000          0.000       3142.780        144.446          2.788       1443.664       3251.477          0.000         433.800          1.253        404.524         28.140
     31/12/1958      1958          0.000          0.000          0.000          0.000          0.000          0.000          0.000         46.698          2.723        619.694       1949.014          0.000         761.600         18.091        573.504          2.143
     31/12/1959      1959          0.000          0.000          0.000          0.000          0.000          0.000       4771.217        281.607          3.506       2732.852       5112.828          0.000         916.800         22.370        514.367         86.348
     31/12/1960      1960          0.000          0.000          0.000          0.000          0.000          0.000       5016.991        197.793          3.433       3338.918       4979.100          0.000         567.000          0.400        432.394         12.803
     31/12/1961      1961          0.000          0.000          0.000          0.000          0.000          0.000       3134.838         99.508          3.213       1909.483       3999.329          0.000         650.900          3.580        507.601          0.000
     31/12/1962      1962          0.000          0.000          0.000          0.000          0.000          0.000       4940.896        176.603          3.576       1602.702       5123.657          0.000         803.000         14.883        505.674         78.910
     31/12/1963      1963          0.000          0.000          0.000          0.000          0.000          0.000       3076.888        181.327          2.887        972.959       3398.950          0.000         722.000          6.360        494.400         60.207
     31/12/1964      1964          0.000          0.000          0.000          0.000          0.000          0.000       3297.451        204.923          2.680        715.857       3240.324          0.000         709.000         12.557        524.076         16.965
     31/12/1965      1965          0.000          0.000          0.000          0.000          0.000          0.000       2079.527         52.091          2.450        893.695       2663.495          0.000         355.900          0.023        338.073          0.000
