Summary_file = output\warialda_lg1_50_LongFallow1_deep_AvgWindow.sum
Title = site=warialda; soil=lg1; treatment=LongFallow1; Nrate=50; RootDepth=deep; Sowing = AvgWindow
           date      year      wht_yield         wht_ep     wht_laimax      chk_yield         chk_ep     chk_laimax      sor_yield         sor_ep     sor_laimax    avg_residue    max_residue    min_residue annual_rainfall  annual_runoff      annual_es   annual_drain
             ()    (year)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)             ()        (m2/m2)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)           (mm)           (mm)           (mm)
     31/12/1957      1957          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          2.659          9.812          0.000         433.800          2.891        425.133         41.881
     31/12/1958      1958       5065.067        287.519          5.532          0.000          0.000          0.000          0.000          0.000          0.000       1453.640      10098.056          0.000         761.600         35.257        431.708         79.393
     31/12/1959      1959          0.000          0.000          0.000          0.000          0.000          0.000         67.076        151.231          3.116       7862.325       9590.754          0.000         916.800         26.342        254.365        365.484
     31/12/1960      1960          0.000          0.000          0.000          0.000          0.000          0.000       6213.149        138.873          2.923       7808.567      10234.393          0.000         567.000          1.329        303.363        128.552
     31/12/1961      1961       2039.979        174.266          2.946          0.000          0.000          0.000          0.000          0.000          0.000       3892.504       6517.263          0.000         650.900          4.363        392.551        131.400
     31/12/1962      1962          0.000          0.000          0.000          0.000          0.000          0.000          0.000         95.476          2.972       2155.044       5051.622          0.000         803.000         12.791        482.012        190.433
     31/12/1963      1963          0.000          0.000          0.000          0.000          0.000          0.000       5261.542        115.253          2.846       2491.712       5546.383          0.000         722.000         19.586        467.637         68.785
     31/12/1964      1964       2817.523        187.926          3.965          0.000          0.000          0.000          0.000          0.000          0.000        836.417       6620.036          0.000         709.000         41.336        455.610        157.315
     31/12/1965      1965          0.000          0.000          0.000          0.000          0.000          0.000          0.000          1.885          0.240       3045.451       4648.170          0.000         355.900          0.306        338.184          0.000
     31/12/1966      1966          0.000          0.000          0.000          0.000          0.000          0.000       2433.129        133.028          2.773       2558.343       4704.033          0.000         547.400          0.381        427.472          0.000
     31/12/1967      1967       2217.759        184.790          3.796          0.000          0.000          0.000          0.000          0.000          0.000       1181.378       5891.631          0.000         455.200          8.713        335.107          9.677
     31/12/1968      1968          0.000          0.000          0.000          0.000          0.000          0.000          0.000        113.491          2.965       2382.504       5671.675          0.000         638.100         12.550        451.807          0.000
     31/12/1969      1969          0.000          0.000          0.000          0.000          0.000          0.000       5058.700        144.929          2.883       2771.627       5617.035          0.000         687.900         10.884        494.392          0.000
     31/12/1970      1970          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000        106.574        630.480          0.000         894.100         86.877        529.725        117.907
     31/12/1971      1971          0.000          0.000          0.000          0.000          0.000          0.000          0.000         11.372          0.970          2.477          9.564          0.000         894.099         90.954        497.947        385.820
     31/12/1972      1972          0.000          0.000          0.000          0.000          0.000          0.000       4732.573        212.494          2.959       2246.283       4797.717          0.000         552.200          0.041        449.236          0.001
     31/12/1973      1973       3199.652        223.247          3.459          0.000          0.000          0.000          0.000          0.000          0.000        648.716       5865.029          0.000         816.400         38.727        471.966          0.000
     31/12/1974      1974          0.000          0.000          0.000          0.000          0.000          0.000          0.000        118.916          2.726       2904.978       4704.682          0.000         610.200         35.536        407.315        134.714
     31/12/1975      1975          0.000          0.000          0.000          0.000          0.000          0.000       3567.021        117.424          2.696       2178.436       5074.113          0.000        1036.400         42.199        517.927        207.266
     31/12/1976      1976       2434.768        156.779          2.992          0.000          0.000          0.000          0.000          0.000          0.000        574.860       5606.669          0.000         817.900        131.052        443.965        229.433
     31/12/1977      1977          0.000          0.000          0.000          0.000          0.000          0.000        185.756        118.810          2.745       2361.318       4974.223          0.000         676.600         32.357        393.404        162.816
     31/12/1978      1978          0.000          0.000          0.000          0.000          0.000          0.000       4579.149         67.109          2.464       1007.940       4315.115          0.000         858.400         21.808        549.296         75.276
     31/12/1979      1979       2758.681        181.023          3.236          0.000          0.000          0.000          0.000          0.000          0.000        776.477       5859.290          0.000         620.300         34.161        388.466        128.386
     31/12/1980      1980          0.000          0.000          0.000          0.000          0.000          0.000         32.128        120.520          3.062       3488.996       5383.921          0.000         533.200          3.487        345.055         24.352
     31/12/1981      1981          0.000          0.000          0.000          0.000          0.000          0.000       5672.618        125.414          2.863       3388.727       5729.013          0.000         668.200         14.033        446.558          0.592
     31/12/1982      1982          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000        188.107        956.036          0.000         525.900         18.771        382.268        137.974
     31/12/1983      1983          0.000          0.000          0.000          0.000          0.000          0.000          0.000        105.046          3.029         11.494         46.589          0.000         957.300         68.211        649.103        225.534
     31/12/1984      1984          0.000          0.000          0.000          0.000          0.000          0.000       5655.318        111.387          2.940       3335.204       5860.913          0.000         832.400         18.924        463.724        146.262
     31/12/1985      1985       2040.399        161.663          2.789          0.000          0.000          0.000          0.000          0.000          0.000       1289.700       5363.104          0.000         651.600          9.188        448.660         69.194
     31/12/1986      1986          0.000          0.000          0.000          0.000          0.000          0.000          0.000         84.869          2.678       3081.733       4453.326          0.000         474.300          0.014        395.386         48.637
     31/12/1987      1987          0.000          0.000          0.000          0.000          0.000          0.000       4539.535        104.206          2.610       1711.133       4833.938          0.000         692.700          0.060        553.393          0.261
     31/12/1988      1988       2561.353        169.580          3.466          0.000          0.000          0.000          0.000          0.000          0.000        953.884       6281.073          0.000         859.700         40.901        486.926        165.637
     31/12/1989      1989          0.000          0.000          0.000          0.000          0.000          0.000          0.000        115.873          3.022       2319.913       4873.274          0.000         745.200          9.155        487.083        164.293
