Summary_file = output\warialda_lg1_50_oc2_deep_AvgWindow.sum
Title = site=warialda; soil=lg1; treatment=oc2; Nrate=50; RootDepth=deep; Sowing = AvgWindow
           date      year      wht_yield         wht_ep     wht_laimax      chk_yield         chk_ep     chk_laimax      sor_yield         sor_ep     sor_laimax    avg_residue    max_residue    min_residue annual_rainfall  annual_runoff      annual_es   annual_drain
             ()    (year)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)             ()        (m2/m2)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)           (mm)           (mm)           (mm)
     31/12/1957      1957          0.000          0.000          0.000          0.000          0.000          0.000       4917.059        223.743          3.348       3286.284       4931.271          0.000         433.800          2.424        387.957         33.807
     31/12/1958      1958       1792.992        135.876          2.405          0.000          0.000          0.000          0.000          0.113          0.047       2772.893       5269.643          0.000         761.600         14.282        459.889          0.000
     31/12/1959      1959          0.000          0.000          0.000       2921.660        245.780          3.123       5357.935        236.656          3.690       4028.454       7058.589          0.000         916.800         20.477        390.936          4.529
     31/12/1960      1960       1255.691        127.092          1.636          0.000          0.000          0.000       4876.563        193.912          3.455       3647.149       5739.792          0.000         567.000          0.180        386.418          0.000
     31/12/1961      1961          0.000          0.000          0.000       1419.415        160.213          2.043          0.000          0.000          0.000       1514.259       3780.353          0.000         650.900          5.054        494.880          0.000
     31/12/1962      1962          0.000          0.000          0.000          0.000          0.000          0.000       5138.025        216.716          3.510       2901.611       6278.657          0.000         803.000         33.570        505.323          0.000
     31/12/1963      1963       2329.248        166.857          3.347          0.000          0.000          0.000          0.000          1.093          0.130        680.892       5681.050          0.000         722.000          9.257        498.281          0.000
     31/12/1964      1964          0.000          0.000          0.000       3253.783        241.868          3.097       4291.050        229.177          3.728       3541.948       6476.844          0.000         709.000          6.060        365.366          0.000
     31/12/1965      1965          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000       1698.137       3519.484          0.000         355.900          0.588        336.253          0.000
     31/12/1966      1966          0.000          0.000          0.000          0.000          0.000          0.000          0.000         68.632          2.978        107.565        302.493          0.000         547.400         10.724        450.178          0.000
     31/12/1967      1967       1748.259        129.428          4.369          0.000          0.000          0.000       1867.479         81.514          3.257       1151.430       4515.139          0.000         455.200          4.614        323.249          0.000
     31/12/1968      1968          0.000          0.000          0.000       1604.612        145.472          2.278          0.000          0.000          0.000       1269.831       4275.338          0.000         638.100         11.543        479.911          0.000
     31/12/1969      1969          0.000          0.000          0.000          0.000          0.000          0.000          0.000         31.958          1.908        151.349       1348.174          0.000         687.900         16.531        542.495          0.000
     31/12/1970      1970          0.000          0.000          0.000          0.000          0.000          0.000       2746.396        226.905          3.740       1247.110       4548.333          0.000         894.100         56.198        446.187          0.000
     31/12/1971      1971       1315.380        130.290          1.811          0.000          0.000          0.000       5875.863        188.039          3.754       3475.609       6283.977          0.000         894.099         65.556        354.543        242.072
     31/12/1972      1972          0.000          0.000          0.000       1645.269        185.161          2.057          0.000          0.000          0.000       1733.177       3920.579          0.000         552.200          0.043        429.971          0.002
     31/12/1973      1973       4271.245        239.612          3.948          0.000          0.000          0.000          0.000          0.000          0.001        770.920       6260.517          0.000         816.400         40.028        458.720          0.000
     31/12/1974      1974          0.000          0.000          0.000          0.000          0.000          0.000       4366.092        209.363          3.691       4631.614       6605.959          0.000         610.200         27.336        375.081         34.452
     31/12/1975      1975       2324.315        179.617          3.209          0.000          0.000          0.000          0.000          0.451          0.208       1330.497       6074.439          0.000        1036.400         65.443        488.216        172.335
     31/12/1976      1976          0.000          0.000          0.000       2633.362        255.473          3.318       5314.239        171.568          3.883       3739.705       6259.854          0.000         817.900        125.167        338.827        134.910
     31/12/1977      1977       1960.428        144.740          2.223          0.000          0.000          0.000          0.000          0.000          0.000       1440.545       5146.344          0.000         676.600         43.209        437.488         30.156
     31/12/1978      1978          0.000          0.000          0.000       2809.170        211.169          2.930          0.000          0.000          0.000       1084.809       3998.762          0.000         858.400         14.050        548.251         40.200
     31/12/1979      1979       2930.304        189.820          3.265          0.000          0.000          0.000          0.000          0.000          0.000       1075.492       5867.448          0.000         620.300         33.674        386.328          7.537
     31/12/1980      1980          0.000          0.000          0.000       1586.252        190.859          2.420          0.000          0.000          0.000       3192.152       5771.176          0.000         533.200          2.995        361.367          0.000
     31/12/1981      1981       2597.112        189.768          4.168          0.000          0.000          0.000          0.000          0.000          0.000       1359.598       6693.187          0.000         668.200         22.935        441.869          0.000
     31/12/1982      1982          0.000          0.000          0.000       2045.830        202.977          2.597          0.000          0.000          0.000       2133.224       4618.448          0.000         525.900          3.944        351.122         38.041
     31/12/1983      1983       2799.127        185.222          3.600          0.000          0.000          0.000          0.000         31.005          2.224       1263.199       6735.926          0.000         957.300         54.433        482.568          2.609
     31/12/1984      1984          0.000          0.000          0.000       2232.139        262.007          3.207       5332.681        163.342          3.586       3334.031       5942.788          0.000         832.400         33.127        382.680        168.424
