ApsimVersion = 6.1
Title = site=warialda; soil=lg1; treatment=s1; Nrate=50; RootDepth=deep; Sowing = AvgWindow
           date           year      wht_yield         wht_ep     wht_laimax      chk_yield         chk_ep     chk_laimax      sor_yield         sor_ep     sor_laimax    avg_residue    max_residue    min_residue annual_rainfall  annual_runoff      annual_es   annual_drain
             ()         (year)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)             ()        (m2/m2)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)           (mm)           (mm)           (mm)
     31/12/1970           1970            0.0          0.000          0.000            0.0          0.000          0.000         5082.0        307.090          2.631         2375.4         4638.0            0.0         892.100         36.610        453.573         44.582
     31/12/1971           1971            0.0          0.000          0.000            0.0          0.000          0.000         3551.6        141.713          2.582         4221.5         5650.2            0.0         894.099         54.504        357.198        412.381
     31/12/1972           1972            0.0          0.000          0.000            0.0          0.000          0.000         3634.0        217.861          2.588         2993.3         4939.3            0.0         552.200          0.054        445.599          0.287
     31/12/1973           1973            0.0          0.000          0.000            0.0          0.000          0.000         4014.3        207.015          2.868         2733.3         5175.2            0.0         816.400         49.234        473.292          0.000
     31/12/1974           1974            0.0          0.000          0.000            0.0          0.000          0.000         4790.8        200.226          2.868         2740.2         5049.2            0.0         610.200         48.587        402.545         13.398
     31/12/1975           1975            0.0          0.000          0.000            0.0          0.000          0.000         3380.1        218.104          2.558         1877.0         5007.3            0.0        1036.400         56.022        492.311        194.973
     31/12/1976           1976            0.0          0.000          0.000            0.0          0.000          0.000         5247.1        208.800          2.565         1583.5         4539.1            0.0         817.900        138.797        469.573        100.696
     31/12/1977           1977            0.0          0.000          0.000            0.0          0.000          0.000         3890.8        218.199          2.686         1524.6         4987.0            0.0         676.600         30.673        399.888         57.741
     31/12/1978           1978            0.0          0.000          0.000            0.0          0.000          0.000         4705.1        168.181          2.819         1145.5         4661.9            0.0         858.400         27.343        537.397         59.273
     31/12/1979           1979            0.0          0.000          0.000            0.0          0.000          0.000         4025.0        241.960          2.819         2571.3         5647.1            0.0         620.300          5.849        406.569         21.557
     31/12/1980           1980            0.0          0.000          0.000            0.0          0.000          0.000         3588.5        170.753          2.540         2526.3         4603.0            0.0         533.200          1.290        353.588          4.030
     31/12/1981           1981            0.0          0.000          0.000            0.0          0.000          0.000         4055.7        200.803          2.508         2014.8         4733.4            0.0         668.200         14.823        456.763          0.000
     31/12/1982           1982            0.0          0.000          0.000            0.0          0.000          0.000         4309.6        104.673          2.344         1870.9         4609.4            0.0         525.900          3.215        348.918          0.000
     31/12/1983           1983            0.0          0.000          0.000            0.0          0.000          0.000         3128.7        245.611          2.667         1114.1         4125.0            0.0         957.300         29.261        600.945         88.181
     31/12/1984           1984            0.0          0.000          0.000            0.0          0.000          0.000         4479.9        194.415          2.795         2030.5         4856.3            0.0         832.400         24.747        477.279        161.417
     31/12/1985           1985            0.0          0.000          0.000            0.0          0.000          0.000         3133.4        216.873          2.762         2839.7         5476.3            0.0         651.600          5.442        463.214          4.386
     31/12/1986           1986            0.0          0.000          0.000            0.0          0.000          0.000         3575.9        151.516          2.564         3219.1         5566.1            0.0         474.300          0.000        387.695          0.000
     31/12/1987           1987            0.0          0.000          0.000            0.0          0.000          0.000         2396.3        135.689          2.321          817.9         3644.4            0.0         692.700          0.392        549.956          0.000
     31/12/1988           1988            0.0          0.000          0.000            0.0          0.000          0.000         4570.9        138.182          2.593         1312.6         3697.5            0.0         859.700          8.733        522.768         37.178
     31/12/1989           1989            0.0          0.000          0.000            0.0          0.000          0.000         4319.4        263.210          2.862         1448.3         5171.9            0.0         745.200         11.788        504.570         17.174
     31/12/1990           1990            0.0          0.000          0.000            0.0          0.000          0.000         3959.7        104.476          2.691         2285.7         5410.7            0.0         533.100          1.007        401.146          4.808
     31/12/1991           1991            0.0          0.000          0.000            0.0          0.000          0.000         5113.3        219.178          2.886         2859.7         5414.1            0.0         743.500         22.845        404.835         82.103
     31/12/1992           1992            0.0          0.000          0.000            0.0          0.000          0.000         3617.3        170.695          2.506         2539.3         5158.7            0.0         575.600          0.305        505.222          0.000
     31/12/1993           1993            0.0          0.000          0.000            0.0          0.000          0.000            0.0         81.489          2.768          163.1          725.6            0.0         582.300          3.588        481.223          0.000
     31/12/1994           1994            0.0          0.000          0.000            0.0          0.000          0.000         2917.3         81.914          2.768         2473.4         4899.8            0.0         428.100          8.318        322.993          0.000
     31/12/1995           1995            0.0          0.000          0.000            0.0          0.000          0.000            0.0         95.207          2.737          360.9         1835.4            0.0         802.200         51.571        497.820         75.748
     31/12/1996           1996            0.0          0.000          0.000            0.0          0.000          0.000         7270.8        236.541          2.737         2930.2         5875.3            0.0         785.800         28.586        486.737         54.840
     31/12/1997           1997            0.0          0.000          0.000            0.0          0.000          0.000         3547.7        188.628          2.608         2998.1         5918.4            0.0         676.200         10.635        440.616          2.197
     31/12/1998           1998            0.0          0.000          0.000            0.0          0.000          0.000         4001.7        261.633          2.742         2252.1         5311.2            0.0         911.900         24.837        539.155        152.348
     31/12/1999           1999            0.0          0.000          0.000            0.0          0.000          0.000         4000.3        176.877          2.910         2202.0         5320.2            0.0         872.000         13.616        540.089         78.854
     31/12/2000           2000            0.0          0.000          0.000            0.0          0.000          0.000         5052.2        279.102          2.910         3275.9         6448.5            0.0         821.000         40.960        440.830         65.254
