APSIM output file, version = 5.4
Title = site=warialda; soil=lg1; treatment=w1; Nrate=50; RootDepth=deep; Sowing = AvgWindow
           date           year      wht_yield         wht_ep     wht_laimax      chk_yield         chk_ep     chk_laimax      sor_yield         sor_ep     sor_laimax    avg_residue    max_residue    min_residue annual_rainfall  annual_runoff      annual_es   annual_drain
             ()         (year)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)             ()        (m2/m2)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)           (mm)           (mm)           (mm)
     31/12/1970           1970          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          2.800          9.713          0.000         892.100         88.799        546.629        186.258
     31/12/1971           1971       3336.603        204.895          2.856          0.000          0.000          0.000          0.000          0.000          0.000        343.824       4963.492          0.000         894.099         89.468        474.485        383.485
     31/12/1972           1972       1606.932        121.345          1.980          0.000          0.000          0.000          0.000          0.000          0.000       4067.144       5987.514          0.000         552.200          0.372        377.733          0.000
     31/12/1973           1973       2803.594        229.409          2.778          0.000          0.000          0.000          0.000          0.000          0.000       4182.368       7816.291          0.000         816.400         44.009        361.353          7.560
     31/12/1974           1974       1599.610        203.764          2.430          0.000          0.000          0.000          0.000          0.000          0.000       5083.831       9351.297          0.000         610.200         34.664        288.828        193.446
     31/12/1975           1975       2262.552        179.657          2.365          0.000          0.000          0.000          0.000          0.000          0.000       5040.088       8472.020          0.000        1036.400         49.513        332.655        356.737
     31/12/1976           1976       2183.144        170.041          2.723          0.000          0.000          0.000          0.000          0.000          0.000       3358.079       6996.719          0.000         817.900        107.007        377.646        309.434
     31/12/1977           1977       1906.139        168.200          1.962          0.000          0.000          0.000          0.000          0.000          0.000       3141.036       6331.838          0.000         676.600         32.736        376.950        201.158
     31/12/1978           1978       3167.964        202.363          3.316          0.000          0.000          0.000          0.000          0.000          0.000       2362.078       7976.598          0.000         858.400         14.311        459.776         45.289
     31/12/1979           1979       2160.112        213.592          3.251          0.000          0.000          0.000          0.000          0.000          0.000       3750.219       8432.205          0.000         620.300          5.122        339.261        123.186
     31/12/1980           1980       2267.413        186.607          3.455          0.000          0.000          0.000          0.000          0.000          0.000       4766.596       8315.143          0.000         533.200          4.860        305.994          6.271
     31/12/1981           1981       2477.131        198.396          2.775          0.000          0.000          0.000          0.000          0.000          0.000       3140.032       6965.263          0.000         668.200         14.516        394.612         79.543
     31/12/1982           1982          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000       1943.561       4865.875          0.000         525.900          3.735        352.649         66.385
     31/12/1983           1983       5318.717        270.891          5.120          0.000          0.000          0.000          0.000          0.000          0.000       1330.950       8773.326          0.000         957.300         59.176        453.106        163.055
     31/12/1984           1984       2080.864        181.395          2.230          0.000          0.000          0.000          0.000          0.000          0.000       2915.946       6417.042          0.000         832.400         27.250        443.002        293.101
     31/12/1985           1985       2862.006        195.745          2.973          0.000          0.000          0.000          0.000          0.000          0.000       2670.972       6156.077          0.000         651.600          5.469        417.977          0.000
     31/12/1986           1986       2028.429        182.031          2.473          0.000          0.000          0.000          0.000          0.000          0.000       3129.509       6403.628          0.000         474.300          0.034        365.838          0.000
     31/12/1987           1987       3052.137        227.287          3.384          0.000          0.000          0.000          0.000          0.000          0.000       2622.774       8306.586          0.000         692.700          0.022        444.603          0.000
     31/12/1988           1988       3235.803        190.706          3.153          0.000          0.000          0.000          0.000          0.000          0.000       2909.752       6629.331          0.000         859.700          9.340        433.157        173.680
     31/12/1989           1989       3145.624        209.088          3.824          0.000          0.000          0.000          0.000          0.000          0.000       2118.255       7136.787          0.000         745.200         11.961        444.743         84.141
     31/12/1990           1990       2428.015        210.619          3.328          0.000          0.000          0.000          0.000          0.000          0.000       2797.157       7886.518          0.000         533.100          1.815        371.867         70.000
     31/12/1991           1991       1534.331        185.997          2.808          0.000          0.000          0.000          0.000          0.000          0.000       3920.523       8324.242          0.000         743.500         16.357        345.510        119.827
     31/12/1992           1992       2799.294        209.667          3.039          0.000          0.000          0.000          0.000          0.000          0.000       3231.907       7424.292          0.000         575.600          0.561        395.231          0.000
     31/12/1993           1993       3213.926        188.297          3.213          0.000          0.000          0.000          0.000          0.000          0.000       2498.132       6361.139          0.000         582.300          0.000        404.198          0.000
     31/12/1994           1994          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000       2327.357       5024.912          0.000         428.100         13.574        333.175          0.000
     31/12/1995           1995       3281.212        211.309          2.866          0.000          0.000          0.000          0.000          0.000          0.000        879.343       5685.473          0.000         802.200         27.066        447.539         25.533
     31/12/1996           1996       2807.860        207.217          3.079          0.000          0.000          0.000          0.000          0.000          0.000       1648.401       6647.930          0.000         785.800         14.541        458.413        207.193
     31/12/1997           1997       2250.946        166.230          2.236          0.000          0.000          0.000          0.000          0.000          0.000       2389.271       5350.870          0.000         676.200         12.984        425.668         24.586
     31/12/1998           1998       3569.344        188.877          3.243          0.000          0.000          0.000          0.000          0.000          0.000       1913.586       6598.408          0.000         911.900         29.854        458.346        221.093
     31/12/1999           1999       3743.040        207.181          2.759          0.000          0.000          0.000          0.000          0.000          0.000       2068.099       5390.865          0.000         872.000         14.818        476.423        127.849
     31/12/2000           2000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000       1010.365       3301.594          0.000         821.000         71.555        484.172        245.864
