APSIM output file, version = 5.4
Title = P40N250
           year            day           date   sum@met_rain sum@soilwat2_runoff sum@soilwat2_drain    labile_p(1)    labile_p(2)    labile_p(3)    labile_p(4)    labile_p(5)    labile_p(6)    labile_p(7)    labile_p(8)    labile_p(9)   labile_p(10)      rock_p(1)       fom_p(1)          no3()          nh4()       fom_n(1)       fom_c(1)      biom_n(1)       hum_n(1) sum@soilwat2_es          sw(1)          sw(2)          sw(3)          sw(4)          sw(5)          sw(6)          sw(7)          sw(8)          sw(9)         sw(10)       sw_dep()            esw   surfaceom_wt   surfaceom_wt avg@maize_swdef_photo avg@maize_nfact_photo avg@maize_pfact_photo flowering_date          yield        biomass       p_uptake       n_uptake     root_depth        root_wt         no3(1)         no3(2)         no3(3)         no3(4)         no3(5)         no3(6)         no3(7)         no3(8)         no3(9)        no3(10)   unavail_p(1)        N_leach           flag      crop_year           crop
         (year)          (day)             ()           (mm)                (mm)               (mm)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)           (mm)           (mm)        (kg/ha)        (kg/ha)                    ()                    ()                    ()          (doy)        (kg/ha)        (kg/ha)        (g/m^2)        (g/m^2)           (mm)        (g/m^2)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)            (?)            (?)            (?)
           1976            103     12/04/1976        733.700              39.389            197.658         22.532          2.932          2.118          1.974          1.140          1.119          1.114          1.111          1.113          1.110          0.000          0.041         46.737          0.517          0.243         11.916         34.840       1320.566         348.882          0.282          0.291          0.285          0.264          0.262          0.249          0.257          0.277          0.291          0.298        465.312         77.312          0.047          0.047                 0.472                 0.472                 0.999             43       6420.711      16691.496          1.974         20.466       1700.000        198.330          2.947          4.244          5.824         12.128          8.420          3.839          2.868          2.405          2.152          1.909         43.945         41.043              ?              ?              ?
           1977            112     22/04/1977       1122.500             147.701            451.430         20.450          2.939          2.184          2.127          1.307          1.281          1.255          1.224          1.176          1.136          0.000          0.141         34.870          0.837          4.120        171.431         94.426       1320.748         409.398          0.160          0.231          0.239          0.242          0.248          0.257          0.279          0.292          0.298          0.300        446.038         62.065          0.055          0.055                 0.360                 0.357                 0.983             51       5879.727      14626.936          1.566         18.263       1700.000        138.008          3.367          1.093          0.716          1.296          1.743          2.221          3.884          5.413          6.902          8.235         49.340        122.789              ?              ?              ?
           1978             97     07/04/1978       1159.600             102.194            496.786         20.260          2.872          2.163          2.142          1.279          1.260          1.222          1.176          1.137          1.115          0.000          0.111         43.317          1.158          3.309        141.374        114.577       1323.056         383.839          0.235          0.277          0.279          0.267          0.261          0.268          0.285          0.295          0.299          0.300        474.125         86.124          0.018          0.018                 0.371                 0.369                 0.999             40       6677.129      15737.896          1.968         19.479       1700.000        172.403          4.677          2.025          1.243          2.176          2.888          3.829          5.465          6.553          7.151          7.311         54.307        110.417              ?              ?              ?
           1979            108     18/04/1979        678.800              17.316            178.697         26.142          2.971          2.183          2.167          1.302          1.258          1.235          1.199          1.147          1.112          0.000          0.212         95.528          0.812          6.525        283.880        153.639       1327.793         380.943          0.177          0.209          0.210          0.205          0.204          0.205          0.239          0.267          0.287          0.296        400.148         14.441          0.385          0.385                 0.342                 0.351                 0.966             49       4507.452      13268.307          1.224         16.367       1700.000        147.913         20.643         20.476         21.150         20.514          5.962          1.564          1.402          1.254          1.234          1.330         59.095         23.822              ?              ?              ?
           1980             82     22/03/1980        661.100              20.866            248.413         26.722          2.803          2.088          2.049          1.129          1.176          1.170          1.170          1.123          1.091          0.000          0.168        114.292          1.325          5.848        237.530        175.304       1333.975         308.293          0.167          0.221          0.226          0.226          0.205          0.204          0.240          0.268          0.287          0.296        406.509         21.859          0.152          0.152                 0.363                 0.378                 0.977             27       5357.359      12977.815          1.407         15.634       1700.000        154.531         21.826         23.766         23.588         22.875          5.363          3.333          3.724          3.535          3.291          2.993         63.737         49.537              ?              ?              ?
           1981             87     28/03/1981       1027.800             120.713            386.884         26.031          2.854          2.163          2.196          1.329          1.328          1.269          1.213          1.136          1.100          0.000          0.117        111.761          1.690          3.710        154.486        188.797       1342.507         387.878          0.185          0.253          0.262          0.267          0.273          0.280          0.292          0.297          0.299          0.300        471.705         85.246          0.035          0.035                 0.358                 0.356                 0.993             29       5380.586      13646.788          2.006         16.481       1700.000        152.476          8.207          3.461          3.093          6.723         10.112         14.456         18.040         18.429         16.266         12.974         68.518        131.804              ?              ?              ?
           1982             92     02/04/1982        781.000              66.708            206.161         30.623          2.995          2.208          2.204          1.363          1.326          1.281          1.188          1.130          1.100          0.000          0.133        109.644          1.229          3.505        149.170        181.651       1350.063         339.218          0.142          0.204          0.210          0.211          0.214          0.220          0.256          0.280          0.293          0.298        410.185         27.959          0.377          0.377                 0.348                 0.346                 0.983             35       5752.598      14769.806          1.384         18.630       1700.000        169.797         15.013         11.768         15.205         28.195         18.072          9.218          5.223          3.155          2.174          1.621         73.777         53.517              ?              ?              ?
           1983             98     08/04/1983        492.900               7.385             94.549         35.040          3.138          2.284          2.318          1.400          1.340          1.297          1.208          1.140          1.105          0.000          0.107        184.332          1.602          3.362        134.933        195.498       1358.855         319.466          0.112          0.200          0.203          0.203          0.202          0.205          0.241          0.269          0.288          0.297        392.527         13.306          1.416          1.416                 0.310                 0.323                 0.947             45       4790.209       9818.963          0.949         13.155       1700.000        111.163         51.365         38.853         34.611         34.670         11.727          5.137          3.266          2.168          1.483          1.052         79.983         15.086              ?              ?              ?
           1984            111     20/04/1984        627.200              17.482            124.047         30.152          2.857          2.124          2.120          1.323          1.330          1.284          1.209          1.132          1.109          0.000          0.063        150.290          1.419          2.105         77.211        159.877       1363.024         338.755          0.160          0.225          0.233          0.237          0.240          0.234          0.252          0.275          0.291          0.298        426.616         42.656          0.035          0.035                 0.354                 0.352                 0.976             53       5820.492      13974.997          1.744         17.313       1700.000        149.737         15.944         15.986         23.176         46.745         28.405          9.837          4.344          2.807          1.780          1.266         86.924         26.820              ?              ?              ?
           1985             95     05/04/1985       1049.100              51.123            428.456         27.282          2.881          2.164          2.205          1.351          1.306          1.248          1.160          1.129          1.100          0.000          0.084         64.291          1.403          2.581        105.832        164.819       1369.222         381.168          0.190          0.255          0.263          0.268          0.273          0.279          0.291          0.297          0.299          0.300        472.377         85.328          0.025          0.025                 0.368                 0.371                 0.989             38       6573.351      16650.799          1.805         20.242       1700.000        185.518          8.521          3.427          3.234          6.547          6.591          5.950          6.204          6.847          7.929          9.041         91.878        130.422              ?              ?              ?
