Summary_file = P40N50c_h.sum
Title = P40N50
           year            day           date   sum@met_rain sum@soilwat2_runoff sum@soilwat2_drain    labile_p(1)    labile_p(2)    labile_p(3)    labile_p(4)    labile_p(5)    labile_p(6)    labile_p(7)    labile_p(8)    labile_p(9)   labile_p(10)      rock_p(1)       fom_p(1)          no3()          nh4()       fom_n(1)       fom_c(1)      biom_n(1)       hum_n(1) sum@soilwat2_es          sw(1)          sw(2)          sw(3)          sw(4)          sw(5)          sw(6)          sw(7)          sw(8)          sw(9)         sw(10)       sw_dep()            esw   surfaceom_wt   surfaceom_wt avg@maize_swdef_photo avg@maize_nfact_photo avg@maize_pfact_photo flowering_date          yield        biomass       p_uptake       n_uptake     root_depth        root_wt         no3(1)         no3(2)         no3(3)         no3(4)         no3(5)         no3(6)         no3(7)         no3(8)         no3(9)        no3(10)   unavail_p(1)        N_leach           flag      crop_year           crop
         (year)          (day)             ()           (mm)                (mm)               (mm)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)           (mm)           (mm)        (kg/ha)        (kg/ha)                    ()                    ()                    ()          (doy)        (kg/ha)        (kg/ha)        (g/m^2)        (g/m^2)           (mm)        (g/m^2)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)            (?)            (?)            (?)
           1952            102     11/04/1952       1000.300              75.126            491.647         32.099          3.214          2.191          2.024          1.153          1.135          1.126          1.120          1.117          1.110          0.000          0.051          2.008          0.364          0.228         14.435         37.599       1322.644         399.486          0.137          0.221          0.239          0.249          0.258          0.268          0.283          0.294          0.299          0.300        449.972         68.282          0.107          0.107                 0.477                 0.339                 0.461             43       3446.790       8226.526          0.932          5.564       1700.000        128.565          1.004          0.446          0.187          0.067          0.019          0.001          0.001          0.003          0.026          0.255         43.827         25.991              ?              ?              ?
           1953            108     18/04/1953        918.900              48.651            374.930         26.036          2.952          2.169          2.036          1.114          1.040          1.051          1.089          1.125          1.116          0.000          0.202          1.665          0.554          2.656        221.786         56.838       1319.212         407.817          0.227          0.284          0.292          0.297          0.299          0.300          0.300          0.300          0.300          0.301        499.867        111.867          1.140          1.140                 0.363                 0.239                 0.775             49       2776.460       7199.230          1.292          4.742       1700.000        116.523          0.817          0.340          0.183          0.130          0.065          0.029          0.025          0.024          0.019          0.033         49.936          4.875              ?              ?              ?
           1954             97     07/04/1954        668.500              48.051            244.986         27.785          3.026          2.174          2.100          1.224          1.165          1.152          1.145          1.119          1.108          0.000          0.468          2.003          0.580          3.145        254.879         71.754       1316.626         333.459          0.190          0.255          0.267          0.275          0.282          0.288          0.295          0.299          0.300          0.300        478.772         91.766          1.050          1.050                 0.384                 0.260                 1.000             36       3077.434       8229.202          1.284          5.599       1700.000        128.321          1.283          0.298          0.124          0.081          0.051          0.029          0.034          0.022          0.016          0.065         55.141          4.581              ?              ?              ?
           1955             92     02/04/1955       1006.700              83.732            484.258         28.092          3.094          2.207          2.140          1.238          1.177          1.165          1.124          1.110          1.099          0.000          0.511          2.221          0.578          3.990        328.041         81.561       1314.748         384.015          0.203          0.267          0.278          0.286          0.292          0.295          0.299          0.300          0.300          0.300        489.204        101.204          0.863          0.863                 0.386                 0.260                 1.000             32       2833.762       7622.336          1.294          5.290       1700.000        119.142          1.364          0.280          0.129          0.087          0.054          0.034          0.037          0.031          0.026          0.180         60.531         19.717              ?              ?              ?
           1956             97     06/04/1956       1000.800              97.130            391.569         26.747          2.988          2.158          2.125          1.264          1.217          1.191          1.153          1.112          1.103          0.000          0.505          2.244          0.582          3.480        280.781         86.840       1313.079         419.379          0.211          0.271          0.281          0.288          0.293          0.296          0.299          0.300          0.300          0.300        491.193        103.193          0.522          0.522                 0.368                 0.268                 0.996             39       3544.844       8879.805          1.533          6.546       1700.000        136.974          1.533          0.257          0.126          0.101          0.062          0.039          0.038          0.026          0.019          0.043         66.206         10.498              ?              ?              ?
           1957             94     04/04/1957       1059.500              79.229            454.329         30.077          2.910          2.108          2.083          1.229          1.193          1.164          1.119          1.104          1.095          0.000          0.628          2.213          0.634          4.518        348.534         92.188       1311.721         452.182          0.174          0.249          0.263          0.273          0.280          0.286          0.294          0.298          0.300          0.300        474.715         89.336          1.141          1.141                 0.388                 0.292                 0.977             36       3455.064       7926.740          1.190          5.960       1700.000        115.681          1.358          0.323          0.141          0.102          0.068          0.044          0.044          0.038          0.023          0.073         71.419         15.681              ?              ?              ?
           1958            101     11/04/1958        815.700              83.350            329.918         29.909          3.080          2.196          2.155          1.283          1.248          1.210          1.167          1.122          1.109          0.000          0.352          3.037          0.714          3.322        258.710         95.377       1311.002         355.406          0.233          0.234          0.239          0.247          0.256          0.265          0.282          0.293          0.298          0.300        458.840         70.840          1.243          1.243                 0.358                 0.260                 0.996             43       3721.351       9198.083          1.119          6.655       1700.000        140.366          2.040          0.394          0.169          0.117          0.068          0.041          0.041          0.031          0.028          0.108         77.409         11.943              ?              ?              ?
           1959            117     27/04/1959        797.300              33.973            300.791         32.526          3.123          2.228          2.165          1.274          1.222          1.195          1.156          1.128          1.112          0.000          0.431          3.243          0.590          5.195        401.665        105.897       1311.355         410.173          0.126          0.209          0.225          0.232          0.241          0.253          0.273          0.289          0.297          0.300        433.040         52.422          1.859          1.859                 0.362                 0.262                 0.889             56       3542.882       8240.104          0.762          5.883       1700.000        124.655          1.963          0.322          0.170          0.119          0.079          0.050          0.055          0.044          0.044          0.397         83.075         18.948              ?              ?              ?
           1960            106     15/04/1960        663.400              31.435            254.653         31.310          2.884          2.144          2.084          1.243          1.218          1.202          1.165          1.115          1.105          0.000          0.388          3.147          0.794          5.145        391.395        115.006       1312.305         319.900          0.292          0.294          0.265          0.260          0.265          0.269          0.281          0.292          0.298          0.300        478.125         90.125          2.560          2.560                 0.401                 0.317                 0.410             46       3659.331       8201.818          0.925          5.890       1700.000        117.811          1.672          0.712          0.204          0.120          0.071          0.047          0.052          0.040          0.041          0.188         88.304          9.353              ?              ?              ?
           1961             86     27/03/1961        990.100              52.891            381.989         26.401          2.916          2.125          2.121          1.245          1.208          1.175          1.140          1.115          1.094          0.000          0.242          2.769          1.059          2.929        229.328        102.887       1312.355         404.211          0.269          0.288          0.294          0.297          0.297          0.298          0.300          0.300          0.300          0.300        503.621        115.621          0.665          0.665                 0.384                 0.289                 0.639             29       3675.762       9662.963          1.727          7.597       1700.000        147.607          1.793          0.362          0.179          0.134          0.070          0.040          0.031          0.028          0.036          0.096         93.480         13.440              ?              ?              ?
