APSIM output file, version = 5.3
Title = p10N175
           year            day           date   sum@met_rain sum@soilwat2_runoff sum@soilwat2_drain    labile_p(1)    labile_p(2)    labile_p(3)    labile_p(4)    labile_p(5)    labile_p(6)    labile_p(7)    labile_p(8)    labile_p(9)   labile_p(10)      rock_p(1)       fom_p(1)          no3()          nh4()       fom_n(1)       fom_c(1)      biom_n(1)       hum_n(1) sum@soilwat2_es          sw(1)          sw(2)          sw(3)          sw(4)          sw(5)          sw(6)          sw(7)          sw(8)          sw(9)         sw(10)       sw_dep()            esw   surfaceom_wt   surfaceom_wt avg@maize_swdef_photo avg@maize_nfact_photo avg@maize_pfact_photo flowering_date          yield        biomass       p_uptake       n_uptake     root_depth        root_wt         no3(1)         no3(2)         no3(3)         no3(4)         no3(5)         no3(6)         no3(7)         no3(8)         no3(9)        no3(10)   unavail_p(1)        N_leach           flag      crop_year           crop
         (year)          (day)             ()           (mm)                (mm)               (mm)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)           (mm)           (mm)        (kg/ha)        (kg/ha)                    ()                    ()                    ()          (doy)        (kg/ha)        (kg/ha)        (g/m^2)        (g/m^2)           (mm)        (g/m^2)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)            (?)            (?)            (?)
           1952            103     12/04/1952       1000.300              74.643            481.220          9.825          2.808          2.043          1.917          1.120          1.126          1.120          1.120          1.117          1.110          0.000          0.048         38.177          0.444          0.309         15.040         37.782       1322.769         409.835          0.136          0.233          0.255          0.269          0.276          0.282          0.287          0.293          0.298          0.300        463.539         81.890          0.118          0.118                 0.479                 0.479                 0.846             44       2356.597       7506.779          0.544         11.872       1700.000        115.131          3.000          3.024          2.334          3.641          3.330          2.764          3.679          4.429          5.412          6.565         40.876         94.244              ?              ?              ?
           1953            108     18/04/1953        918.900              48.614            358.792          9.127          2.578          2.004          1.959          1.186          1.193          1.175          1.146          1.129          1.116          0.000          0.044         75.682          0.730          1.446         37.564         64.995       1321.284         424.075          0.228          0.285          0.293          0.299          0.300          0.300          0.300          0.300          0.301          0.301        500.912        112.912          0.000          0.000                 0.364                 0.361                 0.884             49       2857.758       7554.911          0.662         11.914       1700.000        113.416          3.566          2.841          3.419         10.643         13.168         12.899         10.816          8.223          5.922          4.185         42.010         68.035              ?              ?              ?
           1954             97     07/04/1954        668.500              40.553            252.402          8.596          2.599          1.998          1.979          1.210          1.217          1.192          1.147          1.121          1.109          0.000          0.064        109.954          0.595          3.241         73.260         77.960       1319.687         345.427          0.208          0.264          0.276          0.285          0.292          0.296          0.299          0.300          0.300          0.300        489.410        101.410          0.013          0.013                 0.384                 0.381                 0.858             36       2402.702       6524.956          0.551          9.954       1700.000         94.378          7.811          4.540          5.860         18.170         21.090         18.805         14.151          9.559          6.114          3.855         42.936         70.402              ?              ?              ?
           1955             92     02/04/1955       1006.700              84.535            463.271          9.230          2.497          1.963          1.951          1.176          1.185          1.161          1.130          1.108          1.098          0.000          0.055         62.280          0.612          2.553         60.576         77.638       1317.409         396.995          0.202          0.270          0.281          0.289          0.294          0.297          0.300          0.300          0.300          0.300        491.325        103.325          0.000          0.000                 0.386                 0.383                 0.887             32       3151.775       8120.869          0.722         11.987       1700.000        116.477          6.914          4.564          4.774          9.534          8.147          6.108          5.213          5.124          5.598          6.303         44.015         88.944              ?              ?              ?
           1956             98     07/04/1956       1002.100              84.948            395.937         10.404          2.494          1.963          1.974          1.204          1.217          1.184          1.138          1.113          1.104          0.000          0.041         83.801          0.632          1.655         41.455         84.521       1316.809         436.993          0.217          0.272          0.282          0.290          0.295          0.297          0.299          0.300          0.300          0.300        493.508        105.508          0.000          0.000                 0.369                 0.367                 0.904             40       3391.317       8368.903          0.796         11.716       1700.000        117.840          3.389          1.980          2.505          8.348         11.740         13.622         13.421         11.800          9.587          7.410         45.122         97.316              ?              ?              ?
           1957             95     05/04/1957       1058.200              71.830            461.121         11.073          2.549          1.960          1.967          1.198          1.216          1.182          1.138          1.105          1.097          0.000          0.045        105.832          0.708          1.853         49.523         92.546       1316.849         469.418          0.180          0.258          0.272          0.282          0.289          0.294          0.298          0.300          0.300          0.300        483.658         97.700          0.010          0.010                 0.391                 0.388                 0.870             37       2709.407       6182.294          0.583          8.600       1700.000         81.219          4.267          3.467          4.561         14.209         17.343         17.339         15.154         12.358          9.671          7.462         46.185        102.878              ?              ?              ?
           1958            101     11/04/1958        815.700              78.207            323.827         12.083          2.700          2.036          2.008          1.201          1.206          1.173          1.133          1.113          1.105          0.000          0.032         85.157          0.800          1.023         29.145         90.836       1316.799         369.940          0.229          0.247          0.256          0.267          0.276          0.283          0.290          0.297          0.300          0.300        475.602         87.602          0.000          0.000                 0.358                 0.356                 0.895             43       2900.799       8011.434          0.659         12.297       1700.000        115.843          6.289          3.432          3.874         11.304         13.355         12.795         11.442          9.449          7.468          5.748         47.572         87.488              ?              ?              ?
           1959            117     27/04/1959        797.300              35.196            310.219         12.547          2.837          2.113          2.068          1.239          1.228          1.198          1.160          1.125          1.111          0.000          0.039         95.449          0.758          1.542         40.995        104.121       1318.236         416.185          0.122          0.215          0.237          0.249          0.258          0.268          0.279          0.290          0.297          0.300        445.759         65.557          0.012          0.012                 0.362                 0.360                 0.862             56       1783.474       6662.824          0.439         10.988       1700.000        105.705         15.986          8.835          9.563         15.747         11.279          8.043          7.568          6.993          6.198          5.238         49.012         71.453              ?              ?              ?
           1960            105     14/04/1960        663.400              30.154            258.583         11.201          2.599          2.026          2.008          1.215          1.228          1.184          1.149          1.123          1.104          0.000          0.071        109.942          0.763          3.778         88.934        118.609       1320.163         328.109          0.180          0.260          0.275          0.285          0.290          0.291          0.292          0.296          0.300          0.300        482.248         96.294          0.075          0.075                 0.399                 0.416                 0.845             45       1975.989       6124.560          0.454         10.200       1700.000         94.668          7.648          5.295          6.328         18.294         20.610         17.306         13.476          9.699          6.741          4.546         50.166         80.981              ?              ?              ?
           1961             85     26/03/1961        989.300              51.456            396.464         11.164          2.435          1.924          1.946          1.170          1.179          1.139          1.120          1.104          1.091          0.000          0.034         78.078          1.196          1.474         35.357        105.224       1321.963         414.198          0.272          0.292          0.297          0.300          0.300          0.300          0.300          0.301          0.301          0.301        506.663        118.663          0.000          0.000                 0.382                 0.379                 0.910             29       4033.422       9563.521          0.942         13.974       1700.000        141.084          5.967          4.304          4.600         10.830         11.775         11.232          9.723          8.036          6.473          5.138         51.252        102.966              ?              ?              ?
