Summary_file = p60N0c_h.sum
Title = p60N0
      year       day           date   sum@met_rain sum@soilwat2_runoff sum@soilwat2_drain        labile_p(1)        labile_p(2)        labile_p(3)        labile_p(4)        labile_p(5)        labile_p(6)        labile_p(7)        labile_p(8)        labile_p(9)       labile_p(10)      rock_p(1)       fom_p(1)          no3()          nh4()       fom_n(1)       fom_c(1)      biom_n(1)       hum_n(1) sum@soilwat2_es              sw(1)              sw(2)              sw(3)              sw(4)              sw(5)              sw(6)              sw(7)              sw(8)              sw(9)             sw(10)       sw_dep()            esw   surfaceom_wt   surfaceom_wt avg@maize_swdef_photo avg@maize_nfact_photo avg@maize_pfact_photo flowering_date          yield        biomass       p_uptake       n_uptake     root_depth        root_wt             no3(1)             no3(2)             no3(3)             no3(4)             no3(5)             no3(6)             no3(7)             no3(8)             no3(9)            no3(10)   unavail_p(1)        N_leach           flag      crop_year           crop
    (year)     (day)             ()           (mm)                (mm)               (mm)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)           (mm)           (mm)        (kg/ha)        (kg/ha)                    ()                    ()                    ()          (doy)        (kg/ha)        (kg/ha)        (g/m^2)         (g/m2)           (mm)        (g/m^2)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)        (kg/ha)        (kg/ha)            (?)            (?)            (?)
      1952       102     11/04/1952       1000.300              75.134            513.863             43.217              3.140              2.226              2.085              1.392              1.366              1.351              1.337              1.324              1.311          0.000          0.046          1.917          0.390          0.183         12.353         37.689       1322.721         417.105              0.154              0.236              0.254              0.266              0.275              0.282              0.291              0.297              0.300              0.300        466.702         83.341          0.134          0.134                 0.477                 0.266                 0.477             43        362.492       3742.445          0.390          1.965       1700.000         57.081              1.078              0.468              0.179              0.068              0.025              0.005              0.007              0.009              0.015              0.062         58.095          6.582              ?              ?              ?
      1953       108     18/04/1953        918.900              38.062            406.479             42.547              3.275              2.316              2.189              1.428              1.349              1.345              1.333              1.320              1.308          0.000          0.492          1.242          0.387          3.249        253.040         46.495       1318.150         448.073              0.220              0.284              0.292              0.298              0.300              0.300              0.300              0.300              0.301              0.301        499.662        111.662          0.657          0.657                 0.363                 0.184                 1.000             49        370.295       2908.123          0.348          1.628       1700.000         44.941              0.547              0.295              0.157              0.108              0.049              0.018              0.013              0.010              0.012              0.033         85.724          3.375              ?              ?              ?
      1954        97     07/04/1954        668.500              33.038            298.167             43.762              3.220              2.279              2.163              1.411              1.347              1.323              1.306              1.294              1.282          0.000          0.554          1.374          0.369          3.492        267.837         52.765       1313.721         351.459              0.197              0.259              0.271              0.281              0.288              0.293              0.298              0.300              0.300              0.300        484.561         96.832          0.659          0.659                 0.384                 0.203                 1.000             36        369.007       3525.604          0.408          1.859       1700.000         53.146              0.834              0.273              0.110              0.057              0.028              0.008              0.007              0.007              0.011              0.039        109.998          2.044              ?              ?              ?
      1955        92     02/04/1955       1006.700              81.852            498.343             46.507              3.309              2.308              2.187              1.376              1.298              1.285              1.271              1.262              1.251          0.000          0.643          1.349          0.407          3.886        302.522         58.566       1309.553         429.774              0.195              0.269              0.280              0.289              0.294              0.297              0.299              0.300              0.300              0.300        490.194        102.734          0.570          0.570                 0.386                 0.191                 1.000             32        369.769       2833.150          0.333          1.651       1700.000         38.882              0.778              0.255              0.117              0.068              0.032              0.012              0.007              0.007              0.011              0.062        133.910          5.698              ?              ?              ?
      1956        97     06/04/1956       1000.800              69.598            455.663             45.781              3.252              2.276              2.165              1.368              1.310              1.287              1.274              1.264              1.253          0.000          0.448          1.406          0.424          2.782        211.738         59.687       1305.011         447.533              0.200              0.273              0.283              0.291              0.295              0.297              0.299              0.300              0.300              0.300        491.939        103.960          0.190          0.190                 0.368                 0.210                 1.000             39        365.470       4097.850          0.466          2.356       1700.000         61.580              0.903              0.229              0.107              0.071              0.034              0.012              0.011              0.010              0.011              0.019        158.248          3.325              ?              ?              ?
      1957        91     01/04/1957       1059.200              57.542            516.665             48.987              3.127              2.208              2.118              1.322              1.261              1.253              1.243              1.234              1.225          0.000          0.651          1.392          0.411          4.179        301.396         64.463       1300.953         476.033              0.186              0.262              0.275              0.284              0.290              0.295              0.298              0.300              0.300              0.300        485.678         99.097          0.699          0.699                 0.383                 0.205                 0.996             33        364.746       2948.787          0.338          1.686       1700.000         43.014              0.833              0.266              0.114              0.068              0.037              0.015              0.010              0.010              0.012              0.027        179.907          5.269              ?              ?              ?
      1958       101     11/04/1958        816.000              67.179            367.779             46.504              3.165              2.242              2.136              1.346              1.301              1.273              1.259              1.249              1.238          0.000          0.387          2.043          0.523          2.485        183.617         64.041       1296.917         375.937              0.231              0.250              0.258              0.267              0.276              0.283              0.292              0.298              0.300              0.300        476.928         88.928          0.562          0.562                 0.355                 0.201                 1.000             43        530.177       4282.608          0.509          2.382       1700.000         66.105              1.373              0.354              0.134              0.069              0.030              0.010              0.006              0.008              0.013              0.046        203.590          5.565              ?              ?              ?
      1959       116     26/04/1959        797.300              34.937            327.874             47.832              3.153              2.252              2.132              1.341              1.286              1.269              1.262              1.251              1.241          0.000          0.617          2.103          0.360          3.835        292.228         69.582       1294.164         418.236              0.162              0.233              0.249              0.261              0.270              0.279              0.289              0.296              0.300              0.300        463.368         79.161          1.381          1.381                 0.361                 0.193                 0.990             55        364.555       3668.983          0.388          1.912       1700.000         55.506              1.309              0.320              0.151              0.076              0.036              0.015              0.013              0.008              0.017              0.156        224.350          7.420              ?              ?              ?
      1960        90     30/03/1960        663.400              30.650            303.062             49.947              3.157              2.229              2.132              1.299              1.249              1.233              1.217              1.208              1.199          0.000          0.767          1.541          0.409          4.929        385.146         72.411       1291.882         317.418              0.194              0.271              0.282              0.290              0.295              0.297              0.300              0.300              0.300              0.300        491.163        103.725          2.779          2.779                 0.392                 0.206                 1.000             31        360.365       3486.030          0.405          1.890       1700.000         53.053              0.971              0.255              0.116              0.070              0.035              0.016              0.009              0.007              0.012              0.049        241.687          2.443              ?              ?              ?
      1961        85     26/03/1961        989.300              40.054            461.739             50.416              3.394              2.297              2.192              1.313              1.247              1.216              1.201              1.194              1.186          0.000          0.532          1.754          0.671          3.315        254.676         69.392       1288.071         442.180              0.259              0.289              0.295              0.298              0.299              0.300              0.300              0.300              0.300              0.300        503.564        115.564          0.300          0.300                 0.366                 0.213                 1.000             29        356.346       4223.477          0.477          2.562       1700.000         63.879              1.106              0.293              0.144              0.095              0.043              0.019              0.011              0.008              0.009              0.027        260.144          3.264              ?              ?              ?
      1962        97     07/04/1962        869.300              46.152            352.792             50.656              3.268              2.255              2.174              1.307              1.250              1.217              1.202              1.195              1.186          0.000          0.593          1.914          0.540          3.926        276.687         72.691       1284.916         455.261              0.247              0.282              0.291              0.297              0.299              0.300              0.300              0.300              0.300              0.300        501.284        113.284          0.652          0.652                 0.372                 0.197                 0.995             39        355.419       3547.743          0.401          2.044       1700.000         49.947              1.101              0.290              0.145              0.089              0.036              0.018              0.010              0.008              0.022              0.195        279.312          4.062              ?              ?              ?
      1963        95     05/04/1963       1055.400             133.566            537.221             53.000              3.285              2.247              2.174              1.273              1.205              1.186              1.178              1.173              1.167          0.000          0.635          1.787          0.476          4.151        299.313         73.108       1282.370         395.991              0.219              0.282              0.289              0.291              0.287              0.289              0.295              0.299              0.300              0.300        491.247        103.247          0.486          0.486                 0.386                 0.205                 1.000             33        374.633       3459.326          0.399          1.961       1700.000         50.200              1.190              0.303              0.124              0.076              0.036              0.008              0.006              0.006              0.010              0.028        294.103          5.320              ?              ?              ?
      1964       102     11/04/1964        670.000              38.583            260.622             52.191              3.104              2.200              2.122              1.268              1.213              1.198              1.189              1.182              1.174          0.000          0.997          1.634          0.337          6.423        467.314         80.340       1281.575         349.038              0.145              0.228              0.249              0.262              0.272              0.280              0.289              0.297              0.300              0.300        461.864         79.413          3.212          3.212                 0.352                 0.184                 0.996             47        342.593       2983.994          0.315          1.489       1700.000         49.727              0.934              0.315              0.149              0.083              0.037              0.012              0.008              0.008              0.014              0.074        309.594          2.149              ?              ?              ?
      1965       101     11/04/1965        903.200              92.099            481.534             54.167              3.179              2.224              2.134              1.252              1.196              1.183              1.173              1.167              1.160          0.000          0.908          2.031          0.367          5.902        455.105         79.979       1280.000         353.823              0.164              0.239              0.255              0.266              0.274              0.281              0.289              0.296              0.300              0.300        467.095         82.679          2.442          2.442                 0.389                 0.189                 1.000             41        360.529       2582.812          0.293          1.381       1700.000         39.144              1.244              0.311              0.122              0.067              0.035              0.016              0.009              0.007              0.016              0.205        322.728          6.718              ?              ?              ?
      1966       103     13/04/1966        830.000              35.829            405.761             53.398              3.228              2.229              2.147              1.246              1.196              1.177              1.168              1.164              1.157          0.000          0.815          1.369          0.658          5.255        412.705         77.465       1278.212         355.917              0.252              0.292              0.298              0.301              0.301              0.302              0.303              0.303              0.304              0.304        507.823        119.823          1.319          1.319                 0.373                 0.232                 1.000             41        380.117       3690.908          0.418          2.111       1700.000         51.416              0.668              0.250              0.163              0.147              0.062              0.023              0.011              0.007              0.009              0.027        335.685          5.001              ?              ?              ?
      1967       127     07/05/1967        841.400              48.301            403.503             52.188              3.200              2.212              2.114              1.258              1.206              1.191              1.182              1.177              1.170          0.000          0.642          2.078          0.421          4.143        313.291         77.917       1276.074         414.360              0.158              0.237              0.256              0.268              0.277              0.284              0.292              0.298              0.300              0.300        468.792         85.010          1.931          1.931                 0.353                 0.202                 0.995             68        473.505       4187.206          0.442          2.165       1700.000         68.250              1.426              0.260              0.100              0.053              0.026              0.008              0.005              0.006              0.016              0.180        350.323          9.132              ?              ?              ?
      1968       108     17/04/1968        654.300              41.488            251.846             53.418              3.274              2.252              2.160              1.236              1.169              1.163              1.161              1.155              1.148          0.000          1.086          1.866          0.336          7.153        568.248         83.135       1275.335         353.060              0.156              0.233              0.251              0.263              0.272              0.280              0.289              0.296              0.300              0.300        463.979         80.406          5.990          5.990                 0.387                 0.193                 0.996             50        349.683       2744.747          0.303          1.424       1700.000         43.802              1.125              0.281              0.119              0.087              0.044              0.021              0.011              0.007              0.018              0.155        361.893          2.606              ?              ?              ?
      1969        87     28/03/1969        654.000              19.182            248.335             55.273              3.378              2.276              2.181              1.228              1.171              1.143              1.133              1.129              1.123          0.000          0.874          1.871          0.488          5.690        455.943         80.052       1273.484         369.267              0.283              0.289              0.289              0.294              0.297              0.299              0.300              0.300              0.300              0.300        504.080        116.080          0.828          0.828                 0.386                 0.220                 0.997             31        435.742       3608.893          0.422          2.128       1700.000         52.960              1.257              0.266              0.097              0.054              0.025              0.011              0.007              0.006              0.015              0.134        372.173          3.902              ?              ?              ?
      1970       105     15/04/1970        970.700              60.583            432.631             54.341              3.222              2.204              2.125              1.219              1.172              1.147              1.137              1.133              1.127          0.000          0.800          2.566          0.441          5.205        400.639         83.870       1272.259         467.758              0.242              0.226              0.235              0.244              0.253              0.263              0.278              0.291              0.298              0.300        455.761         67.761          0.600          0.600                 0.352                 0.180                 1.000             46        355.551       3219.061          0.374          1.707       1700.000         49.933              1.628              0.283              0.117              0.073              0.036              0.012              0.007              0.007              0.036              0.367        384.906          7.755              ?              ?              ?
      1971        87     28/03/1971        706.200              47.900            308.749             56.815              3.149              2.172              2.109              1.187              1.140              1.126              1.120              1.115              1.111          0.000          0.976          1.710          0.393          6.095        476.457         83.989       1271.197         351.167              0.174              0.255              0.269              0.280              0.287              0.292              0.297              0.300              0.300              0.300        480.709         95.292          2.725          2.725                 0.386                 0.202                 0.996             29        356.515       3334.110          0.369          1.754       1700.000         50.758              1.160              0.261              0.103              0.066              0.034              0.012              0.006              0.007              0.011              0.051        393.846          3.661              ?              ?              ?
      1972        91     31/03/1972        913.200              78.098            389.611             56.448              3.166              2.171              2.095              1.180              1.137              1.119              1.113              1.109              1.105          0.000          0.786          1.823          0.497          4.946        389.622         81.929       1269.585         411.247              0.287              0.301              0.306              0.306              0.306              0.306              0.306              0.306              0.306              0.306        517.792        129.792          1.112          1.112                 0.369                 0.197                 0.999             31        586.262       3818.634          0.484          2.084       1700.000         60.971              0.577              0.396              0.286              0.289              0.140              0.062              0.028              0.014              0.011              0.021        403.571          2.543              ?              ?              ?
      1973       101     11/04/1973        636.100              16.075            236.966             54.950              3.178              2.206              2.134              1.218              1.153              1.137              1.129              1.123              1.117          0.000          0.795          1.994          0.455          4.803        385.240         79.649       1267.668         345.254              0.222              0.261              0.272              0.282              0.288              0.293              0.297              0.300              0.300              0.300        487.622         99.622          6.678          6.678                 0.343                 0.213                 0.975             47        341.001       3821.189          0.440          2.098       1700.000         61.501              1.345              0.223              0.095              0.061              0.033              0.015              0.006              0.008              0.024              0.184        414.419          3.803              ?              ?              ?
      1974        98     08/04/1974       1186.900              71.918            619.004             57.295              3.395              2.237              2.161              1.185              1.122              1.099              1.101              1.099              1.096          0.000          0.845          1.488          0.621          5.201        399.968         78.245       1265.728         480.730              0.229              0.281              0.290              0.296              0.298              0.300              0.300              0.300              0.300              0.300        498.833        110.833          0.125          0.125                 0.390                 0.218                 1.000             38        374.050       2914.213          0.341          1.871       1700.000         39.134              1.099              0.178              0.069              0.047              0.028              0.016              0.010              0.005              0.008              0.027        422.931          6.775              ?              ?              ?
      1975        87     28/03/1975       1165.200             149.651            562.392             58.238              3.257              2.184              2.123              1.176              1.135              1.108              1.096              1.093              1.089          0.000          0.658          1.612          0.405          4.296        314.302         75.624       1263.681         446.163              0.186              0.264              0.276              0.285              0.291              0.295              0.299              0.300              0.300              0.300        486.479         99.912          0.318          0.318                 0.379                 0.210                 1.000             29        363.898       3598.447          0.394          2.069       1700.000         50.052              1.182              0.196              0.078              0.054              0.030              0.014              0.009              0.006              0.010              0.034        430.258          7.585              ?              ?              ?
      1976       103     12/04/1976        801.900              33.676            313.583             56.949              3.378              2.250              2.163              1.189              1.135              1.111              1.101              1.098              1.094          0.000          0.534          1.473          0.548          3.502        259.108         70.814       1260.588         409.870              0.274              0.295              0.302              0.302              0.301              0.300              0.300              0.300              0.300              0.300        507.609        119.609          0.413          0.413                 0.357                 0.200                 1.000             43        375.907       4088.427          0.469          2.369       1700.000         63.295              0.893              0.302              0.101              0.048              0.021              0.009              0.006              0.005              0.010              0.078        438.683          3.286              ?              ?              ?
      1977       112     22/04/1977       1122.500             121.108            553.104             56.457              3.327              2.243              2.160              1.189              1.131              1.113              1.107              1.102              1.098          0.000          0.683          1.607          0.385          4.453        320.800         72.387       1258.164         452.850              0.188              0.261              0.273              0.282              0.288              0.292              0.297              0.299              0.300              0.300        484.079         97.238          0.240          0.240                 0.360                 0.201                 0.993             51        371.033       3735.750          0.414          2.122       1700.000         50.616              1.227              0.171              0.073              0.047              0.029              0.014              0.009              0.007              0.010              0.018        446.778          4.407              ?              ?              ?
      1978        97     07/04/1978       1159.600              74.182            627.815             56.940              3.456              2.272              2.186              1.186              1.124              1.099              1.091              1.089              1.085          0.000          0.492          1.686          0.518          3.197        234.728         66.983       1254.614         422.718              0.225              0.286              0.294              0.299              0.300              0.300              0.300              0.300              0.300              0.300        500.354        112.354          0.134          0.134                 0.371                 0.215                 1.000             40        647.230       4240.706          0.529          2.565       1700.000         64.603              1.166              0.270              0.101              0.061              0.029              0.013              0.007              0.008              0.012              0.019        453.772          4.785              ?              ?              ?
      1979       108     18/04/1979        678.800              19.797            238.275             57.318              3.224              2.194              2.126              1.175              1.121              1.097              1.093              1.089              1.085          0.000          0.851          1.537          0.361          5.507        404.790         73.139       1253.112         396.903              0.217              0.268              0.279              0.288              0.293              0.297              0.299              0.300              0.300              0.300        491.737        103.737          1.795          1.795                 0.354                 0.174                 0.998             49        366.749       2918.992          0.354          1.541       1700.000         47.848              1.059              0.174              0.068              0.046              0.027              0.015              0.010              0.006              0.014              0.119        460.745          3.223              ?              ?              ?
