APSIM output file, version = 5.4
Title = Emerald 600mm wet soil Early sowing
           date            day           year   in_crop_rain eff_in_crop_rain            lai        biomass          yield             hi            nhi         sum_ep   n_conc_grain        grain_n          no3()            esw flowering_date  grain_protein   sowing_paw2n
             ()          (day)         (year)            (?)              (?)      (m^2/m^2)        (kg/ha)        (kg/ha)            (?)            (?)           (mm)            (%)        (g/m^2)        (kg/ha)           (mm)          (doy)            (%)            (?)
     14/09/1957            257           1957        178.000          177.987          0.000         6689.8         1961.9          0.293          0.709        139.239          2.160           4.24           39.1         12.499            215         12.334          0.837
     04/09/1958            247           1958         66.700           66.691          0.000         4092.4          854.4          0.209          0.517         89.670          2.876           2.46           45.7          0.198            209         16.424          0.837
     12/09/1959            255           1959         91.600           89.261          0.000         5354.6         1212.7          0.226          0.639         98.178          2.858           3.47           41.8          0.497            212         16.318          0.837
     19/09/1960            263           1960         48.400           48.400          0.000         3071.8          588.7          0.192          0.466         58.762          2.867           1.69           54.2          0.087            221         16.372          0.837
     18/09/1961            261           1961         53.000           53.000          0.000         3159.5          551.3          0.174          0.412         64.833          2.873           1.58           50.0          0.080            218         16.407          0.837
     11/09/1962            254           1962         69.100           68.821          0.000         4223.2          846.5          0.200          0.513         82.228          2.876           2.43           42.7          0.227            211         16.419          0.837
     17/09/1963            260           1963         69.100           69.100          0.000         3433.7         1320.7          0.385          0.752         77.378          2.873           3.79           55.5          3.547            219         16.403          0.837
     10/09/1964            254           1964         65.400           65.400          0.000         4034.4          822.5          0.204          0.507         81.498          2.875           2.37           45.7          0.096            211         16.419          0.837
     15/09/1965            258           1965         16.300           16.300          0.000         2707.1          505.7          0.187          0.493         58.476          2.870           1.45           68.2          0.082            219         16.388          0.837
     17/09/1966            260           1966        178.600          177.222          0.000         3982.8         1361.4          0.342          0.716         79.437          2.898           3.95           37.6         63.289            218         16.550          0.837
     17/09/1967            260           1967        172.200          170.914          0.000         8028.0         2445.4          0.305          0.693        152.378          1.843           4.51           32.0          1.360            214         10.525          0.837
