Summary_file = Gunnedah750.sum
Title = Gunnedah 750mm wet soil
           date       day      year   in_crop_rain eff_in_crop_rain            lai        biomass          yield             hi            nhi         sum_ep   n_conc_grain        grain_n          no3()            esw flowering_date
             ()     (day)    (year)             ()               ()      (m^2/m^2)        (kg/ha)        (kg/ha)             ()             ()           (mm)            (%)        (g/m^2)        (kg/ha)           (mm)          (doy)
     03/11/1957       307      1957         85.200           85.200          0.001       6580.069       1365.379          0.208          0.447        104.268          3.519          4.804         71.461          2.306            267
     03/11/1958       307      1958        283.500          268.687          0.001      13120.288       5017.368          0.382          0.803        201.831          2.202         11.049         44.873         51.158            260
     03/11/1959       307      1959        178.900          178.900          0.001       8422.899       2588.515          0.307          0.527        138.312          2.539          6.571         52.662         17.260            259
     06/11/1960       311      1960        211.300          211.300          0.001       9589.352       2750.788          0.287          0.532        153.885          2.361          6.494         53.020         22.928            268
     29/10/1961       302      1961        187.800          187.800          0.001       8713.723       2139.522          0.246          0.504        135.592          2.912          6.230         50.820         20.388            264
     04/11/1962       308      1962        265.300          265.300          0.001       9225.517       3474.730          0.377          0.699        164.549          2.763          9.602         51.669         58.274            262
     04/11/1963       308      1963        215.300          215.059          0.001       9363.669       2718.724          0.290          0.587        152.694          2.585          7.028         52.091         16.192            266
     08/11/1964       313      1964        276.400          273.941          0.001      10854.199       4543.618          0.419          0.826        183.982          2.467         11.208         47.410         43.616            265
     21/10/1965       294      1965        140.800          140.800          0.001       5544.530       1919.213          0.346          0.605         98.900          2.443          4.689        128.304         25.832            256
     01/11/1966       305      1966        269.000          268.360          0.001      11957.279       4301.500          0.360          0.797        168.768          2.426         10.438         49.478         66.215            261
     23/10/1967       296      1967        198.500          198.098          0.001       8858.066       2250.829          0.254          0.576        124.273          3.034          6.830         57.815         41.960            258
     05/11/1968       310      1968        217.600          217.600          0.001      13564.223       4019.368          0.296          0.751        185.315          2.528         10.162         42.790         14.798            268
     29/10/1969       302      1969        367.300          358.755          0.001      14445.107       5626.384          0.390          0.788        205.511          1.972         11.096         34.258        118.829            255
     29/10/1970       302      1970        206.200          206.192          0.001       8054.167       3351.812          0.416          0.631        134.944          2.455          8.229         67.568         38.985            260
