Summary_file = Merredin300.sum
Title = Merredin 300mm wet soil
           date       day      year   in_crop_rain eff_in_crop_rain            lai        biomass          yield             hi            nhi         sum_ep   n_conc_grain        grain_n          no3()            esw flowering_date
             ()     (day)    (year)             ()               ()      (m^2/m^2)        (kg/ha)        (kg/ha)             ()             ()           (mm)            (%)        (g/m^2)        (kg/ha)           (mm)          (doy)
     29/10/1957       302      1957        193.400          175.153          0.001       6497.391       1646.979          0.253          0.716         97.025          2.506          4.128         13.950          1.591            256
     06/11/1958       310      1958        296.300          247.475          0.001       9164.208       2692.481          0.294          0.666        130.805          1.572          4.232          9.760         18.170            263
     21/10/1959       294      1959        168.300          168.300          0.001       6399.951       1887.570          0.295          0.745         96.751          2.372          4.477         17.690          1.764            246
     06/11/1960       311      1960        224.700          199.620          0.001       8729.224       2184.729          0.250          0.655        126.408          1.927          4.210          8.154          2.733            269
     26/10/1961       299      1961        142.100          142.100          0.001       5457.108       1241.766          0.228          0.671         75.147          3.113          3.866         14.619          0.578            257
     01/11/1962       305      1962        186.700          186.700          0.001       6513.283       1759.991          0.270          0.738         96.630          2.625          4.619         12.361          1.053            255
     26/10/1963       299      1963        357.500          231.586          0.001       8181.382       2723.387          0.333          0.691        109.718          1.500          4.086         10.618         30.691            255
     04/11/1964       309      1964        250.100          229.302          0.001       9631.417       2971.200          0.308          0.662        130.328          1.455          4.324          8.715          8.449            255
     28/10/1965       301      1965        279.100          226.851          0.001       8714.342       2577.118          0.296          0.672        113.136          1.639          4.224          9.955          8.915            256
     07/11/1966       311      1966        236.900          235.843          0.001       9391.263       2734.620          0.291          0.657        128.612          1.566          4.282          9.288         13.058            264
     25/10/1967       298      1967        192.000          192.000          0.001       7067.357       1789.447          0.253          0.709         97.514          2.476          4.431         12.668          2.948            255
     08/11/1968       313      1968        243.000          195.977          0.001       8069.441       2112.168          0.262          0.660        106.102          1.849          3.906          9.793          2.259            266
     25/10/1969       298      1969        126.500          126.500          0.001       5470.856       1334.315          0.244          0.706         78.311          2.874          3.834         18.743          0.981            257
     30/10/1970       303      1970        218.200          218.200          0.001       7900.231       2793.022          0.354          0.737        108.029          1.736          4.849         10.658         20.456            258
     05/11/1971       309      1971        132.100          132.100          0.001       4228.307       1004.079          0.237          0.604         53.689          3.055          3.067         19.373          0.273            260
     26/10/1972       300      1972        171.500          170.750          0.001       8100.316       2172.120          0.268          0.694        104.106          2.067          4.489         11.064          2.315            253
     30/10/1973       303      1973        255.000          255.000          0.001       9404.377       2974.417          0.316          0.678        125.482          1.515          4.507          8.904         34.731            254
     31/10/1974       304      1974        260.900          248.947          0.001       8778.420       2907.921          0.331          0.694        129.784          1.516          4.407          9.712         14.854            255
     31/10/1975       304      1975        241.800          241.800          0.001       8987.296       2732.004          0.304          0.685        124.718          1.645          4.495         10.840         24.827            254
     23/10/1976       297      1976        162.700          162.700          0.001       5857.343       1709.055          0.292          0.749         83.005          2.554          4.366         17.352          3.186            250
     23/10/1977       296      1977        141.500          141.500          0.001       6052.538       1450.161          0.240          0.729         83.898          2.999          4.350         17.447          0.502            250
     01/11/1978       305      1978        180.500          180.500          0.001       7309.080       2051.507          0.281          0.711        104.912          2.187          4.486         10.777          2.045            259
     01/11/1979       305      1979        178.800          178.800          0.001       7784.617       2054.342          0.264          0.688        107.663          2.128          4.372         11.411          2.160            261
     24/10/1980       298      1980        105.200          105.200          0.001       4042.657        850.421          0.210          0.654         50.849          3.314          2.818         32.271          0.217            251
     31/10/1981       304      1981        210.700          202.838          0.001       8004.053       2281.886          0.285          0.682        119.393          1.795          4.095          9.655          5.474            258
     25/10/1982       298      1982        188.200          188.200          0.001       7172.871       2334.922          0.326          0.736        104.441          2.010          4.692         12.587          7.769            254
     18/10/1983       291      1983        177.100          177.100          0.001       8115.362       2788.890          0.344          0.735        109.824          1.763          4.917         11.554          6.061            246
     01/11/1984       306      1984        173.700          173.642          0.001       7650.670       1917.467          0.251          0.689        100.655          2.262          4.337         10.291          1.448            261
     22/10/1985       295      1985        174.300          174.300          0.001       7156.727       2163.395          0.302          0.737         95.225          2.159          4.671         13.893          4.837            248
     05/11/1986       309      1986        211.200          211.200          0.001       8924.981       2519.216          0.282          0.666        124.169          1.670          4.208          9.228          4.605            261
     24/10/1987       297      1987        140.700          140.700          0.001       5577.447       1464.396          0.263          0.713         77.036          2.822          4.132         15.952          0.812            254
     24/10/1988       298      1988        233.400          233.209          0.001       8739.955       2686.599          0.307          0.686        130.424          1.636          4.395         10.596         15.263            250
     03/11/1989       307      1989        202.600          173.590          0.001       6587.939       1676.807          0.255          0.707         97.997          2.491          4.177         12.242          1.460            259
     02/11/1990       306      1990        160.200          160.200          0.001       6396.253       1650.200          0.258          0.728         82.965          2.720          4.488         11.020          1.137            260
     19/10/1991       292      1991        163.900          163.900          0.001       6346.756       1692.340          0.267          0.740         82.745          2.723          4.609         14.583          1.113            249
     28/10/1992       302      1992        278.000          254.576          0.001       8994.304       3063.914          0.341          0.709        112.480          1.591          4.874          7.095         66.254            253
     03/11/1993       307      1993        213.400          213.302          0.001       8810.804       2756.984          0.313          0.681        130.351          1.573          4.337          9.051          6.762            258
     19/10/1994       292      1994        156.500          156.500          0.001       6071.419       1499.587          0.247          0.737         91.395          2.977          4.464         16.270          0.690            248
     27/10/1995       300      1995        254.200          230.061          0.001       8504.284       2502.452          0.294          0.686        124.514          1.754          4.388          8.907         23.830            254
     22/10/1996       296      1996        243.100          243.100          0.001       9108.202       3102.270          0.341          0.705        124.263          1.548          4.801         10.366         34.026            249
     24/10/1997       297      1997        172.400          172.400          0.001       6975.657       1744.705          0.250          0.714        101.612          2.583          4.507         13.856          1.202            253
     26/10/1998       299      1998        192.100          192.100          0.001       8214.341       2550.408          0.310          0.701        113.073          1.784          4.549         10.884          3.658            250
     27/10/1999       300      1999        302.700          255.406          0.001       8689.221       2581.336          0.297          0.680        129.539          1.649          4.256         11.279         17.918            252
     24/10/2000       298      2000        134.000          134.000          0.001       6557.640       1567.836          0.239          0.722         90.103          2.858          4.481         12.180          0.786            255
     31/10/2001       304      2001        170.100          170.100          0.001       6682.613       1848.984          0.277          0.724        105.126          2.378          4.398         13.860          1.334            257
     23/10/2002       296      2002         94.900           94.900          0.001       3407.631        717.934          0.211          0.566         45.564          3.386          2.431         33.503          0.160            248
