Summary_file = Roma400.sum
Title = Roma 400mm wet soil
           date       day      year   in_crop_rain eff_in_crop_rain            lai        biomass          yield             hi            nhi         sum_ep   n_conc_grain        grain_n          no3()            esw
             ()     (day)    (year)             ()               ()      (m^2/m^2)        (kg/ha)        (kg/ha)             ()             ()           (mm)            (%)        (g/m^2)        (kg/ha)           (mm)
     07/10/1957       280      1957         87.400           87.400          0.000       4440.880        901.351          0.203          0.674         83.312          3.137          2.827         14.782          0.116
     30/09/1958       273      1958        198.500          169.462          0.000       7041.020       1900.027          0.270          0.609        125.654          1.548          2.942         12.570          4.866
     04/10/1959       277      1959         96.800           95.751          0.001       4486.444        965.131          0.215          0.682         82.570          2.945          2.842         16.588         10.550
     10/10/1960       284      1960        105.100          105.100          0.001       4771.557        974.307          0.204          0.653         85.220          2.816          2.744         14.766          0.171
     05/10/1961       278      1961        131.000          131.000          0.001       5660.753       1205.399          0.213          0.608        104.303          2.154          2.596         16.541          0.170
     04/10/1962       277      1962        123.500          123.500          0.001       4411.860        940.524          0.213          0.659         82.952          2.819          2.651         17.467          0.054
     05/10/1963       278      1963        112.200          110.389          0.001       5060.765       1105.666          0.218          0.643         94.534          2.476          2.738         15.643          0.412
     03/10/1964       277      1964        233.500          226.807          0.000       5016.317       1331.344          0.265          0.673        101.342          2.125          2.829         16.522         69.159
     02/10/1965       275      1965        125.400          125.400          0.000       4327.703       1251.423          0.289          0.715         83.568          2.280          2.853         19.976          4.766
     08/10/1966       281      1966        188.300          188.300          0.000       7027.689       2082.024          0.296          0.608        118.332          1.286          2.677         15.997         22.398
     05/10/1967       278      1967        148.000          147.067          0.000       6300.096       1442.787          0.229          0.579        110.581          1.747          2.520         15.223          1.098
     12/10/1968       286      1968        138.900          138.900          0.000       6960.138       1646.474          0.237          0.566        115.539          1.534          2.525         13.689          0.833
     05/10/1969       278      1969        143.700          133.239          0.001       5469.850       1319.933          0.241          0.625        101.945          2.042          2.695         12.990          1.029
     08/10/1970       281      1970        118.100          118.100          0.001       2866.527        559.284          0.195          0.469         55.062          2.707          1.514         21.164         35.949
     04/10/1971       277      1971        193.900          193.254          0.000       5520.379       1431.038          0.259          0.656        111.400          1.991          2.850         19.063         31.661
     30/09/1972       274      1972         64.100           64.100          0.001       2434.321        456.842          0.188          0.520         52.737          3.066          1.401         29.554         10.881
     28/09/1973       271      1973        319.500          301.836          0.000       7300.247       2361.195          0.323          0.685        113.465          1.560          3.683         11.151        132.775
     13/10/1974       286      1974        192.100          186.513          0.000       6273.494       1903.255          0.303          0.623        115.103          1.418          2.698         14.476          3.572
     02/10/1975       275      1975        187.000          185.010          0.000       6390.039       1726.676          0.270          0.633        117.430          1.673          2.889         16.013         20.513
     09/10/1976       283      1976        121.300          121.300          0.000       3810.321       1223.256          0.321          0.711         70.256          2.077          2.540         19.095         12.786
     10/10/1977       283      1977        112.500          101.390          0.000       5032.392       1121.628          0.223          0.644        105.575          2.460          2.760         11.320          1.897
     16/10/1978       289      1978        360.700          304.817          0.000       8360.245       2314.184          0.277          0.622        128.957          1.342          3.106         11.889        100.798
     04/10/1979       277      1979         65.500           65.500          0.001       2728.132        511.214          0.187          0.538         50.360          3.085          1.577         22.978          0.009
     02/10/1980       276      1980        131.200          128.236          0.000       5787.076       1290.715          0.223          0.619        107.666          2.155          2.781         13.986          0.868
     07/10/1981       280      1981        271.500          209.301          0.000       7341.267       1752.175          0.239          0.569        127.478          1.466          2.569         11.161         36.501
     10/10/1982       283      1982         68.900           68.900          0.001       2698.561        506.774          0.188          0.513         50.558          3.054          1.547         20.225         12.548
     05/10/1983       278      1983        339.500          193.799          0.000       6828.371       1738.278          0.255          0.580        110.112          1.277          2.219         11.792         28.774
     11/10/1984       285      1984        327.100          233.237          0.000       8996.806       2410.452          0.268          0.582        145.716          1.176          2.835          9.548         33.404
     07/10/1985       280      1985        165.700          162.981          0.000       7588.452       2008.424          0.265          0.582        134.756          1.422          2.857         10.256          3.262
     02/10/1986       275      1986        170.100          170.100          0.000       5457.667       1348.972          0.247          0.625         92.257          1.918          2.588         16.721         56.850
     03/10/1987       276      1987         86.300           86.300          0.000       4059.463        827.002          0.204          0.641         73.443          2.999          2.480         17.781          0.061
     02/10/1988       276      1988        145.800          145.800          0.000       4948.690       1213.270          0.245          0.647         96.054          2.176          2.640         17.768          0.872
     11/10/1989       284      1989        139.300          135.380          0.001       5899.954       1296.134          0.220          0.600        101.430          2.033          2.635         13.579          0.794
     09/10/1990       282      1990        166.000          160.051          0.000       5851.739       1340.485          0.229          0.603        105.514          1.946          2.609         13.240         14.213
     30/09/1991       273      1991        154.600          124.462          0.000       6528.211       1585.287          0.243          0.615        127.062          1.832          2.905         13.305          2.798
     09/10/1992       283      1992         99.200           95.412          0.001       4442.287       1098.761          0.247          0.671         87.324          2.408          2.646         16.263          0.365
     02/10/1993       275      1993        145.700          143.317          0.000       5580.265       1549.131          0.278          0.664        104.188          1.889          2.926         14.942          2.068
     17/10/1994       290      1994         44.600           44.600          0.001       2687.307        449.682          0.167          0.464         53.632          3.164          1.423         22.744          0.000
     07/10/1995       280      1995        112.400          112.255          0.001       3867.765        902.905          0.233          0.662         73.040          2.750          2.483         17.386          2.443
     06/10/1996       280      1996        119.000          119.000          0.001       3939.880        938.956          0.238          0.655         69.796          2.666          2.503         19.226          0.377
     08/10/1997       281      1997        162.600          154.506          0.001       3843.192        781.521          0.203          0.633         77.051          3.026          2.365         16.344         53.523
     03/10/1998       276      1998        270.400          265.974          0.000       7433.938       1987.888          0.267          0.627        115.427          1.548          3.078         16.202         97.927
     05/10/1999       278      1999        133.200          133.200          0.001       4677.090        951.415          0.203          0.659         86.456          2.916          2.775         15.328         28.007
     08/10/2000       282      2000         97.000           97.000          0.001       4373.978        876.067          0.200          0.664         87.636          3.053          2.675         17.597          0.227
     07/10/2001       280      2001        106.800          106.741          0.001       4923.587       1199.848          0.244          0.661         96.574          2.230          2.676         16.494          0.479
     06/10/2002       279      2002        106.200          106.200          0.001       3443.225        781.423          0.227          0.648         71.171          2.677          2.092         20.764          0.104
