APSIM output file, version = 5.4
Title = Roseworthy Mid Sowing
           date            day           year   in_crop_rain eff_in_crop_rain            lai        biomass          yield             hi            nhi         sum_ep   n_conc_grain        grain_n          no3()            esw flowering_date
             ()          (day)         (year)            (?)              (?)      (m^2/m^2)        (kg/ha)        (kg/ha)            (?)            (?)           (mm)            (%)        (g/m^2)        (kg/ha)           (mm)          (doy)
     12/11/1957            316           1957        170.100          168.017          0.000         5860.2         1580.9          0.270          0.548         71.461          2.898           4.58           63.6          7.387            270
     25/11/1958            329           1958        285.800          283.393          0.000        15124.6         4654.9          0.308          0.684        188.583          1.662           7.73           33.8         11.765            284
     11/11/1959            315           1959        124.800          124.800          0.000         4584.5         1516.2          0.331          0.630         59.683          2.899           4.39           76.6          0.609            269
     25/11/1960            330           1960        278.600          278.533          0.000        12790.9         4195.0          0.328          0.724        159.614          1.928           8.09           33.2         15.502            286
     11/11/1961            315           1961        164.500          164.500          0.000         6395.3         1478.7          0.231          0.533         80.945          2.876           4.25           60.4          0.311            272
     14/11/1962            318           1962        226.000          226.000          0.000         7387.5         2957.0          0.400          0.811         96.940          2.626           7.77           54.9         27.940            269
     11/11/1963            315           1963        286.600          285.392          0.000        10106.6         3750.7          0.371          0.797        152.319          2.363           8.86           32.9         37.998            272
     17/11/1964            322           1964        269.900          269.900          0.000        11463.1         4184.7          0.365          0.749        149.377          1.815           7.59           50.6         14.249            275
     12/11/1965            316           1965        192.800          192.185          0.000         8184.6         2163.5          0.264          0.658        111.649          2.889           6.25           45.1          5.149            275
     23/11/1966            327           1966        239.900          238.522          0.000         9117.4         2910.6          0.319          0.773        119.460          2.589           7.54           47.9          1.654            284
     10/11/1967            314           1967        148.800          148.800          0.000         7057.7         1782.9          0.253          0.627         84.262          2.879           5.13           59.6          0.379            273
     20/11/1968            325           1968        377.500          373.898          0.000        14719.2         5253.1          0.357          0.734        223.977          1.721           9.04           27.9         32.196            283
     14/11/1969            318           1969        223.300          220.611          0.000         9877.2         3001.0          0.304          0.770        134.490          2.682           8.05           39.1          6.129            276
     19/11/1970            323           1970        243.300          243.293          0.000        10266.6         3711.2          0.361          0.776        127.353          2.130           7.90           44.7         18.844            277
     19/11/1971            323           1971        311.900          311.261          0.000        12838.1         4901.9          0.382          0.759        171.138          1.795           8.80           30.5         30.133            278
     09/11/1972            314           1972        185.900          185.900          0.000         8334.3         2495.5          0.299          0.744        109.367          2.815           7.03           48.2          0.861            268
     12/11/1973            316           1973        330.600          323.620          0.000        13274.9         4954.4          0.373          0.752        186.792          1.806           8.95           31.8         33.954            272
     18/11/1974            322           1974        275.400          275.079          0.000        12351.6         4209.7          0.341          0.737        156.831          1.862           7.84           45.6         11.749            275
     14/11/1975            318           1975        272.600          270.938          0.000        11742.5         4070.6          0.347          0.719        146.253          1.870           7.61           48.6         36.252            269
     14/11/1976            319           1976        211.400          211.400          0.000         7313.5         2836.0          0.388          0.795         95.908          2.425           6.88           64.6         14.706            273
     10/11/1977            314           1977        168.400          168.400          0.000         5929.9         1642.1          0.277          0.613         79.988          2.872           4.72           66.2          6.049            271
     20/11/1978            324           1978        404.500          390.957          0.000        14859.3         4801.1          0.323          0.712        215.091          1.750           8.40           25.9         66.016            279
     11/11/1979            315           1979        327.300          325.773          0.000        13590.8         4632.9          0.341          0.744        187.933          1.975           9.15           27.8         62.493            269
     07/11/1980            312           1980        314.000          312.931          0.000         9457.3         3744.3          0.396          0.805        136.447          2.359           8.83           35.2         66.449            267
     09/11/1981            313           1981        327.500          325.429          0.000        13351.0         4647.3          0.348          0.748        203.905          1.912           8.88           27.2         18.750            268
     11/11/1982            315           1982        138.900          138.900          0.000         3885.2         1094.5          0.282          0.428         53.818          2.885           3.16           70.7          0.514            270
     14/11/1983            318           1983        262.900          262.456          0.000        12256.4         4465.5          0.364          0.747        168.096          1.824           8.15           39.1          7.923            275
     16/11/1984            321           1984        291.700          291.653          0.000        13350.2         4764.6          0.357          0.742        170.270          1.809           8.62           30.6         25.236            276
     13/11/1985            317           1985        291.100          290.994          0.000        12385.3         4571.0          0.369          0.762        178.889          1.883           8.61           36.2         16.583            275
     16/11/1986            320           1986        323.400          322.611          0.000        14155.4         4658.4          0.329          0.725        188.711          1.840           8.57           31.2         32.774            274
     15/11/1987            319           1987        205.100          205.095          0.000         7803.3         2686.5          0.344          0.800        101.867          2.840           7.63           49.9         13.447            272
     04/11/1988            309           1988        240.900          238.871          0.000         8569.4         2888.0          0.337          0.790        121.367          2.643           7.63           47.0         23.438            267
     21/11/1989            325           1989        267.700          267.696          0.000        10426.0         3212.1          0.308          0.750        137.790          2.440           7.84           40.5         12.664            281
     07/11/1990            311           1990        258.200          256.816          0.000        10746.3         4179.1          0.389          0.791        145.983          2.092           8.74           34.3          4.723            269
     05/11/1991            309           1991        294.900          293.149          0.000        11198.3         4282.4          0.382          0.789        164.077          2.067           8.85           35.0         35.253            266
     17/11/1992            322           1992        389.600          386.734          0.000        14917.7         5171.1          0.347          0.731        205.229          1.794           9.27           25.4         75.120            277
     09/11/1993            313           1993        285.900          285.741          0.000         9966.9         3919.1          0.393          0.780        147.962          2.043           8.01           51.3         26.971            268
     11/11/1994            315           1994        175.600          173.120          0.000         6371.1         1620.5          0.254          0.538         79.490          2.867           4.65           51.6         15.719            271
     09/11/1995            313           1995        252.800          251.918          0.000         9446.9         3586.1          0.380          0.801        138.236          2.337           8.38           40.2          9.961            270
     10/11/1996            315           1996        334.400          332.852          0.000        13347.4         4662.7          0.349          0.754        194.994          1.939           9.04           26.3         27.748            270
     18/11/1997            322           1997        282.500          279.894          0.000         9739.1         2996.8          0.308          0.754        135.467          2.579           7.73           48.9         70.311            278
     16/11/1998            320           1998        245.100          245.025          0.000         7976.7         2693.4          0.338          0.779        114.327          2.679           7.22           49.7         23.740            275
     11/11/1999            315           1999        204.900          204.900          0.000         5790.5         1951.6          0.337          0.699         83.701          2.891           5.64           69.6         18.829            271
     14/11/2000            319           2000        296.200          296.062          0.000        12648.5         4296.5          0.340          0.728        177.525          1.854           7.96           39.7         18.037            274
     17/11/2001            321           2001        323.600          321.007          0.000        14412.2         4605.0          0.320          0.715        203.060          1.839           8.47           33.1         14.502            271
     12/11/2002            316           2002        156.100          156.100          0.000         4268.7          919.5          0.215          0.365         57.936          2.880           2.65           70.6          0.198            273
