APSIM output file, version = 5.4
Title = Roseworthy Mid Sowing Low N TopDress
           date            day           year   in_crop_rain eff_in_crop_rain            lai        biomass          yield             hi            nhi         sum_ep   n_conc_grain        grain_n          no3()            esw flowering_date
             ()          (day)         (year)            (?)              (?)      (m^2/m^2)        (kg/ha)        (kg/ha)            (?)            (?)           (mm)            (%)        (g/m^2)        (kg/ha)           (mm)          (doy)
     12/11/1957            316           1957        170.100          168.017          0.000         5860.2         1580.9          0.270          0.605         71.461          2.898           4.58           31.8          7.387            270
     25/11/1958            329           1958        285.800          283.503          0.000        14885.3         3608.8          0.242          0.593        187.453          1.498           5.41           22.0         12.329            284
     11/11/1959            315           1959        124.800          124.800          0.000         4534.6         1504.8          0.332          0.599         59.565          2.894           4.35           34.2          0.611            269
     25/11/1960            330           1960        278.600          278.531          0.000        12261.9         3770.9          0.308          0.670        156.998          1.599           6.03           22.2         17.248            286
     11/11/1961            315           1961        164.500          164.500          0.000         6177.8         1454.6          0.235          0.567         79.872          2.878           4.19           30.3          0.335            272
     14/11/1962            318           1962        226.000          226.000          0.000         7265.2         2854.8          0.393          0.800         96.372          2.372           6.77           28.2         27.191            269
     11/11/1963            315           1963        286.600          285.384          0.000        10011.5         3660.8          0.366          0.753        150.596          1.870           6.84           23.4         39.730            272
     17/11/1964            322           1964        269.900          269.900          0.000        11316.8         3809.0          0.337          0.709        148.556          1.662           6.33           27.5         14.445            275
     12/11/1965            316           1965        192.800          192.185          0.000         8179.6         2159.6          0.264          0.707        111.644          2.625           5.67           26.4          5.151            275
     23/11/1966            327           1966        239.900          238.522          0.000         9044.8         2836.7          0.314          0.735        118.862          2.156           6.12           27.5          1.909            284
     10/11/1967            314           1967        148.800          148.800          0.000         6852.7         1767.7          0.258          0.670         83.282          2.866           5.07           29.7          0.423            273
     20/11/1968            325           1968        377.500          373.898          0.000        14747.9         4218.9          0.286          0.635        225.702          1.466           6.18           23.2         30.456            283
     14/11/1969            318           1969        223.300          220.611          0.000         9841.1         2938.6          0.299          0.721        134.366          2.108           6.20           24.7          6.265            276
     19/11/1970            323           1970        243.300          243.293          0.000        10223.2         3514.7          0.344          0.732        127.139          1.805           6.35           25.6         19.002            277
     19/11/1971            323           1971        311.900          311.261          0.000        12707.9         4259.2          0.335          0.684        170.968          1.498           6.38           22.1         29.536            278
     09/11/1972            314           1972        185.900          185.900          0.000         8047.5         2468.0          0.307          0.755        108.273          2.497           6.16           27.1          0.955            268
     12/11/1973            316           1973        330.600          323.620          0.000        12435.3         4286.9          0.345          0.703        178.184          1.580           6.77           23.2         39.377            272
     18/11/1974            322           1974        275.400          275.078          0.000        12005.0         3735.6          0.311          0.694        153.667          1.707           6.38           26.3         14.084            275
     14/11/1975            318           1975        272.600          270.888          0.000        10998.1         3761.2          0.342          0.721        136.944          1.772           6.66           25.8         43.549            269
     14/11/1976            319           1976        211.400          211.400          0.000         7095.8         2733.0          0.385          0.794         94.237          2.376           6.49           31.4         14.194            273
     10/11/1977            314           1977        168.400          168.400          0.000         5808.1         1659.8          0.286          0.661         79.207          2.875           4.77           32.7          6.054            271
     20/11/1978            324           1978        404.500          391.003          0.000        14406.1         3722.2          0.258          0.612        210.308          1.498           5.58           23.1         70.250            279
     11/11/1979            315           1979        327.300          326.150          0.000        12088.1         3805.3          0.315          0.704        165.076          1.796           6.83           22.6         83.306            269
     07/11/1980            312           1980        314.000          312.952          0.000         8818.0         3452.6          0.392          0.784        128.352          2.059           7.11           24.2         72.440            267
     09/11/1981            313           1981        327.500          325.429          0.000        12970.1         3618.2          0.279          0.666        201.512          1.726           6.25           23.2         20.210            268
     11/11/1982            315           1982        138.900          138.900          0.000         3693.5         1127.3          0.305          0.479         53.517          2.893           3.26           39.1          0.437            270
     14/11/1983            318           1983        262.900          262.389          0.000        11443.4         3990.8          0.349          0.713        162.556          1.612           6.43           24.1         10.885            275
     16/11/1984            321           1984        291.700          291.653          0.000        12787.3         3817.4          0.299          0.672        166.546          1.638           6.25           22.9         27.313            276
     13/11/1985            317           1985        291.100          290.994          0.000        12396.1         3843.8          0.310          0.689        180.004          1.666           6.40           24.7         15.444            275
     16/11/1986            320           1986        323.400          322.622          0.000        13854.3         3786.6          0.273          0.648        186.126          1.642           6.22           22.9         34.887            274
     15/11/1987            319           1987        205.100          205.093          0.000         7418.2         2493.1          0.336          0.779         96.619          2.587           6.45           29.1         17.834            272
     04/11/1988            309           1988        240.900          238.871          0.000         8295.6         2836.0          0.342          0.771        119.422          2.299           6.52           27.7         24.053            267
