Summary_file = Walgett1500.sum
Title = Walgett 1500mm wet soil
           date       day      year   in_crop_rain eff_in_crop_rain            lai        biomass          yield             hi            nhi         sum_ep   n_conc_grain        grain_n          no3()            esw flowering_date
             ()     (day)    (year)             ()               ()      (m^2/m^2)        (kg/ha)        (kg/ha)             ()             ()           (mm)            (%)        (g/m^2)        (kg/ha)           (mm)          (doy)
     16/10/1957       289      1957         49.800           49.800          0.001       9368.851       2795.685          0.298          0.728        180.841          2.602          7.274         84.549         26.840            248
     17/10/1958       290      1958        220.800          218.902          0.001      11996.824       4788.325          0.399          0.829        217.870          2.505         11.994         38.907         90.756            245
     21/10/1959       294      1959        170.900          170.900          0.001      11008.106       3875.223          0.352          0.745        227.307          2.531          9.807         43.169         38.041            250
     18/10/1960       292      1960         73.500           73.500          0.001       9714.073       3077.410          0.317          0.745        177.717          2.646          8.143         69.548         29.616            252
     12/10/1961       285      1961         83.900           83.900          0.001       7897.032       2781.197          0.352          0.795        163.606          2.370          6.591        114.441         48.543            247
     13/10/1962       286      1962        191.200          191.200          0.001       9870.796       4117.941          0.417          0.702        206.577          2.532         10.427         52.354         65.106            244
     14/10/1963       287      1963        179.300          175.417          0.001      11684.192       4177.062          0.357          0.815        215.892          2.779         11.610         42.133         63.619            246
     14/10/1964       288      1964        191.300          191.214          0.001      11267.258       3863.427          0.343          0.805        206.760          2.820         10.894         36.741         78.629            248
     12/10/1965       285      1965         81.400           81.400          0.001       6767.992       2673.853          0.395          0.805        142.785          2.247          6.009        134.142         61.718            248
     21/10/1966       294      1966        229.300          229.085          0.001      14687.441       5693.407          0.388          0.789        246.414          2.060         11.731         34.308         68.144            252
     13/10/1967       286      1967        127.800          127.800          0.001      11326.328       3422.804          0.302          0.660        202.325          2.583          8.841         42.333         37.271            249
     24/10/1968       298      1968        169.000          169.000          0.001      11298.422       4870.740          0.431          0.824        209.697          2.382         11.604         52.918         55.216            258
     16/10/1969       289      1969        256.800          256.781          0.001      13817.191       6169.876          0.447          0.819        243.137          1.938         11.957         35.632        106.617            244
     19/10/1970       292      1970        151.600          151.561          0.001       8910.773       3683.266          0.413          0.641        174.431          2.422          8.920         64.234         95.830            252
     18/10/1971       291      1971        161.000          160.946          0.001      10802.061       4740.730          0.439          0.793        208.165          2.462         11.674         48.692         68.386            252
     08/10/1972       282      1972         69.500           69.500          0.001       7667.313       2588.260          0.338          0.743        156.154          1.975          5.112        132.278         48.761            244
     07/10/1973       280      1973        162.100          162.100          0.001      10397.654       4465.465          0.429          0.722        195.184          2.340         10.450         57.111         59.072            238
     20/10/1974       293      1974        117.500          117.500          0.001       8693.349       3411.647          0.392          0.800        157.398          2.175          7.419        110.855         57.275            250
     09/10/1975       282      1975        127.000          127.000          0.001      11207.214       3756.052          0.335          0.725        210.358          2.609          9.798         47.457         33.839            240
     16/10/1976       290      1976        120.100          120.100          0.001       9031.404       3631.422          0.402          0.828        172.581          2.389          8.674         89.927         48.292            245
     13/10/1977       286      1977         99.600           99.041          0.001       9635.088       2774.043          0.288          0.692        188.394          1.990          5.522        106.108         48.906            245
     22/10/1978       295      1978        282.300          279.209          0.001      13282.772       5601.402          0.422          0.828        235.278          2.128         11.921         36.761        116.987            251
     12/10/1979       285      1979        154.300          154.300          0.001      11424.125       4439.407          0.389          0.819        213.676          2.809         12.469         39.227         47.551            243
     10/10/1980       284      1980         67.400           67.400          0.001       8706.860       2526.040          0.290          0.680        171.365          1.747          4.414        134.033         42.458            244
     12/10/1981       285      1981        280.600          269.636          0.001      11678.679       4080.948          0.349          0.798        208.020          2.487         10.147         47.238        143.538            248
     13/10/1982       286      1982         79.900           79.900          0.001       6096.798       1911.468          0.314          0.676        133.298          1.576          3.013        165.503         87.439            244
     14/10/1983       287      1983        297.300          273.821          0.001      12897.966       4793.895          0.372          0.797        223.814          2.268         10.872         40.238        145.084            248
     15/10/1984       289      1984        166.800          166.525          0.001      10081.963       4409.580          0.437          0.726        180.934          2.293         10.110         55.967         91.487            244
     14/10/1985       287      1985        195.400          195.378          0.001      11967.527       4795.825          0.401          0.829        225.491          2.492         11.951         45.641         75.140            246
     14/10/1986       287      1986        255.400          246.091          0.001      11236.205       4600.385          0.409          0.777        207.523          2.581         11.874         40.805        135.256            246
     12/10/1987       285      1987        113.500          113.500          0.001      11107.703       3574.862          0.322          0.628        196.815          2.423          8.660         44.492         34.547            244
     09/10/1988       283      1988        237.800          234.267          0.001      12929.771       5200.923          0.402          0.810        240.071          2.167         11.268         38.399         83.657            242
     17/10/1989       290      1989        180.600          169.527          0.001      12116.483       4298.788          0.355          0.795        220.359          2.383         10.246         40.931         73.917            250
     18/10/1990       291      1990        178.300          177.642          0.001      12894.052       4449.688          0.345          0.788        222.796          2.416         10.749         35.379         64.260            252
     06/10/1991       279      1991        152.300          107.614          0.001       9717.221       3528.270          0.363          0.787        186.306          2.140          7.550         89.585         71.958            238
     15/10/1992       289      1992         90.000           90.000          0.001       9088.349       3682.391          0.405          0.819        169.035          2.220          8.175         93.920         44.979            247
     18/10/1993       291      1993        304.500          300.982          0.001      14203.030       6175.166          0.435          0.817        253.619          1.964         12.130         32.884        136.048            245
     19/10/1994       292      1994         18.600           18.600          0.001       6572.214       1858.425          0.283          0.604        144.794          1.292          2.402        173.529         53.917            250
     14/10/1995       287      1995        199.300          141.380          0.001      10567.113       3658.910          0.346          0.749        196.523          2.566          9.390         55.579         64.694            246
     16/10/1996       290      1996        201.700          201.700          0.001      13140.402       4817.343          0.367          0.804        229.960          2.417         11.644         40.115         60.118            250
     17/10/1997       290      1997        167.600          163.082          0.001       8339.048       2327.400          0.279          0.682        172.016          2.000          4.654        131.072         95.029            249
     17/10/1998       290      1998        310.600          309.484          0.001      12885.733       5811.253          0.451          0.841        199.880          2.160         12.552         31.821        206.360            248
     11/10/1999       284      1999        150.000          150.000          0.001       9978.522       3278.680          0.329          0.652        199.535          2.467          8.087         56.662         39.948            244
     18/10/2000       292      2000         65.800           65.800          0.001       8422.504       2226.628          0.264          0.689        172.212          2.151          4.789        127.280         32.601            255
     18/10/2001       291      2001        112.200          112.200          0.001       9211.489       3108.949          0.338          0.787        194.000          2.454          7.628         91.630         33.588            250
     15/10/2002       288      2002         88.600           88.600          0.001       7833.187       2942.110          0.376          0.789        178.475          2.395          7.047        110.259         36.762            248
