Summary_file = canola.sum
Title = canola Sample Simulation
       day      year            lai        biomass  green_biomass            pai
     (day)    (year)      (m^2/m^2)        (kg/ha)        (kg/ha)      (m^2/m^2)
       130      1988          0.000          0.000          0.000          0.000
       131      1988          0.000          0.000          0.000          0.000
       132      1988          0.000          0.000          0.000          0.000
       133      1988          0.000          0.000          0.000          0.000
       134      1988          0.000          0.000          0.000          0.000
       135      1988          0.000          0.000          0.000          0.000
       136      1988          0.000          0.000          0.000          0.000
       137      1988          0.000          0.000          0.000          0.000
       138      1988          0.004         12.000         12.000          0.000
       139      1988          0.005         12.315         12.315          0.000
       140      1988          0.007         12.881         12.881          0.000
       141      1988          0.009         13.464         13.464          0.000
       142      1988          0.011         14.140         14.140          0.000
       143      1988          0.014         15.254         15.254          0.000
       144      1988          0.019         16.718         16.718          0.000
       145      1988          0.024         18.478         18.478          0.000
       146      1988          0.028         20.950         20.950          0.000
       147      1988          0.032         23.871         23.871          0.000
       148      1988          0.036         27.235         27.235          0.000
       149      1988          0.040         30.761         30.761          0.000
       150      1988          0.043         34.900         34.900          0.000
       151      1988          0.047         39.699         39.699          0.000
       152      1988          0.051         44.321         44.321          0.000
       153      1988          0.056         48.070         48.070          0.000
       154      1988          0.061         52.708         52.708          0.000
       155      1988          0.067         57.685         57.685          0.000
       156      1988          0.074         60.339         60.339          0.000
       157      1988          0.082         64.509         64.509          0.000
       158      1988          0.090         70.549         70.549          0.000
       159      1988          0.096         79.602         79.602          0.000
       160      1988          0.101         89.726         89.726          0.000
       161      1988          0.107         99.891         99.891          0.000
       162      1988          0.114        110.577        110.577          0.000
       163      1988          0.120        122.121        122.121          0.000
       164      1988          0.125        134.229        134.229          0.000
       165      1988          0.132        147.987        147.987          0.000
       166      1988          0.139        162.563        162.563          0.000
       167      1988          0.148        177.560        177.560          0.000
       168      1988          0.158        190.759        190.759          0.000
       169      1988          0.170        205.247        205.247          0.000
       170      1988          0.185        221.603        221.603          0.000
       171      1988          0.199        240.527        240.527          0.000
       172      1988          0.214        260.786        260.786          0.000
       173      1988          0.232        282.529        282.529          0.000
       174      1988          0.249        305.539        305.539          0.000
       175      1988          0.267        330.698        330.698          0.000
       176      1988          0.288        355.952        355.952          0.000
       177      1988          0.313        381.964        381.964          0.000
       178      1988          0.341        409.145        409.145          0.000
       179      1988          0.371        443.253        443.253          0.000
       180      1988          0.400        480.506        480.506          0.000
       181      1988          0.427        519.027        519.027          0.000
       182      1988          0.453        561.797        561.797          0.000
       183      1988          0.485        604.659        604.659          0.000
       184      1988          0.520        637.612        637.612          0.000
       185      1988          0.566        658.213        658.213          0.000
       186      1988          0.617        682.168        682.168          0.000
       187      1988          0.683        711.951        711.951          0.000
       188      1988          0.744        767.006        767.006          0.000
       189      1988          0.794        824.344        824.344          0.000
       190      1988          0.847        887.500        887.500          0.000
       191      1988          0.902        958.806        958.806          0.000
       192      1988          0.965       1015.948       1015.948          0.000
       193      1988          1.018       1053.750       1053.750          0.000
       194      1988          1.085       1101.758       1101.758          0.000
       195      1988          1.189       1176.118       1176.118          0.000
       196      1988          1.307       1260.411       1260.411          0.000
       197      1988          1.439       1354.200       1354.200          0.000
       198      1988          1.572       1449.740       1449.740          0.000
       199      1988          1.723       1557.251       1557.251          0.000
       200      1988          1.892       1678.246       1678.246          0.000
       201      1988          2.083       1814.126       1814.126          0.000
       202      1988          2.263       1943.270       1943.270          0.000
       203      1988          2.409       2047.563       2047.563          0.000
       204      1988          2.534       2136.516       2136.516          0.000
       205      1988          2.734       2279.658       2279.658          0.000
       206      1988          2.939       2425.714       2425.714          0.000
       207      1988          3.171       2591.699       2591.699          0.000
       208      1988          3.422       2770.770       2770.770          0.000
       209      1988          3.655       2937.161       2937.161          0.000
       210      1988          3.914       3122.101       3122.101          0.000
       211      1988          4.137       3281.811       3281.811          0.000
       212      1988          4.133       3451.928       3450.159          0.102
       213      1988          4.128       3643.031       3639.554          0.217
       214      1988          4.124       3828.611       3823.484          0.328
       215      1988          4.120       3999.337       3992.616          0.431
       216      1988          4.116       4193.738       4185.477          0.547
       217      1988          4.112       4382.320       4372.433          0.660
       218      1988          4.104       4560.715       4547.937          0.767
       219      1988          4.097       4719.448       4703.591          0.863
       220      1988          4.092       4887.877       4870.208          0.964
       221      1988          4.088       5047.926       5028.574          1.060
       222      1988          4.084       5212.291       5191.364          1.158
       223      1988          4.078       5414.059       5391.093          1.279
       224      1988          4.070       5629.307       5603.002          1.408
       225      1988          4.061       5835.676       5805.938          1.532
       226      1988          4.052       6047.391       6014.325          1.659
       227      1988          4.042       6258.343       6221.342          1.786
       228      1988          4.031       6432.296       6390.984          1.799
       229      1988          4.019       6618.723       6572.853          1.812
       230      1988          4.005       6803.865       6752.542          1.827
       231      1988          3.986       6966.621       6907.703          1.842
       232      1988          3.965       7130.384       7063.429          1.857
       233      1988          3.911       7295.321       7207.439          1.873
       234      1988          3.906       7466.997       7376.917          1.890
       235      1988          3.886       7559.916       7462.029          1.906
       236      1988          3.852       7676.240       7565.375          1.923
       237      1988          3.821       7803.020       7679.864          1.941
       238      1988          3.789       7971.805       7836.135          1.961
       239      1988          3.750       8127.166       7976.487          1.980
       240      1988          3.707       8216.125       8048.522          1.996
       241      1988          3.657       8318.979       8132.177          2.014
       242      1988          3.614       8473.370       8269.669          2.035
       243      1988          3.567       8615.432       8393.476          2.057
       244      1988          3.513       8669.732       8426.634          2.069
       245      1988          3.453       8713.978       8447.761          2.079
       246      1988          3.385       8801.733       8508.857          2.096
       247      1988          3.319       8908.327       8589.789          2.115
       248      1988          3.253       8983.688       8639.384          2.130
       249      1988          3.178       9015.576       8642.377          2.139
       250      1988          3.117       9064.326       8667.213          2.151
       251      1988          3.091       9097.742       8690.653          2.161
       252      1988          3.069       9172.254       8756.522          2.176
       253      1988          3.046       9227.637       8803.115          2.189
       254      1988          3.023       9272.730       8839.174          2.200
       255      1988          2.994       9309.284       8864.555          2.210
       256      1988          2.957       9320.304       8861.127          2.217
       257      1988          2.929       9352.474       8882.301          2.227
       258      1988          2.907       9376.521       8897.708          2.229
       259      1988          2.876       9432.590       8941.791          2.232
       260      1988          2.845       9489.197       8986.328          2.235
       261      1988          2.814       9559.537       9044.734          2.240
       262      1988          2.784       9627.110       9100.354          2.244
       263      1988          2.752       9687.204       9148.090          2.247
       264      1988          2.723       9742.124       9191.664          2.250
       265      1988          2.693       9798.908       9236.675          2.254
       266      1988          2.662       9853.054       9278.758          2.257
       267      1988          2.628       9902.957       9315.464          2.260
       268      1988          2.592       9949.891       9348.482          2.263
       269      1988          2.558       9996.820       9382.175          2.266
       270      1988          2.524      10040.260       9412.267          2.268
       271      1988          2.487      10071.999       9429.624          2.270
       272      1988          2.448      10110.015       9452.804          2.273
       273      1988          2.410      10154.594       9482.394          2.275
       274      1988          2.377      10198.280       9513.409          2.278
       275      1988          2.330      10233.110       9529.765          2.280
       276      1988          2.286      10273.185       9552.876          2.280
       277      1988          2.163      10414.418       9646.140          2.280
       278      1988          0.002      10414.417       8805.148          2.280
       279      1988          0.000          0.000          0.000          0.000
       280      1988          0.000          0.000          0.000          0.000
       281      1988          0.000          0.000          0.000          0.000
       282      1988          0.000          0.000          0.000          0.000
       283      1988          0.000          0.000          0.000          0.000
       284      1988          0.000          0.000          0.000          0.000
       285      1988          0.000          0.000          0.000          0.000
       286      1988          0.000          0.000          0.000          0.000
       287      1988          0.000          0.000          0.000          0.000
       288      1988          0.000          0.000          0.000          0.000
       289      1988          0.000          0.000          0.000          0.000
       290      1988          0.000          0.000          0.000          0.000
       291      1988          0.000          0.000          0.000          0.000
       292      1988          0.000          0.000          0.000          0.000
       293      1988          0.000          0.000          0.000          0.000
       294      1988          0.000          0.000          0.000          0.000
       295      1988          0.000          0.000          0.000          0.000
       296      1988          0.000          0.000          0.000          0.000
       297      1988          0.000          0.000          0.000          0.000
       298      1988          0.000          0.000          0.000          0.000
       299      1988          0.000          0.000          0.000          0.000
       300      1988          0.000          0.000          0.000          0.000
