Summary_file = canopy.sum
Title = Canopy Sample Simulation
       day      year       sw_dep()      lai_maize     biom_maize     lai_cowpea    biom_cowpea
     (day)    (year)           (mm)      (m^2/m^2)        (kg/ha)      (m^2/m^2)        (kg/ha)
         1      1988        720.433          0.000          0.000          0.000          0.000
         2      1988        720.268          0.000          0.000          0.000          0.000
         3      1988        720.105          0.000          0.000          0.000          0.000
         4      1988        746.655          0.000          0.000          0.000          0.000
         5      1988        744.691          0.000          0.000          0.000          0.000
         6      1988        743.677          0.000          0.000          0.000          0.000
         7      1988        742.892          0.000          0.000          0.000          0.000
         8      1988        742.228          0.000          0.000          0.000          0.000
         9      1988        741.641          0.000          0.000          0.000          0.000
        10      1988        741.111          0.000          0.000          0.000          0.000
        11      1988        740.622          0.000          0.000          0.000          0.000
        12      1988        740.167          0.004          2.000          0.000          0.000
        13      1988        739.730          0.004          2.563          0.000          0.000
        14      1988        739.310          0.005          3.288          0.000          0.000
        15      1988        738.908          0.006          4.106          0.000          0.000
        16      1988        747.934          0.007          4.665          0.020          7.500
        17      1988        751.393          0.008          5.681          0.024          9.836
        18      1988        749.612          0.010          7.153          0.030         13.167
        19      1988        748.510          0.013          8.514          0.036         16.315
        20      1988        779.222          0.016         10.167          0.043         19.963
        21      1988        777.027          0.020         12.731          0.053         25.362
        22      1988        777.023          0.025         15.163          0.062         30.450
        23      1988        775.704          0.030         18.314          0.073         36.793
        24      1988        774.337          0.038         23.037          0.090         45.933
        25      1988        773.177          0.047         28.552          0.109         56.424
        26      1988        772.088          0.056         35.296          0.132         69.173
        27      1988        770.849          0.066         43.487          0.161         84.934
        28      1988        769.586          0.078         52.224          0.193        102.525
        29      1988        768.435          0.092         62.120          0.230        123.011
        30      1988        766.604          0.109         74.760          0.278        149.510
        31      1988        768.881          0.130         86.462          0.325        175.036
        32      1988        766.453          0.156        102.333          0.387        209.318
        33      1988        764.425          0.185        119.657          0.457        247.376
        34      1988        762.817          0.214        135.699          0.522        283.223
        35      1988        760.070          0.244        160.269          0.622        338.641
        36      1988        756.221          0.279        188.520          0.739        407.039
        37      1988        751.460          0.322        217.882          0.862        483.566
        38      1988        750.411          0.365        235.836          0.938        532.869
        39      1988        784.889          0.404        262.619          1.043        603.783
        40      1988        778.124          0.450        299.330          1.193        706.885
        41      1988        770.392          0.505        337.322          1.356        821.502
        42      1988        763.673          0.571        374.447          1.523        940.963
        43      1988        756.142          0.651        413.746          1.706       1073.758
        44      1988        800.220          0.708        443.465          1.847       1178.694
        45      1988        821.539          0.763        474.276          1.997       1292.260
        46      1988        818.614          0.824        510.280          2.179       1432.172
        47      1988        811.853          0.882        546.751          2.377       1584.150
        48      1988        805.323          0.932        581.596          2.582       1741.855
        49      1988        799.000          0.970        610.381          2.768       1884.751
        50      1988        789.375          1.013        644.335          3.007       2068.705
        51      1988        775.999          1.051        677.689          3.270       2271.243
        52      1988        767.613          1.079        704.634          3.512       2457.188
        53      1988        758.322          1.103        730.009          3.768       2654.479
        54      1988        747.425          1.124        754.478          4.049       2870.449
        55      1988        736.863          1.140        775.164          4.320       3080.227
        56      1988        732.674          1.146        785.912          4.471       3204.915
        57      1988        730.715          1.144        792.892          4.543       3292.573
        58      1988        727.093          1.144        803.862          4.669       3436.521
        59      1988        721.820          1.143        815.402          4.808       3599.167
        60      1988        730.712          1.139        820.262          4.852       3673.347
        61      1988        748.419          1.136        827.428          4.933       3786.609
        62      1988        752.388          1.132        832.978          4.990       3879.120
        63      1988        752.805          1.130        843.369          5.133       4059.860
        64      1988        744.584          1.127        854.102          5.292       4263.283
        65      1988        739.140          1.123        862.240          5.324       4429.476
        66      1988        760.799          1.117        870.485          5.352       4599.312
        67      1988        753.393          1.109        880.030          5.400       4797.691
        68      1988        746.277          1.101        888.918          5.423       4986.312
        69      1988        737.879          1.091        897.940          5.395       5179.030
        70      1988        728.387          1.075        907.063          5.314       5372.629
        71      1988        715.850          1.058        916.433          5.207       5567.651
        72      1988        711.994          1.045        924.107          5.096       5724.933
        73      1988        705.141          1.033        933.201          4.353       5872.332
        74      1988        698.131          1.021        942.982          4.357       6020.843
        75      1988        691.155          1.008        951.983          4.357       6170.527
        76      1988        685.976          0.993        960.379          4.345       6307.122
        77      1988        680.980          0.972        968.916          4.333       6442.855
        78      1988        675.958          0.952        977.387          4.272       6575.152
        79      1988        671.417          0.932        985.641          4.127       6700.318
        80      1988        666.905          0.912        993.866          3.981       6818.873
        81      1988        662.936          0.891       1002.031          3.827       6930.318
        82      1988        658.568          0.871       1010.330          3.676       7037.303
        83      1988        654.863          0.849       1018.493          3.511       7136.157
        84      1988        651.148          0.828       1026.621          3.354       7228.347
        85      1988        651.262          0.808       1033.274          3.198       7298.937
        86      1988        647.551          0.788       1041.644          3.061       7378.056
        87      1988        644.134          0.769       1049.841          2.921       7453.015
        88      1988        640.637          0.751       1058.306          2.773       7526.632
        89      1988        637.415          0.732       1066.780          2.617       7594.563
        90      1988        634.667          0.713       1075.012          2.450       7656.824
        91      1988        634.408          0.698       1078.797          2.332       7679.561
        92      1988        670.119          0.678       1083.161          2.159       7702.330
        93      1988        687.444          0.658       1087.896          0.000       7702.330
        94      1988        704.951          0.639       1093.060          0.000          0.000
        95      1988        731.912          0.619       1134.318          0.000          0.000
        96      1988        737.207          0.603       1158.926          0.000          0.000
        97      1988        759.514          0.582       1202.978          0.000          0.000
        98      1988        757.095          0.563       1243.860          0.000          0.000
        99      1988        760.580          0.547       1273.583          0.000          0.000
       100      1988        759.286          0.532       1304.074          0.000          0.000
       101      1988        757.341          0.520       1340.012          0.000          0.000
       102      1988        781.898          0.511       1354.850          0.000          0.000
       103      1988        801.363          0.498       1384.498          0.000          0.000
       104      1988        801.045          0.484       1416.697          0.000          0.000
       105      1988        798.462          0.470       1457.340          0.000          0.000
       106      1988        796.373          0.456       1497.367          0.000          0.000
       107      1988        794.169          0.443       1534.757          0.000          0.000
       108      1988        792.839          0.432       1566.879          0.000          0.000
       109      1988        791.699          0.420       1599.748          0.000          0.000
       110      1988        792.882          0.410       1621.121          0.000          0.000
       111      1988        791.728          0.399       1641.263          0.000          0.000
       112      1988        790.192          0.388       1673.738          0.000          0.000
       113      1988        788.982          0.376       1702.660          0.000          0.000
       114      1988        787.569          0.365       1735.204          0.000          0.000
       115      1988        786.262          0.353       1760.968          0.000          0.000
       116      1988        784.816          0.342       1790.685          0.000          0.000
       117      1988        783.320          0.331       1819.866          0.000          0.000
       118      1988        781.744          0.320       1847.937          0.000          0.000
       119      1988        780.511          0.310       1863.476          0.000          0.000
       120      1988        783.881          0.301       1876.824          0.000          0.000
       121      1988        781.390          0.289       1897.859          0.000          0.000
       122      1988        778.641          0.280       1917.820          0.000          0.000
       123      1988        777.357          0.271       1934.610          0.000          0.000
       124      1988        775.987          0.262       1955.465          0.000          0.000
       125      1988        774.616          0.254       1976.904          0.000          0.000
       126      1988        773.250          0.246       1998.806          0.000          0.000
       127      1988        772.022          0.238       2019.081          0.000          0.000
       128      1988        770.829          0.230       2039.202          0.000          0.000
       129      1988        769.800          0.223       2058.065          0.000          0.000
       130      1988        768.832          0.217       2076.465          0.000          0.000
       131      1988        767.949          0.211       2094.324          0.000          0.000
       132      1988        767.118          0.206       2110.674          0.000          0.000
       133      1988        766.320          0.200       2127.679          0.000          0.000
       134      1988        765.616          0.194       2143.385          0.000          0.000
       135      1988        764.931          0.189       2158.226          0.000          0.000
       136      1988        764.339          0.184       2172.003          0.000          0.000
       137      1988        763.744          0.179       2185.256          0.000          0.000
       138      1988        763.338          0.174       2192.151          0.000          0.000
       139      1988        783.443          0.169       2201.296          0.000          0.000
       140      1988        781.577          0.165       2212.863          0.000          0.000
       141      1988        780.275          0.162       2219.937          0.000          0.000
       142      1988        779.468          0.159       2226.407          0.000          0.000
       143      1988        777.854          0.155       2234.852          0.000          0.000
       144      1988        776.311          0.151       2245.586          0.000          0.000
       145      1988        775.437          0.147       2255.114          0.000          0.000
       146      1988        774.667          0.137       2261.764          0.000          0.000
       147      1988        773.909          0.137       2271.585          0.000          0.000
       148      1988        773.212          0.135       2281.489          0.000          0.000
       149      1988        772.602          0.131       2288.972          0.000          0.000
       150      1988        772.027          0.128       2296.053          0.000          0.000
       151      1988        771.470          0.077       2301.591          0.000          0.000
       152      1988        770.947          0.077       2305.949          0.000          0.000
       153      1988        770.473          0.077       2309.864          0.000          0.000
       154      1988        770.004          0.077       2314.278          0.000          0.000
       155      1988        769.537          0.077       2318.599          0.000          0.000
       156      1988        769.126          0.077       2320.715          0.000          0.000
       157      1988        787.725          0.077       2323.740          0.000          0.000
       158      1988        789.466          0.077       2327.693          0.000          0.000
       159      1988        787.871          0.077       2331.801          0.000          0.000
       160      1988        786.331          0.042       2334.519          0.000          0.000
       161      1988        784.739          0.032       2336.514          0.000          0.000
       162      1988        783.073          0.032       2338.808          0.000          0.000
       163      1988        781.775          0.031       2340.270          0.000          0.000
       164      1988        780.976          0.018       2340.943          0.000          0.000
       165      1988        780.232          0.004       2341.429          0.000          0.000
       166      1988        779.524          0.001       2341.573          0.000          0.000
       167      1988        778.833          0.000       2341.622          0.000          0.000
       168      1988        778.153          0.000       2341.637          0.000          0.000
       169      1988        777.478          0.000       2341.653          0.000          0.000
       170      1988        776.807          0.000       2341.674          0.000          0.000
       171      1988        776.141          0.000       2341.674          0.000          0.000
       172      1988        775.482          0.000          0.000          0.000          0.000
       173      1988        774.832          0.000          0.000          0.000          0.000
       174      1988        774.193          0.000          0.000          0.000          0.000
       175      1988        773.569          0.000          0.000          0.000          0.000
       176      1988        772.962          0.000          0.000          0.000          0.000
       177      1988        772.374          0.000          0.000          0.000          0.000
       178      1988        771.806          0.000          0.000          0.000          0.000
       179      1988        771.260          0.000          0.000          0.000          0.000
       180      1988        770.736          0.000          0.000          0.000          0.000
       181      1988        770.235          0.000          0.000          0.000          0.000
       182      1988        769.757          0.000          0.000          0.000          0.000
       183      1988        769.301          0.000          0.000          0.000          0.000
       184      1988        768.867          0.000          0.000          0.000          0.000
       185      1988        768.454          0.000          0.000          0.000          0.000
       186      1988        768.123          0.000          0.000          0.000          0.000
       187      1988        785.736          0.000          0.000          0.000          0.000
       188      1988        802.765          0.000          0.000          0.000          0.000
       189      1988        800.651          0.000          0.000          0.000          0.000
       190      1988        798.522          0.000          0.000          0.000          0.000
       191      1988        797.318          0.000          0.000          0.000          0.000
       192      1988        796.289          0.000          0.000          0.000          0.000
       193      1988        807.237          0.000          0.000          0.000          0.000
       194      1988        806.019          0.000          0.000          0.000          0.000
       195      1988        803.331          0.000          0.000          0.000          0.000
       196      1988        800.566          0.000          0.000          0.000          0.000
       197      1988        798.872          0.000          0.000          0.000          0.000
       198      1988        797.328          0.000          0.000          0.000          0.000
       199      1988        795.826          0.000          0.000          0.000          0.000
       200      1988        794.331          0.000          0.000          0.000          0.000
       201      1988        792.833          0.000          0.000          0.000          0.000
       202      1988        791.329          0.000          0.000          0.000          0.000
       203      1988        789.825          0.000          0.000          0.000          0.000
       204      1988        795.190          0.000          0.000          0.000          0.000
       205      1988        791.486          0.000          0.000          0.000          0.000
