APSIM output file, version = 5.3
Title = erosion Sample Simulation
           date      soil_loss         runoff
             ()         (t/ha)           (mm)
     04/01/1988          2.056          2.840
     16/01/1988          0.181          0.250
     17/01/1988          0.085          0.117
     20/01/1988         46.835         64.704
     22/01/1988          0.000          0.000
     31/01/1988          0.054          0.074
     08/02/1988         19.014         26.268
     13/02/1988         37.946         52.424
     14/02/1988          9.409         12.999
     29/02/1988          0.420          0.580
     01/03/1988          4.306          5.948
     02/03/1988          0.006          0.009
     03/03/1988          0.044          0.060
     06/03/1988          9.030         12.475
     01/04/1988         11.088         15.319
     02/04/1988          3.116          4.305
     03/04/1988          4.942          6.827
     04/04/1988         19.673         27.178
     05/04/1988          0.044          0.060
     06/04/1988         11.753         16.237
     08/04/1988          0.000          0.000
     11/04/1988         12.557         17.348
     12/04/1988          7.291         10.073
     18/05/1988          4.451          6.149
     05/06/1988          3.808          5.261
     05/07/1988          5.835          8.061
     06/07/1988         14.077         19.447
     11/07/1988          2.200          3.039
     22/07/1988          0.182          0.252
     23/08/1988          9.173         12.672
     28/08/1988          0.044          0.060
     07/09/1988          0.097          0.134
     12/09/1988          1.412          1.951
     13/09/1988          1.340          1.851
     15/09/1988          1.462          2.019
     28/09/1988          0.009          0.013
     16/11/1988          1.518          2.097
     10/12/1988         12.554         17.343
     12/12/1988          3.527          4.873
     18/12/1988          2.721          3.760
     27/12/1988          0.970          1.341
     03/01/1989          0.432          0.597
     06/01/1989          4.231          5.845
     11/01/1989          9.737         13.452
     06/02/1989          3.933          5.434
     21/02/1989         50.810         70.196
     16/03/1989          0.879          1.215
     26/03/1989         17.425         24.073
     27/03/1989          7.809         10.788
     24/04/1989          5.417          7.484
     26/04/1989         27.466         37.944
     08/05/1989          3.279          4.529
     23/05/1989          0.146          0.202
     06/06/1989          0.973          1.345
     24/07/1989          0.734          1.014
     18/08/1989          1.923          2.656
     12/09/1989          0.082          0.113
     18/10/1989          0.255          0.352
     24/10/1989          3.024          4.178
     25/10/1989          0.564          0.779
     02/11/1989          1.664          2.298
     03/11/1989          8.440         11.661
     06/11/1989         12.326         17.029
     07/11/1989          1.052          1.454
     11/11/1989          1.340          1.851
     13/11/1989          0.021          0.029
     18/11/1989          4.888          6.753
     05/12/1989          0.066          0.091
     06/12/1989          0.442          0.611
     15/12/1989          9.108         12.583
     22/12/1989          1.412          1.950
     23/12/1989         15.506         21.422
     25/12/1989          0.000          0.000
