Summary_file = Dalby1500.sum
Title = Dalby 1500mm wet soil
       day      year            lai        biomass          yield         sum_ep
     (day)    (year)      (m^2/m^2)        (kg/ha)        (kg/ha)           (mm)
       291      1957          0.000       6814.795       2133.875        159.419
       286      1958          0.000       8358.909       3395.006        185.160
       288      1959          0.000       6403.019       2378.667        156.767
       292      1960          0.000       6150.546       1691.775        154.741
       290      1961          0.000       7597.839       2542.846        189.488
       289      1962          0.000       7434.942       2532.326        177.454
       288      1963          0.000       6831.967       2783.126        158.790
       288      1964          0.000       8860.891       3810.489        195.727
       289      1965          0.000      11974.515       5250.584        252.912
       289      1966          0.000      11333.964       4981.577        228.245
       289      1967          0.000       7306.632       2405.677        152.428
       291      1968          0.000       9143.657       3384.091        186.111
       287      1969          0.000       9648.579       4390.367        194.347
       290      1970          0.000       5748.559       2296.704        144.478
       289      1971          0.000      11559.365       5087.330        237.518
       289      1972          0.000       4755.428       1526.836        125.482
       283      1973          0.000      14140.249       6634.613        255.707
       289      1974          0.000       9347.145       4025.523        179.774
       287      1975          0.000      11086.465       4895.050        215.262
       288      1976          0.000       9434.438       4266.886        191.586
       290      1977          0.000       4935.662       1349.646        118.594
       289      1978          0.000      14123.869       6189.632        242.085
       287      1979          0.000       6861.494       2466.613        152.525
       288      1980          0.000       6040.659       1685.311        143.492
       288      1981          0.000       8598.252       3002.328        174.787
       290      1982          0.000       6054.381       2055.254        143.241
       286      1983          0.000       8095.421       2967.494        147.856
       289      1984          0.000      11953.133       5617.598        223.781
       289      1985          0.000       9818.896       3987.796        207.714
       288      1986          0.000       6420.882       1944.459        144.199
       287      1987          0.000       7044.985       2242.551        162.091
       285      1988          0.000      11818.584       5634.827        228.782
       290      1989          0.000       6679.449       1956.068        139.119
       288      1990          0.000       7988.515       2772.351        170.718
       286      1991          0.000       4576.438       1280.906        118.633
       291      1992          0.000       6005.431       2120.866        155.489
       286      1993          0.000       7222.686       2966.093        167.812
       292      1994          0.000       4204.897       1143.372        121.910
       289      1995          0.000       5456.771       1878.490        135.495
       289      1996          0.000       7563.293       3316.701        168.965
       288      1997          0.000       5871.388       2467.560        150.725
       285      1998          0.000      14566.906       6829.042        270.737
       287      1999          0.000       8026.515       2809.994        180.068
       291      2000          0.000       4413.679       1145.444        119.887
       288      2001          0.000       4578.277       1347.794        122.890
       290      2002          0.000       5789.528       1876.859        164.212
