APSIM output file, version = 5.4
Title = Roma 400mm wet soil
            day           year            lai        biomass          yield         sum_ep
          (day)         (year)      (m^2/m^2)        (kg/ha)        (kg/ha)           (mm)
            292           1957          0.000         3194.4          795.1         87.608
            286           1958          0.000         5337.1         1727.8        142.112
            287           1959          0.000         3305.8          886.6         88.612
            291           1960          0.000         3726.9          905.8         92.870
            290           1961          0.000         4631.7         1324.7        117.332
            288           1962          0.000         3363.5          870.8         90.341
            288           1963          0.000         3856.4         1089.1         96.237
            287           1964          0.000         4460.3         1764.7        122.244
            287           1965          0.000         4085.0         1503.1         97.403
            288           1966          0.000         7078.7         3254.3        145.439
            289           1967          0.000         5142.5         1495.7        120.814
            290           1968          0.000         5932.8         1812.2        129.693
            287           1969          0.000         4409.3         1270.3        107.742
            269           1970          0.000         1836.0          486.1         56.487
            288           1971          0.000         5502.6         2218.1        145.938
            289           1972          0.000         1601.0          465.9         54.804
            282           1973          0.000        13271.6         6188.9        270.362
            289           1974          0.000         5388.6         2096.6        123.785
            286           1975          0.000         6434.3         2621.1        145.162
            288           1976          0.000         3295.0         1452.0         84.700
            292           1977          0.000         3828.5         1013.8        110.065
            290           1978          0.000        12611.2         5716.9        248.530
            288           1979          0.000         1713.5          441.0         50.712
            290           1980          0.000         4743.9         1264.8        117.659
            289           1981          0.000         6871.8         2444.6        157.841
            275           1982          0.000         1806.9          441.7         51.408
            289           1983          0.000         7859.9         2766.0        163.339
            288           1984          0.000         9815.3         4140.0        207.194
            287           1985          0.000         6542.9         2019.1        154.553
            287           1986          0.000         5391.5         2020.6        124.101
            288           1987          0.000         3188.5          854.0         77.396
            289           1988          0.000         4376.2         1432.8        109.661
            293           1989          0.000         4768.8         1228.7        108.553
            290           1990          0.000         4660.8         1472.0        112.444
            289           1991          0.000         4682.2         1298.4        135.599
            290           1992          0.000         3452.1         1031.8         90.509
            286           1993          0.000         4998.3         1813.9        115.989
            284           1994          0.000         1748.4          421.5         52.674
            291           1995          0.000         2680.5          787.6         74.820
            290           1996          0.000         3607.0         1339.2         79.878
            291           1997          0.000         2821.9          796.7         80.709
            286           1998          0.000        11586.3         5485.3        232.430
            290           1999          0.000         3636.8         1082.7         99.728
            293           2000          0.000         3327.7          846.4         90.906
            287           2001          0.000         3901.7         1047.0        102.929
            292           2002          0.000         2322.0          611.2         68.670
