ApsimVersion = 6.0
Title = Fertiliz Sample Simulation
            day           year     fertilizer          no3()          nh4()
          (day)         (year)        (kg/ha)        (kg/ha)        (kg/ha)
              1           1988            0.0           83.3            7.3
              2           1988            0.0           84.9            6.2
              3           1988            0.0           86.4            5.3
              4           1988            0.0           87.7            4.6
              5           1988          100.0          111.3           81.6
              6           1988            0.0          131.3           62.3
              7           1988            0.0          147.4           46.7
              8           1988            0.0          160.0           34.7
              9           1988            0.0          170.2           25.1
             10           1988          100.0          278.0           18.0
             11           1988            0.0          283.8           12.9
             12           1988            0.0          288.0            9.4
             13           1988            0.0          291.1            7.0
             14           1988            0.0          293.4            5.3
             15           1988          100.0          395.1            4.2
             16           1988            0.0          396.5            3.5
             17           1988            0.0          397.6            2.9
             18           1988            0.0          398.6            2.6
             19           1988            0.0          399.4            2.4
             20           1988            0.0          398.7            2.3
             21           1988            0.0          398.7            2.3
             22           1988            0.0          399.0            2.2
             23           1988            0.0          399.5            2.2
             24           1988            0.0          400.2            2.2
             25           1988          100.0          500.9            2.2
             26           1988            0.0          501.6            2.1
             27           1988            0.0          502.3            2.1
             28           1988            0.0          503.0            2.0
             29           1988            0.0          503.6            2.0
             30           1988            0.0          504.2            1.9
