Summary_file = grasp.sum
Title = Grass growth.
      year       day          sw_dep(1)          sw_dep(2)          sw_dep(3)          sw_dep(4)          sw_dep(5)          sw_dep(6)          sw_dep(7)            eos             es  soilwat_cover     green_pool      dead_pool  growth_transp   growth_photo growth_regrowth         growth          death        n_index      rad_index       sw_index     temp_index   growth_index     basal_area      cover_tot     residue_wt  residue_cover
    (year)     (day)               (mm)               (mm)               (mm)               (mm)               (mm)               (mm)               (mm)           (mm)           (mm)             ()        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)         (kg/ha)        (kg/ha)        (kg/ha)             ()             ()             ()             ()             ()       (m^2/ha)             ()        (kg/ha)      (m^2/m^2)
      1988         1             42.861             56.610            126.100            127.678            121.186            122.998            123.000          4.592          0.366          0.330          1.351          0.000          0.000          0.000           1.351          1.351          0.000          1.000          0.901          1.000          1.000          0.901          0.500          0.001       2000.000          0.330
      1988         2             44.272             57.206            124.138            126.563            122.082            123.000            123.000          5.503          0.165          0.310          2.739          0.003          0.046          0.263           1.390          1.390          0.003          1.000          0.927          1.000          1.000          0.927          0.500          0.002       1852.330          0.310
      1988         3             45.983             57.120            122.603            125.624            122.750            123.000            123.000          5.469          0.164          0.299          4.127          0.008          0.092          0.541           1.394          1.394          0.005          1.000          0.930          1.000          1.000          0.930          0.500          0.003       1763.782          0.297
      1988         4             66.269             64.375            124.139            125.139            123.274            123.000            123.000          4.288          4.173          0.294          5.442          0.016          0.089          0.656           1.322          1.322          0.008          1.000          0.882          1.000          1.000          0.882          0.500          0.004       1725.102          0.292
      1988         5             64.228             63.682            124.903            124.905            123.703            123.000            123.000          3.759          3.759          0.271          6.670          0.027          0.138          0.750           1.239          1.239          0.011          1.000          0.852          1.000          0.970          0.826          0.500          0.005       1561.889          0.268
      1988         6             63.095             63.037            125.169            124.800            124.065            123.000            123.000          5.036          1.227          0.252          7.954          0.041          0.184          1.182           1.298          1.298          0.013          1.000          0.921          1.000          0.940          0.865          0.500          0.006       1427.116          0.248
      1988         7             62.376             62.580            125.173            124.759            124.377            123.000            123.000          4.978          0.869          0.239          9.192          0.056          0.233          1.349           1.254          1.254          0.016          1.000          0.918          1.000          0.910          0.836          0.500          0.006       1337.972          0.235
      1988         8             61.857             62.223            125.035            124.746            124.648            123.000            123.000          5.743          0.713          0.232         10.583          0.075          0.219          1.921           1.410          1.410          0.018          1.000          0.940          1.000          1.000          0.940          0.500          0.007       1285.905          0.227
      1988         9             61.459             61.927            124.823            124.742            124.886            123.000            123.000          6.161          0.619          0.230         11.981          0.096          0.226          2.294           1.419          1.419          0.021          1.000          0.946          1.000          1.000          0.946          0.500          0.008       1270.801          0.224
      1988        10             61.141             61.673            124.578            124.738            125.093            123.000            123.000          6.166          0.554          0.231         13.372          0.119          0.253          2.555           1.415          1.415          0.024          1.000          0.943          1.000          1.000          0.943          0.500          0.009       1270.802          0.224
      1988        11             60.878             61.454            124.324            124.729            125.273            123.000            123.000          5.352          0.507          0.232         14.728          0.146          0.353          2.532           1.383          1.383          0.027          1.000          0.922          1.000          1.000          0.922          0.500          0.010       1270.802          0.224
      1988        12             60.654             61.259            124.071            124.714            125.428            123.000            123.000          4.981          0.469          0.232         16.068          0.175          0.440          2.670           1.370          1.370          0.029          1.000          0.913          1.000          1.000          0.913          0.500          0.011       1270.802          0.224
      1988        13             60.456             61.081            123.823            124.692            125.562            123.000            123.000          5.492          0.439          0.233         17.437          0.207          0.453          3.240           1.401          1.401          0.032          1.000          0.934          1.000          1.000          0.934          0.500          0.012       1270.802          0.224
      1988        14             60.278             60.918            123.583            124.663            125.675            123.000            123.000          5.716          0.415          0.234         18.717          0.241          0.430          3.440           1.315          1.315          0.035          1.000          0.943          1.000          0.930          0.877          0.500          0.013       1270.803          0.224
      1988        15             60.118             60.769            123.355            124.627            125.770            123.000            123.000          5.415          0.393          0.234         19.996          0.278          0.456          3.538           1.316          1.316          0.037          1.000          0.934          1.000          0.940          0.878          0.500          0.014       1270.803          0.224
      1988        16             65.472             63.891            124.368            124.724            125.865            123.000            123.000          3.265          3.265          0.235         21.018          0.318          0.501          2.163           1.061          1.061          0.040          1.000          0.813          1.000          0.870          0.708          0.500          0.014       1270.804          0.224
      1988        17             66.648             65.175            125.562            124.941            125.975            123.000            123.000          5.544          4.926          0.217         22.365          0.359          0.373          4.058           1.389          1.389          0.042          1.000          0.926          1.000          1.000          0.926          0.500          0.015       1150.571          0.206
      1988        18             64.786             64.283            126.083            125.280            126.000            123.000            123.000          7.367          1.740          0.201         23.750          0.403          0.408          5.080           1.430          1.430          0.045          1.000          0.953          1.000          1.000          0.953          0.500          0.016       1041.713          0.188
      1988        19             63.783             63.675            126.265            125.626            126.000            123.000            123.000          5.068          1.989          0.191         25.056          0.450          0.486          4.087           1.353          1.353          0.048          1.000          0.902          1.000          1.000          0.902          0.500          0.017        979.460          0.178
      1988        20             68.970             74.821            141.371            129.639            126.000            123.000            123.000          4.835          4.501          0.186         26.351          0.499          0.449          4.200           1.344          1.344          0.050          1.000          0.896          1.000          1.000          0.896          0.500          0.018        939.776          0.171
      1988        21             67.461             72.950            140.223            131.990            126.000            123.000            123.000          6.329          2.049          0.172         27.710          0.551          0.549          5.527           1.412          1.412          0.053          1.000          0.941          1.000          1.000          0.941          0.500          0.019        850.860          0.156
      1988        22             67.469             72.330            139.969            132.984            126.198            123.040            123.008          4.724          4.724          0.163         28.985          0.605          0.506          4.461           1.330          1.330          0.055          1.000          0.887          1.000          1.000          0.887          0.500          0.020        795.831          0.147
      1988        23             67.466             70.395            139.498            133.686            126.498            123.131            123.033          5.014          1.174          0.151         30.278          0.662          0.750          4.953           1.352          1.352          0.058          1.000          0.901          1.000          1.000          0.901          0.500          0.021        720.534          0.134
      1988        24             67.455             69.157            138.801            134.107            126.822            123.269            123.080          6.343          0.851          0.144         31.628          0.721          0.619          6.295           1.410          1.410          0.061          1.000          0.940          1.000          1.000          0.940          0.500          0.022        669.451          0.125
      1988        25             67.458             68.307            138.048            134.293            127.118            123.439            123.152          5.753          0.702          0.140         32.958          0.783          0.779          6.172           1.393          1.393          0.063          1.000          0.929          1.000          1.000          0.929          0.500          0.023        642.079          0.121
      1988        26             67.253             67.871            137.341            134.311            127.359            123.623            123.246          5.544          0.612          0.139         34.274          0.847          0.931          6.407           1.381          1.381          0.066          1.000          0.930          1.000          0.990          0.921          0.500          0.024        633.299          0.119
      1988        27             66.978             67.570            136.767            134.213            127.532            123.805            123.358          5.489          0.549          0.140         35.306          0.914          0.827          5.412           1.101          1.101          0.069          1.000          0.935          1.000          0.785          0.734          0.500          0.024        633.301          0.119
      1988        28             66.720             67.315            136.298            134.042            127.636            123.971            123.480          5.136          0.503          0.140         36.435          0.983          0.805          5.701           1.200          1.200          0.071          1.000          0.919          1.000          0.870          0.800          0.500          0.025        633.303          0.119
      1988        29             66.482             67.089            135.905            133.831            127.677            124.112            123.607          5.143          0.467          0.141         37.734          1.054          1.073          6.614           1.372          1.372          0.073          1.000          0.915          1.000          1.000          0.915          0.500          0.026        633.305          0.119
      1988        30             66.259             66.883            135.567            133.597            127.663            124.222            123.730          5.630          0.437          0.142         39.057          1.127          0.776          7.485           1.399          1.399          0.075          1.000          0.932          1.000          1.000          0.932          0.500          0.027        633.307          0.119
      1988        31             67.658             68.101            135.411            133.358            127.604            124.299            123.844          4.696          4.696          0.143         40.308          1.203          0.738          6.234           1.328          1.328          0.078          1.000          0.886          1.000          1.000          0.886          0.500          0.028        633.309          0.119
      1988        32             67.251             67.777            135.278            133.139            127.514            124.342            123.943          5.495          0.627          0.133         41.607          1.281          0.889          7.479           1.380          1.380          0.081          1.000          0.920          1.000          1.000          0.920          0.500          0.029        573.380          0.108
      1988        33             66.924             67.445            135.172            132.943            127.402            124.354            124.025          5.140          0.561          0.127         42.885          1.362          1.094          7.287           1.361          1.361          0.083          1.000          0.908          1.000          1.000          0.908          0.500          0.029        534.030          0.101
      1988        34             66.632             67.147            135.098            132.772            127.278            124.339            124.088          3.994          0.711          0.124         44.056          1.445          1.100          5.969           1.257          1.257          0.086          1.000          0.855          1.000          0.980          0.838          0.500          0.030        510.370          0.097
      1988        35             66.343             66.853            135.023            132.620            127.149            124.301            124.131          5.398          0.473          0.122         45.167          1.530          1.110          7.381           1.199          1.199          0.088          1.000          0.929          1.000          0.860          0.799          0.500          0.031        496.920          0.095
      1988        36             66.063             66.630            134.897            132.484            127.019            124.245            124.153          5.794          0.443          0.123         46.366          1.617          0.988          8.522           1.290          1.290          0.090          1.000          0.940          1.000          0.915          0.860          0.500          0.032        496.517          0.095
      1988        37             65.822             66.444            134.722            132.372            126.893            124.174            124.158          5.734          0.417          0.123         47.674          1.707          0.868          9.226           1.400          1.400          0.093          1.000          0.933          1.000          1.000          0.933          0.500          0.033        496.520          0.095
      1988        38             65.644             66.304            134.541            132.289            126.774            124.094            124.145          3.113          0.796          0.124         49.688          1.799          2.110          5.079           1.112          2.110          0.095          1.000          0.785          1.000          0.945          0.742          0.500          0.034        496.524          0.095
      1988        39             69.438             74.804            143.118            133.852            126.992            124.074            124.131          4.026          4.015          0.125         50.793          1.895          1.204          4.453           0.764          1.204          0.099          1.000          0.878          1.000          0.580          0.509          0.500          0.035        496.527          0.095
      1988        40             67.436             72.925            142.445            134.968            127.390            124.137            124.132          5.442          2.485          0.118         51.858          1.992          1.166          7.089           0.969          1.166          0.102          1.000          0.937          1.000          0.690          0.646          0.500          0.035        450.463          0.086
      1988        41             67.432             70.943            141.540            135.679            127.851            124.280            124.162          5.655          1.036          0.113         52.963          2.092          1.085          9.047           1.209          1.209          0.104          1.000          0.937          1.000          0.860          0.806          0.500          0.036        419.426          0.080
      1988        42             67.433             69.595            140.500            136.040            128.292            124.482            124.226          5.505          0.795          0.111         54.249          2.194          1.086         10.182           1.391          1.391          0.106          1.000          0.928          1.000          1.000          0.928          0.500          0.037        401.754          0.077
      1988        43             67.427             68.635            139.445            136.117            128.661            124.718            124.324          5.866          0.670          0.110         55.538          2.298          1.106         10.673           1.398          1.398          0.108          1.000          0.932          1.000          1.000          0.932          0.500          0.038        395.295          0.076
      1988        44             69.374             74.797            149.347            139.243            129.580            125.090            124.477          4.122          4.073          0.111         56.717          2.404          1.155          7.994           1.290          1.290          0.111          1.000          0.860          1.000          1.000          0.860          0.500          0.039        395.300          0.076
      1988        45             69.337             74.795            149.345            147.586            134.497            126.372            124.856          4.181          4.109          0.105         57.885          2.513          1.269          8.261           1.282          1.282          0.113          1.000          0.868          1.000          0.985          0.854          0.500          0.040        357.871          0.069
      1988        46             67.437             73.443            147.519            146.970            135.795            127.656            125.416          4.743          4.743          0.100         59.329          2.624          1.560          7.980           1.081          1.560          0.116          1.000          0.907          1.000          0.795          0.721          0.500          0.041        323.983          0.063
      1988        47             67.433             71.135            145.684            146.109            136.661            128.857            126.105          4.885          1.259          0.096         60.730          2.737          1.519          8.217           1.062          1.519          0.119          1.000          0.913          1.000          0.775          0.708          0.500          0.041        295.976          0.057
      1988        48             67.433             69.665            143.846            145.053            137.143            129.915            126.867          4.782          0.880          0.093         62.248          2.853          1.639          7.875           1.004          1.639          0.121          1.000          0.911          1.000          0.735          0.669          0.500          0.043        277.236          0.054
      1988        49             67.441             68.644            142.158            143.871            137.292            130.790            127.651          4.150          1.118          0.092         63.389          2.972          1.266          6.944           0.960          1.266          0.124          1.000          0.877          1.000          0.730          0.640          0.500          0.043        265.960          0.052
      1988        50             67.352             68.446            140.158            142.623            137.162            131.464            128.414          5.331          0.622          0.092         64.666          3.093          1.403         10.826           1.250          1.403          0.127          1.000          0.926          1.000          0.900          0.833          0.500          0.044        259.867          0.051
      1988        51             67.241             68.114            138.750            141.302            136.794            131.930            129.117          5.874          0.557          0.093         65.941          3.216          1.162         12.976           1.404          1.404          0.129          1.000          0.936          1.000          1.000          0.936          0.500          0.045        259.873          0.051
      1988        52             67.069             67.808            137.737            140.022            136.244            132.193            129.732          5.110          0.509          0.093         67.377          3.341          1.568         11.693           1.368          1.568          0.132          1.000          0.912          1.000          1.000          0.912          0.500          0.046        259.880          0.051
      1988        53             66.855             67.523            136.976            138.835            135.566            132.268            130.239          5.206          0.471          0.094         68.733          3.470          1.491         12.298           1.377          1.491          0.135          1.000          0.918          1.000          1.000          0.918          0.500          0.047        259.886          0.051
      1988        54             66.618             67.255            136.377            137.762            134.810            132.176            130.627          5.608          0.441          0.095         70.048          3.600          1.452         13.355           1.396          1.452          0.137          1.000          0.931          1.000          1.000          0.931          0.500          0.048        259.893          0.051
