Summary_file=irrigate.sum
Title =irrigate sample simulation
    day   year       sw_dep()     irrigation
  (day) (year)           (mm)           (mm)
      1   1988        775.540         59.625
      2   1988        773.732          0.000
      3   1988        772.671          0.000
      4   1988        786.673          0.000
      5   1988        784.595          0.000
      6   1988        783.431          0.000
      7   1988        782.453          0.000
      8   1988        781.538          0.000
      9   1988        780.635          0.000
     10   1988        804.445         30.000
     11   1988        802.681          0.000
     12   1988        801.198          0.000
     13   1988        799.754          0.000
     14   1988        798.275          0.000
     15   1988        821.964         30.000
     16   1988        828.214          0.000
     17   1988        829.975          0.000
     18   1988        826.935          0.000
     19   1988        824.220          0.000
     20   1988        862.900         30.000
     21   1988        856.377          0.000
     22   1988        851.802          0.000
     23   1988        846.403          0.000
     24   1988        841.329          0.000
     25   1988        836.487          0.000
     26   1988        831.771          0.000
     27   1988        827.194          0.000
     28   1988        822.771          0.000
     29   1988        818.517          0.000
     30   1988        814.443          0.000
