Summary_file = referenc.sum
Title = 
      year       day             no3(1)             no3(2)             no3(3)          sw_dep(1)          sw_dep(2)          sw_dep(3)       tt_tot()            lai        biomass     root_length(1)     root_length(2)     root_length(3)     root_depth avg_swdef_photo avg_nfact_photo   plant_status      dm_dead()          yield         height     residue_wt      residue_n        fom_c()        fom_n()        leaf_no
    (year)     (day)            (kg/ha)            (kg/ha)            (kg/ha)               (mm)               (mm)               (mm)           (oC)      (m^2/m^2)        (kg/ha)           (mm/mm2)           (mm/mm2)           (mm/mm2)           (mm)              ()              ()             ()        (g/m^2)        (kg/ha)           (mm)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)             ()
      1993         7              3.304              7.927              7.271             26.916             78.490             80.067          0.000          0.000          0.000              0.000              0.000              0.000          0.000           0.000           0.000            out          0.000          0.000          0.000        473.522          2.368        307.467          6.833          0.000
      1993        10            201.000              1.000              1.000             30.000             60.000             40.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000           0.000           0.000          alive          0.000          0.000          0.000          0.000          0.000        286.664          6.370          0.000
      1993        17             81.105             89.040             35.616             30.965             80.456             74.159        136.419          0.008          5.401              0.044              0.000              0.000        120.000           0.625           0.500          alive          0.000          0.000          0.257          0.000          0.000        208.530          4.634          1.552
      1993        24             73.414             93.562             40.601             34.735             80.086             78.530        267.875          0.036         23.789              0.199              0.028              0.000        223.165           1.000           1.000          alive          0.000          0.000          0.619          0.000          0.000        158.228          3.515          3.574
      1993        31             71.689             95.364             41.577             31.879             79.335             79.390        400.525          0.151         86.231              0.510              0.098              0.000        436.165           1.000           1.000          alive          0.000          0.000          3.991          0.000          0.000        122.540          2.719          5.615
      1993        38             66.994             97.494             41.914             32.619             77.519             79.687        529.402          0.414        283.555              1.091              0.152              0.004        634.165           1.000           1.000          alive          0.000          0.000         20.496          0.000          0.000         95.731          2.117          7.598
      1993        45             54.578             98.213             41.801             35.423             76.481             79.321        652.102          1.136        803.355              2.555              0.342              0.039        749.665           1.000           1.000          alive          0.000          0.000         73.168          0.000          0.000         79.032          1.733          9.928
      1993        52             36.951             94.933             40.456             39.014             76.641             77.654        764.019          2.074       1657.480              4.229              1.376              0.094        865.165           0.924           1.000          alive          0.000          0.000        183.709          0.000          0.000         67.637          1.451         13.037
      1993        59             22.593             89.313             38.533             41.915             78.526             74.676        897.948          2.571       2639.138              5.229              3.474              0.137        980.665           0.816           1.000          alive          0.000          0.000        349.637          0.000          0.000         58.695          1.207         16.757
      1993        66             12.390             71.787             35.040             37.409             77.041             72.339       1010.516          2.944       3982.945              6.600              6.314              0.212       1000.000           0.823           1.000          alive          0.000          0.000        576.536          0.000          0.000         53.578          1.026         19.781
      1993        73              6.213             52.101             30.855             40.757             78.819             72.373       1122.321          2.763       5337.242              7.956              9.121              0.311       1000.000           0.821           1.000          alive          0.000          0.000        839.018          0.000          0.000         51.843          0.897         19.781
      1993        80              3.375             31.018             22.190             37.247             77.093             72.358       1242.030          2.672       6848.125              8.455             10.213              0.359       1000.000           0.964           1.000          alive          0.000          0.000       1164.824          0.000          0.000         52.405          0.803         19.781
      1993        87              1.898             17.755             15.072             40.811             78.844             72.229       1345.711          2.419       8176.319              8.558             10.512              0.375       1000.000           0.939           1.000          alive          0.000        418.336       1391.707          0.000          0.000         53.545          0.732         19.781
      1993        94              1.580             11.047             10.477             37.932             78.305             72.005       1449.681          2.183       9396.943              8.439             10.365              0.370       1000.000           0.987           1.000          alive          0.000       1417.227       1447.101          0.000          0.000         53.784          0.668         19.781
      1993       101              1.607              7.452              7.325             37.198             78.193             72.863       1554.468          1.951      10351.244              8.321             10.221              0.365       1000.000           0.932           1.000          alive          0.000       2376.345       1464.616          0.000          0.000         53.635          0.614         19.781
      1993       108              1.680              5.739              5.321             36.871             78.269             73.761       1648.545          1.746      11143.594              8.205             10.079              0.359       1000.000           1.000           1.000          alive          0.000       3372.347       1464.616          0.000          0.000         54.998          0.580         19.781
      1993       115              1.545              4.187              3.467             36.171             77.500             73.775       1735.567          1.559      11924.394              8.091              9.939              0.354       1000.000           1.000           1.000          alive          0.000       4308.625       1464.616          0.000          0.000         56.210          0.552         19.781
      1993       122              1.669              3.966              2.806             35.994             77.772             74.601       1816.876          1.349      12581.976              7.979              9.800              0.350       1000.000           1.000           1.000          alive          0.000       5188.765       1464.616          0.000          0.000         57.320          0.529         19.781
      1993       129              1.795              3.997              2.342             38.469             79.305             75.310       1896.634          1.174      13119.753              7.867              9.664              0.345       1000.000           1.000           1.000          alive          0.000       6075.241       1464.616          0.000          0.000         58.632          0.511         19.781
      1993       136              2.316              4.586              2.266             36.116             78.266             75.418       1981.858          1.083      13583.553              7.758              9.530              0.340       1000.000           1.000           1.000          alive          0.000       7022.648       1464.616          0.000          0.000         59.424          0.493         19.781
      1993       143              2.421              5.095              2.229             39.223             79.803             76.387       2052.029          0.999      14020.986              7.650              9.397              0.335       1000.000           1.000           1.000          alive          0.000       7475.824       1464.616          0.000          0.000         61.256          0.482         19.781
      1993       150              2.819              5.686              2.232             38.062             79.350             76.795       2125.560          0.902      14367.636              7.544              9.266              0.330       1000.000           1.000           1.000          alive          0.000       7752.758       1464.616          0.000          0.000         62.436          0.471         19.781
      1993       151              2.922              5.780              2.240             37.237             79.210             76.886       2136.454          0.004       6614.877              7.528              9.248              0.330       1000.000           1.000           0.000           dead          0.000          0.000       1464.616          0.000          0.000         62.659          0.470         19.781
      1993       152              3.028              5.875              2.247             36.577             79.055             76.972          0.000          0.000          0.000              0.000              0.000              0.000          0.000           1.000           0.000            out          0.000          0.000          0.000       6614.877        112.685        747.094         20.929          0.000
      1993       159              1.171              5.696              2.284             38.590             79.979             77.991          0.000          0.000          0.000              0.000              0.000              0.000          0.000           0.000           0.000            out          0.000          0.000          0.000       5605.630         95.492        617.533         17.218          0.000
      1993       160            101.000              1.000              1.000             30.000             60.000             40.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000               ?               ?          alive          0.000          0.000          0.000          0.000          0.000        617.533         17.218          0.000
      1993       167             41.653             44.480             18.781             35.703             80.229             73.782         79.478          0.003          1.287              0.008              0.000              0.000        110.000           0.625           0.250          alive          0.000          0.000          0.250          0.000          0.000        510.210         14.162          0.837
      1993       174             38.923             45.855             20.942             32.741             79.766             77.378        160.155          0.013          5.473              0.045              0.004              0.000        215.000           1.000           1.000          alive          0.000          0.000          0.311          0.000          0.000        426.035         11.778          2.078
      1993       181             37.926             46.525             21.810             31.253             79.365             78.845        233.220          0.037         17.127              0.094              0.042              0.000        356.000           1.000           1.000          alive          0.000          0.000          0.822          0.000          0.000        368.467         10.155          3.329
      1993       188             37.226             47.160             22.128             34.478             79.355             79.378        298.231          0.118         47.468              0.160              0.075              0.000        587.000           1.000           1.000          alive          0.000          0.000          3.334          0.000          0.000        324.392          8.914          5.017
      1993       195             36.954             47.141             22.314             34.047             78.977             79.744        368.468          0.253         94.254              0.282              0.098              0.005        719.000           1.000           1.000          alive          0.000          0.000         10.218          0.000          0.000        289.346          7.929          6.968
      1993       202             34.526             46.375             22.075             37.720             78.799             79.835        435.113          0.620        272.771              0.781              0.168              0.017        834.500           1.000           1.000          alive          0.000          0.000         43.394          0.000          0.000        258.504          7.060          8.819
      1993       209             30.740             42.827             20.775             34.182             77.016             79.298        506.941          1.161        640.679              1.564              0.554              0.041        950.000           1.000           1.000          alive          0.000          0.000        135.250          0.000          0.000        232.498          6.318         10.814
      1993       216             22.679             38.592             17.852             37.176             77.837             78.020        570.522          1.577       1250.832              2.207              1.857              0.067       1000.000           1.000           1.000          alive          0.000          0.000        302.936          0.000          0.000        209.925          5.657         12.580
