Summary_file = Dalby600High.sum
Title = Dalby 600mm wet soil High Population
       day      year            lai        biomass          yield         sum_ep
     (day)    (year)      (m^2/m^2)        (kg/ha)        (kg/ha)           (mm)
        32      1958          0.002       4183.388        322.176        116.208
        41      1959          0.012      10952.569       4512.887        226.152
        42      1960          0.007      13374.005       5600.779        298.820
        46      1961          0.012       9661.798       2292.901        195.036
        40      1962          0.002      16739.604       9164.833        326.728
        40      1963          0.002       6046.336        505.341        139.250
        44      1964          0.008      13411.500       4758.029        277.978
        47      1965          0.006       9278.606       2001.417        211.785
        42      1966          0.011      13969.644       7434.266        297.675
        45      1967          0.008       8282.851        634.859        193.361
        37      1968          0.002       6709.343        506.131        157.453
        34      1969          0.002       8120.223       2944.567        199.580
        39      1970          0.004      14045.051       4091.047        302.324
        42      1971          0.007      17668.963       9798.617        341.822
        47      1972          0.002      13539.897       4223.490        264.697
        36      1973          0.011      12963.862       4944.711        262.595
        40      1974          0.007      12604.187       5455.706        247.768
        46      1975          0.006      12054.545       5137.222        246.153
        47      1976          0.006      12288.720       1831.710        233.719
        38      1977          0.004       6885.473       1092.668        161.490
        30      1978          0.002       8375.562       2141.940        188.082
        47      1979          0.008       9417.284       2542.104        186.865
        33      1980          0.008       8518.911       2918.140        206.885
        36      1981          0.002      10591.362       3915.494        206.204
        41      1982          0.007      14074.223       6610.999        304.085
        37      1983          0.013       8929.672       3515.947        213.778
        47      1984          0.003      16313.318       7744.379        293.699
        40      1985          0.004       9258.402       2952.466        201.517
        41      1986          0.005       7863.921       2202.128        181.224
        39      1987          0.002      10732.365       2024.504        229.593
        40      1988          0.005      12840.168       5263.504        271.387
        34      1989          0.002       9076.283       1816.434        194.151
        38      1990          0.002      14249.234       5893.110        274.954
        32      1991          0.004       5872.739        699.811        145.769
        31      1992          0.002       9282.388       3238.388        200.734
        40      1993          0.004       7197.590       1443.414        157.879
        40      1994          0.002      10387.936       4288.838        236.744
        40      1995          0.007       8891.858       1181.656        187.247
        39      1996          0.004      18217.268      10384.155        366.684
        45      1997          0.007       7710.472       2022.631        173.912
        34      1998          0.002       9916.742       3671.555        237.617
        42      1999          0.006      10687.090       4493.100        214.955
        51      2000          0.003      17050.664       9183.352        309.912
        38      2001          0.004       5980.872       1052.780        128.003
        38      2002          0.009      11874.105       4426.104        268.957
