Summary_file = roma800Low.sum
Title = Roma 800mm wet soil Low Population
       day      year            lai        biomass          yield         sum_ep
     (day)    (year)      (m^2/m^2)        (kg/ha)        (kg/ha)           (mm)
        25      1958          0.001       3411.559        316.310        114.893
        27      1959          0.001       7063.394       1871.373        180.899
        29      1960          0.002       5927.338       2221.215        147.928
        31      1961          0.001       5350.545       1589.706        135.588
        27      1962          0.001       9145.405       4819.358        219.347
        30      1963          0.001       5709.077       2528.383        148.806
        31      1964          0.001       8341.366       3706.185        200.101
        35      1965          0.002       4792.537       1436.442        122.593
        29      1966          0.003       8386.692       3872.623        191.252
        30      1967          0.001       5593.995       1882.814        137.466
        26      1968          0.001       7296.646       2276.336        181.198
        27      1969          0.001       5279.240       2105.534        155.256
        28      1970          0.001       6107.536       1892.121        149.190
        32      1971          0.001      10873.888       5215.870        274.007
        30      1972          0.001       5890.467       1941.507        159.362
        29      1973          0.002       8364.558       3700.987        202.255
        31      1974          0.001       7497.896       3269.073        159.040
        35      1975          0.001       5175.266       1217.583        133.189
        32      1976          0.001       6923.105       3213.391        159.722
        32      1977          0.001       5663.051       1458.130        150.228
        24      1978          0.002       4795.545       1438.199        121.696
        37      1979          0.006       6174.453       2476.443        148.532
        26      1980          0.001       5865.696       1485.573        167.572
        26      1981          0.001       8876.379       4378.710        216.465
        32      1982          0.001       6631.559       1650.136        168.982
        27      1983          0.001       6357.796       2732.807        176.863
        33      1984          0.001      10749.166       5594.233        217.894
        31      1985          0.001       7888.304       2639.387        211.670
        33      1986          0.001       6522.880       2169.765        155.282
        32      1987          0.001       6779.638       2431.819        163.761
        28      1988          0.001       5428.216       1667.301        135.981
        23      1989          0.001       5710.453       1810.420        142.373
        30      1990          0.001       7424.815       2836.816        164.922
        25      1991          0.001       4878.106       1599.523        133.693
        23      1992          0.001       5620.560       2497.826        151.010
        31      1993          0.002       4180.831       1148.356        106.497
        32      1994          0.001       4577.337       1344.414        107.161
        32      1995          0.001       6952.025       2372.933        151.445
        33      1996          0.001      11722.243       6117.621        260.499
        36      1997          0.001       6362.802       2690.192        156.979
        26      1998          0.002       6849.848       1597.880        176.565
        32      1999          0.001       9171.679       4636.033        213.999
        38      2000          0.001      11941.107       6248.936        247.905
        33      2001          0.003       6243.129       2146.844        136.058
        34      2002          0.001       7615.188       3209.573        186.721
