ApsimVersion = 6.1
Title = Dalby 1200mm wet soil
            day           year            lai        biomass          yield         sum_ep
          (day)         (year)      (m^2/m^2)        (kg/ha)        (kg/ha)           (mm)
             50           1958          0.000         4303.0         1621.2        189.025
             48           1959          0.000         5661.0         2250.5        177.522
             48           1960          0.000         5380.4         2136.0        211.969
             53           1961          0.000         5115.8         1790.6        170.418
             48           1962          0.000         5365.4         2116.5        182.279
             50           1963          0.000         4763.5         1893.9        170.639
             50           1964          0.000         3972.9         1458.3        168.841
             51           1965          0.000         4956.5         1897.5        198.059
             50           1966          0.000         4973.2         1962.7        185.678
             51           1967          0.000         5196.5         1986.7        208.647
             51           1968          0.000         4817.9         1913.0        176.427
             48           1969          0.000         5049.2         1891.3        202.154
             47           1970          0.000         5642.4         2237.8        195.274
             47           1971          0.000         4755.0         1881.8        142.364
             52           1972          0.000         5884.2         2328.4        171.975
             47           1973          0.000         5378.7         1999.8        182.262
             47           1974          0.000         5226.6         2065.9        155.766
             48           1975          0.000         5591.6         2223.5        196.623
             49           1976          0.000         4885.0         1930.9        144.285
             47           1977          0.000         4513.6         1462.4        171.172
             46           1978          0.000         5507.0         2177.0        192.385
             48           1979          0.000         4835.0         1882.3        169.846
             49           1980          0.000         5545.7         2202.3        204.888
             47           1981          0.000         5135.1         1994.4        173.147
             46           1982          0.000         5158.5         2051.2        178.711
             47           1983          0.000         5018.8         1999.6        187.526
             50           1984          0.000         5715.2         2272.9        177.578
             48           1985          0.000         4463.9         1621.4        177.548
             49           1986          0.000         4345.7         1635.6        172.968
             48           1987          0.000         6327.2         2462.7        238.184
             46           1988          0.000         6240.9         2468.5        213.985
             48           1989          0.000         5250.4         2082.0        182.646
             47           1990          0.000         5654.5         2241.0        208.518
             45           1991          0.000         4899.7         1894.2        177.405
             47           1992          0.000         5414.7         2148.0        205.963
             49           1993          0.000         3870.6         1337.1        159.199
             51           1994          0.000         4664.5         1802.3        185.458
             50           1995          0.000         6462.7         2562.5        222.394
             49           1996          0.000         6116.4         2415.8        200.214
             49           1997          0.000         4705.6         1685.5        167.011
             46           1998          0.000         4815.3         1864.8        183.957
             48           1999          0.000         5578.0         2205.6        191.027
             55           2000          0.000         6288.6         2489.0        210.444
             49           2001          0.000         4956.6         1962.2        187.168
             48           2002          0.000         4287.3         1593.6        184.672
