Summary_file = Dalby600.sum
Title = Dalby 600mm wet soil
       day      year            lai        biomass          yield         sum_ep
     (day)    (year)      (m^2/m^2)        (kg/ha)        (kg/ha)           (mm)
        50      1958          0.000       3137.704       1175.310        135.745
        48      1959          0.000       5425.670       2163.610        171.031
        48      1960          0.000       4654.322       1847.231        179.587
        53      1961          0.000       4295.893       1382.151        139.372
        48      1962          0.000       5299.670       2101.420        177.902
        50      1963          0.000       3901.504       1556.365        132.416
        50      1964          0.000       3493.634       1137.214        148.590
        51      1965          0.000       3729.352       1236.017        145.539
        50      1966          0.000       5057.178       2002.947        187.484
        51      1967          0.000       4045.291       1266.468        160.901
        51      1968          0.000       3912.576       1481.104        137.571
        48      1969          0.000       4324.787       1374.370        172.350
        47      1970          0.000       5416.000       2156.032        186.419
        47      1971          0.000       4890.071       1940.943        147.114
        52      1972          0.000       5918.601       2349.159        171.730
        47      1973          0.000       4110.246       1250.007        141.806
        47      1974          0.000       4726.203       1875.992        137.750
        48      1975          0.000       4622.286       1713.751        155.783
        49      1976          0.000       4786.248       1900.045        142.438
        47      1977          0.000       3226.591        815.664        123.484
        46      1978          0.000       4454.954       1768.284        152.378
        48      1979          0.000       3810.933       1296.407        131.717
        49      1980          0.000       4526.137       1793.873        158.649
        47      1981          0.000       4408.946       1695.020        143.238
        46      1982          0.000       5206.429       2077.021        180.929
        47      1983          0.000       4513.020       1632.312        165.640
        50      1984          0.000       5106.380       2037.590        155.174
        48      1985          0.000       3263.925        971.429        129.891
        48      1986          0.000       3290.096       1009.703        131.344
        48      1987          0.000       5479.974       2003.374        201.595
        46      1988          0.000       6101.554       2422.510        206.564
        48      1989          0.000       4513.618       1795.131        152.943
        47      1990          0.000       4643.048       1823.556        171.363
        45      1991          0.000       3844.082       1491.620        136.119
        47      1992          0.000       4781.346       1840.242        180.020
        49      1993          0.000       2819.179        748.181        112.232
        51      1994          0.000       4071.336       1485.186        166.433
        50      1995          0.000       5885.581       2343.467        202.294
        49      1996          0.000       6108.771       2422.252        197.897
        49      1997          0.000       3573.739       1051.143        123.429
        46      1998          0.000       4108.910       1551.051        150.893
        48      1999          0.000       4655.794       1846.745        156.125
        55      2000          0.000       6186.370       2455.463        202.717
        48      2001          0.000       3840.059       1503.064        139.906
        48      2002          0.000       3324.076       1131.834        142.533
