Summary_file = oryza-wnl.sum
Title = oryza Sample Simulation - water and N limited
      year       day   plant_status      crop_type   cropsta       dae            dvs            dvr             hu         lrstrs         ldstrs         lestrs           pcew         tnsoil           nflv           fnlv           nacr           ancr           anso           anlv         rnstrs           wagt            wso            wst           wlvg           wlvd           dtga            gcr           rlai           ssga            zrt            eff            etd           etrd           etae            trc
    (year)     (day)             ()             ()        ()        ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()       (mm/day)             ()             ()             ()
      1992         1            out                        0         0          0.000          0.000          0.000          1.000          1.000          1.000          1.000         18.427          0.000          0.000          0.000          0.000          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          4.268          0.000          0.000          0.000
      1992         2            out                        0         0          0.000          0.000          0.000          1.000          1.000          1.000          1.000         19.050          0.000          0.000          0.000          0.000          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          4.173          0.000          0.000          0.000
      1992         3            out                        0         0          0.000          0.000          0.000          1.000          1.000          1.000          1.000         19.753          0.000          0.000          0.000          0.000          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          4.331          0.000          0.000          0.000
      1992         4          alive           rice         2         1          0.014          0.014         17.550          1.000          1.000          1.000          1.000         20.487          0.500          0.025          0.000          0.000          0.000          0.000          1.000          4.219          0.000          1.690          2.530          0.000         16.228          8.399          0.115          0.000          0.010          0.436          4.750          3.562          1.187          0.000
      1992         5          alive           rice         2         2          0.027          0.013         17.300          1.000          1.000          1.000          1.000         21.214          0.500          0.025          0.000          0.000          0.000          0.000          1.000          8.442          0.000          3.379          5.063          0.000         16.240          8.315          0.132          0.000          0.020          0.437          2.985          2.239          0.746          0.000
      1992         6          alive           rice         2         3          0.040          0.013         16.650          1.000          1.000          1.000          1.000         21.902          0.500          0.025          0.000          0.000          0.000          0.000          1.000         13.911          0.000          5.566          8.344          0.000         20.821         10.604          0.150          0.000          0.030          0.438          3.883          2.912          0.971          0.000
      1992         7          alive           rice         2         4          0.053          0.013         16.600          1.000          1.000          1.000          1.000         22.523          0.500          0.025          0.000          0.000          0.000          0.000          1.000         19.264          0.000          7.708         11.556          0.000         20.314         10.233          0.172          0.000          0.040          0.442          2.672          2.004          0.668          0.000
      1992         8          alive           rice         2         5          0.067          0.014         18.000          1.000          1.000          1.000          1.000         23.080          0.500          0.025          0.000          0.000          0.000          0.000          1.000         26.582          0.000         10.635         15.947          0.000         27.470         13.792          0.198          0.000          0.050          0.432          4.385          3.289          1.096          0.000
      1992         9          alive           rice         2         6          0.080          0.013         17.050          1.000          1.000          1.000          1.000         23.578          0.500          0.025          0.000          0.000          0.000          0.000          1.000         35.177          0.000         14.073         21.104          0.000         31.880         15.955          0.227          0.000          0.060          0.436          4.859          3.645          1.215          0.000
      1992        10          alive           rice         2         7          0.093          0.013         17.050          1.000          1.000          1.000          1.000         24.025          0.500          0.025          0.000          0.000          0.000          0.000          1.000         44.014          0.000         17.608         26.406          0.000         32.637         16.174          0.260          0.000          0.070          0.440          3.097          2.323          0.774          0.000
      1992        11          alive           rice         2         8          0.105          0.013         16.250          1.000          1.000          1.000          1.000         24.427          0.500          0.025          0.000          0.000          0.000          0.000          1.000         53.015          0.000         21.208         31.807          0.000         33.024         16.248          0.295          0.000          0.080          0.448          2.377          1.783          0.594          0.000
      1992        12          alive           rice         2         9          0.119          0.013         16.950          1.000          1.000          1.000          1.000         24.796          0.500          0.025          0.000          0.000          0.000          0.000          1.000         63.333          0.000         25.335         37.998          0.000         37.565         18.382          0.338          0.000          0.090          0.444          2.440          1.830          0.610          0.000
      1992        13          alive           rice         2        10          0.132          0.013         17.250          1.000          1.000          1.000          1.000         25.139          0.500          0.025          0.000          0.000          0.000          0.000          1.000         76.694          0.000         30.679         46.014          0.000         47.850         23.483          0.387          0.000          0.100          0.440          3.070          2.303          0.768          0.000
      1992        14          alive           rice         2        11          0.144          0.012         16.100          1.000          1.000          1.000          1.000         25.459          0.500          0.025          0.000          0.000          0.000          0.000          1.000         91.699          0.000         36.682         55.018          0.000         53.020         26.020          0.440          0.000          0.110          0.448          2.781          2.086          0.695          0.000
      1992        15          alive           rice         3        12          0.157          0.012         15.850          1.000          1.000          1.000          1.000         25.771          0.500          0.025          0.000          0.000          0.000          0.000          1.000         31.325          0.000         12.530         18.795          0.000         68.914         34.016          0.055          0.000          0.060          0.443          4.274          3.205          1.068          0.000
      1992        16          alive           rice         4        13          0.157          0.000         16.050          1.000          1.000          0.458          1.000         26.084          0.568          0.056          1.470          1.470          0.000          1.105          1.000         33.046          0.000         13.219         19.824          0.003          9.459          4.321          0.055          0.000          0.070          0.442          4.831          3.624          1.208          0.165
      1992        17          alive           rice         4        14          0.157          0.000         16.100          1.000          1.000          0.458          1.000         24.949          0.568          0.056          0.078          1.548          0.000          1.164          1.000         34.827          0.000         13.931         20.893          0.003          9.832          4.471          0.055          0.000          0.080          0.441          4.329          3.247          1.082          0.148
      1992        18          alive           rice         4        15          0.157          0.000         16.500          1.000          1.000          0.458          1.000         25.208          0.565          0.055          0.066          1.615          0.000          1.214          1.000         36.498          0.000         14.600         21.896          0.003          9.410          4.193          0.059          0.000          0.090          0.440          3.717          2.788          0.929          0.127
      1992        19          alive           rice         4        16          0.157          0.000         16.800          1.000          1.000          0.459          1.000         25.480          0.563          0.055          0.068          1.683          0.000          1.265          1.000         38.135          0.000         15.254         22.878          0.002          9.347          4.105          0.062          0.000          0.100          0.440          3.208          2.406          0.802          0.116
      1992        20          alive           rice         4        17          0.170          0.013         16.867          1.000          1.000          0.459          1.000         25.756          0.626          0.056          0.099          1.782          0.000          1.339          1.000         40.130          0.000         16.052         24.075          0.002         11.174          4.998          0.067          0.000          0.110          0.434          4.737          3.553          1.184          0.183
      1992        21          alive           rice         4        18          0.184          0.014         18.000          1.000          1.000          0.459          1.000         26.012          0.713          0.056          0.105          1.887          0.000          1.419          1.000         42.371          0.000         16.949         25.420          0.002         12.385          5.516          0.071          0.000          0.120          0.434          4.892          3.669          1.223          0.201
      1992        22          alive           rice         4        19          0.197          0.013         17.250          1.000          1.000          0.458          1.000         26.263          0.796          0.056          0.111          1.998          0.000          1.502          1.000         44.810          0.000         17.924         26.883          0.002         13.126          5.887          0.076          0.000          0.130          0.439          3.813          2.860          0.953          0.168
      1992        23          alive           rice         4        20          0.210          0.013         17.200          1.000          1.000          0.458          1.000         26.505          0.883          0.056          0.142          2.140          0.000          1.609          1.000         47.712          0.000         19.085         28.625          0.002         15.147          6.876          0.081          0.000          0.140          0.437          4.321          3.240          1.080          0.203
      1992        24          alive           rice         4        21          0.224          0.013         17.400          1.000          1.000          0.458          1.000         26.721          0.965          0.056          0.132          2.272          0.000          1.709          1.000         50.725          0.000         20.290         30.433          0.002         15.575          7.013          0.087          0.000          0.150          0.436          3.650          2.738          0.913          0.183
      1992        25          alive           rice         4        22          0.237          0.013         17.300          1.000          1.000          0.457          1.000         26.937          1.044          0.056          0.127          2.399          0.000          1.804          1.000         53.725          0.000         21.490         32.233          0.002         15.391          6.853          0.092          0.000          0.160          0.438          3.041          2.280          0.760          0.162
      1992        26          alive           rice         4        23          0.251          0.014         18.305          1.000          1.000          0.456          1.000         43.341          1.148          0.057          0.225          2.624          0.000          1.974          1.000         57.906          0.000         23.163         34.741          0.002         20.617          9.387          0.099          0.000          0.170          0.429          4.935          3.701          1.234          0.281
      1992        27          alive           rice         4        24          0.265          0.013         17.300          1.000          1.000          0.454          1.000         43.552          1.238          0.057          0.233          2.856          0.000          2.150          1.000         62.758          0.000         25.103         37.652          0.002         23.174         10.709          0.106          0.000          0.180          0.437          4.947          3.710          1.237          0.302
      1992        28          alive           rice         4        25          0.277          0.013         16.650          1.000          1.000          0.452          1.000         43.749          1.295          0.056          0.126          2.982          0.000          2.243          1.000         66.647          0.000         26.659         39.986          0.002         18.907          8.451          0.112          0.000          0.190          0.445          2.726          2.045          0.682          0.177
      1992        29          alive           rice         4        26          0.290          0.013         16.850          1.000          1.000          0.451          1.000         44.043          1.371          0.056          0.162          3.145          0.000          2.365          1.000         70.506          0.000         28.203         42.301          0.002         18.705          8.242          0.120          0.000          0.200          0.444          2.440          1.830          0.610          0.168
      1992        30          alive           rice         4        27          0.304          0.014         17.800          1.000          1.000          0.450          1.000         44.300          1.495          0.057          0.374          3.519          0.000          2.649          1.000         76.914          0.000         30.766         46.146          0.002         29.144         13.456          0.128          0.000          0.210          0.436          4.650          3.487          1.162          0.341
      1992        31          alive           rice         4        28          0.318          0.014         18.008          1.000          1.000          0.448          1.000         44.354          1.586          0.058          0.337          3.856          0.000          2.904          1.000         84.114          0.000         33.646         50.466          0.002         32.495         14.882          0.136          0.000          0.220          0.423          5.292          3.969          1.323          0.415
      1992        32          alive           rice         4        29          0.332          0.014         17.600          1.000          1.000          0.444          1.000         44.444          1.624          0.056          0.174          4.031          0.000          3.032          1.000         89.733          0.000         35.893         53.837          0.002         25.786         11.433          0.146          0.000          0.230          0.439          2.816          2.112          0.704          0.235
      1992        33          alive           rice         4        30          0.345          0.013         17.200          1.000          1.000          0.444          1.000         44.698          1.625          0.057          0.354          4.385          0.000          3.300          1.000         96.756          0.000         38.703         58.051          0.002         30.962         14.043          0.155          0.000          0.240          0.441          3.267          2.451          0.817          0.291
      1992        34          alive           rice         4        31          0.359          0.014         17.550          1.000          1.000          0.442          1.000         44.775          1.591          0.056          0.218          4.603          0.000          3.462          1.000        102.810          0.000         41.124         61.684          0.002         27.231         11.909          0.165          0.000          0.250          0.439          2.543          1.908          0.636          0.241
      1992        35          alive           rice         4        32          0.372          0.013         17.350          1.000          1.000          0.464          1.000         44.927          1.577          0.056          0.286          4.889          0.000          3.677          1.000        109.222          0.000         43.689         65.531          0.002         27.790         12.101          0.177          0.000          0.260          0.441          2.389          1.792          0.597          0.241
      1992        36          alive           rice         4        33          0.386          0.014         17.838          1.000          1.000          0.438          1.000         45.060          1.608          0.058          0.630          5.519          0.000          4.156          1.000        119.967          0.000         47.987         71.977          0.003         44.357         20.459          0.188          0.000          0.270          0.432          4.621          3.466          1.155          0.497
      1992        37          alive           rice         4        34          0.400          0.014         18.150          1.000          1.000          0.435          1.000         44.862          1.578          0.057          0.421          5.941          0.000          4.472          1.000        130.299          0.000         52.120         78.176          0.003         42.809         19.368          0.201          0.000          0.280          0.432          3.814          2.860          0.953          0.436
      1992        38          alive           rice         4        35          0.413          0.014         17.594          0.999          1.000          0.433          1.000         44.887          1.579          0.057          0.583          6.523          0.000          4.913          1.000        143.128          0.000         57.251         85.874          0.003         51.495         23.651          0.214          0.000          0.290          0.428          5.001          3.751          1.250          0.610
      1992        39          alive           rice         4        36          0.427          0.013         17.500          0.995          1.000          0.429          1.000         44.764          1.563          0.057          0.553          7.077          0.000          5.329          1.000        156.954          0.000         62.782         94.169          0.003         54.618         25.127          0.228          0.000          0.300          0.434          4.813          3.610          1.203          0.623
      1992        40          alive           rice         4        37          0.440          0.013         17.650          0.990          1.000          0.425          1.000         44.681          1.536          0.056          0.476          7.553          0.000          5.685          1.000        170.452          0.000         68.181        102.268          0.003         53.417         24.187          0.242          0.000          0.310          0.436          4.038          3.028          1.009          0.555
      1992        41          alive           rice         4        38          0.454          0.014         18.000          0.985          1.000          0.424          1.000         65.626          1.529          0.055          0.649          8.201          0.000          6.175          1.000        186.114          0.000         74.446        111.665          0.003         60.877         27.684          0.258          0.000          0.320          0.432          4.869          3.652          1.217          0.711
      1992        42          alive           rice         4        39          0.467          0.013         17.200          0.974          1.000          0.422          1.000         65.504          1.513          0.055          0.648          8.849          0.000          6.662          1.000        202.949          0.000         81.180        121.766          0.003         64.414         29.417          0.274          0.000          0.330          0.435          4.770          3.577          1.192          0.740
      1992        43          alive           rice         4        40          0.480          0.013         17.437          0.964          1.000          0.419          1.000         65.382          1.499          0.054          0.703          9.552          0.000          7.191          1.000        221.263          0.000         88.506        132.754          0.004         69.624         31.652          0.291          0.000          0.340          0.431          5.421          4.066          1.355          0.891
      1992        44          alive           rice         4        41          0.493          0.013         17.710          0.952          1.000          0.416          1.000         65.208          1.482          0.053          0.704         10.256          0.000          7.721          1.000        240.529          0.000         96.212        144.313          0.004         72.985         32.961          0.309          0.000          0.350          0.431          5.335          4.001          1.334          0.929
      1992        45          alive           rice         4        42          0.507          0.014         17.950          0.940          1.000          0.412          1.000         65.040          1.462          0.053          0.691         10.947          0.000          8.239          1.000        260.311          0.000        104.125        156.182          0.004         74.836         33.497          0.328          0.000          0.360          0.432          4.851          3.639          1.213          0.895
      1992        46          alive           rice         4        43          0.521          0.014         17.894          0.930          1.000          0.409          1.000         64.891          1.436          0.052          0.595         11.542          0.000          8.675          1.000        279.413          0.000        111.926        167.483          0.004         73.184         31.986          0.349          0.000          0.370          0.426          4.263          3.197          1.066          0.834
      1992        47          alive           rice         4        44          0.534          0.013         17.649          0.923          1.000          0.407          1.000         64.841          1.428          0.051          0.845         12.387          0.000          9.286          1.000        301.904          0.000        121.476        180.423          0.005         83.609         37.220          0.370          0.000          0.380          0.428          5.136          3.852          1.284          1.064
      1992        48          alive           rice         4        45          0.548          0.014         18.097          0.912          1.000          0.403          1.000         64.546          1.408          0.051          0.743         13.130          0.000          9.807          1.000        325.114          0.000        131.706        193.404          0.005         86.959         38.025          0.393          0.000          0.390          0.423          5.155          3.867          1.289          1.130
      1992        49          alive           rice         4        46          0.561          0.013         17.597          0.900          1.000          0.398          1.000         64.360          1.391          0.050          0.791         13.921          0.000         10.349          1.000        349.700          0.000        142.945        206.750          0.005         91.023         39.862          0.416          0.000          0.400          0.423          5.068          3.801          1.267          1.176
      1992        50          alive           rice         4        47          0.574          0.013         17.715          0.890          1.000          0.394          1.000         64.134          1.376          0.049          0.866         14.787          0.000         10.932          1.000        376.491          0.000        155.622        220.864          0.005         97.661         43.008          0.441          0.000          0.400          0.426          5.433          4.075          1.358          1.331
      1992        51          alive           rice         4        48          0.587          0.013         16.942          0.874          1.000          0.388          1.000         63.839          1.358          0.049          0.841         15.629          0.000         11.481          1.000        404.364          0.000        169.260        235.098          0.006        100.491         44.380          0.466          0.000          0.400          0.428          4.971          3.728          1.243          1.286
      1992        52          alive           rice         4        49          0.599          0.012         16.000          0.992          1.000          0.443          1.000         63.558          1.326          0.048          0.000         15.629          0.000         11.481          1.000        416.300          0.000        175.284        241.010          0.006         48.732         17.894          0.494          0.000          0.400          0.453          1.331          0.999          0.333          0.362
      1992        53          alive           rice         4        50          0.612          0.013         17.000          1.000          1.000          0.459          1.000         64.080          1.317          0.047          0.834         16.463          0.000         11.974          1.000        441.668          0.000        188.457        253.205          0.006         87.158         37.155          0.526          0.000          0.400          0.442          2.743          2.057          0.686          0.788
      1992        54          alive           rice         4        51          0.626          0.013         17.500          0.990          1.000          0.434          1.000         63.750          1.327          0.048          1.497         17.960          0.000         12.916          1.000        480.745          0.000        209.352        271.270          0.123        127.655         57.507          0.560          0.000          0.400          0.435          5.633          4.224          1.408          1.719
      1992        55          alive           rice         4        52          0.638          0.013         16.850          0.969          1.000          0.422          1.000         62.744          1.311          0.047          1.188         19.148          0.000         13.615          1.000        522.361          0.000        232.267        289.711          0.383        134.761         60.978          0.594          0.000          0.400          0.438          5.335          4.001          1.334          1.725
      1992        56          alive           rice         4        53          0.651          0.013         16.800          0.939          1.000          0.411          1.000         62.034          1.295          0.046          1.103         20.251          0.000         14.236          1.000        564.616          0.000        256.182        307.635          0.800        137.207         61.635          0.629          0.000          0.400          0.441          4.755          3.566          1.189          1.623
      1992        57          alive           rice         4        54          0.663          0.012         14.850          0.914          1.000          0.401          1.000         61.410          1.313          0.045          0.838         21.089          0.000         14.672          1.000        603.187          0.000        278.601        323.197          1.389        124.987         55.948          0.661          0.000          0.400          0.453          3.341          2.505          0.835          1.202
      1992        58          alive           rice         4        55          0.675          0.012         15.400          0.896          1.000          0.394          1.000         61.048          1.352          0.045          1.413         22.502          0.000         15.442          1.000        650.718          0.000        306.892        341.677          2.149        150.687         68.467          0.695          0.000          0.400          0.446          4.543          3.407          1.136          1.710
      1992        59          alive           rice         4        56          0.688          0.013         16.500          0.872          1.000          0.384          1.000         60.111          1.381          0.045          1.197         23.699          0.000         16.046          1.000        700.149          0.000        337.030        360.012          3.107        158.082         70.837          0.733          0.000          0.400          0.438          4.677          3.508          1.169          1.843
      1992        60          alive           rice         4        57          0.701          0.014         17.600          0.843          1.000          0.374          0.879         59.387          1.398          0.043          0.533         24.233          0.000         16.238          1.000        739.822          0.000        361.835        373.696          4.291        133.855         56.524          0.773          0.000          0.400          0.436          3.919          2.939          0.980          1.619
      1992        61          alive           rice         4        58          0.716          0.014         18.088          0.819          1.000          0.365          0.860         59.336          1.436          0.043          1.005         25.238          0.000         16.682          1.000        784.529          0.000        390.527        388.288          5.714        149.342         63.135          0.817          0.000          0.400          0.428          4.836          3.627          1.209          2.098
      1992        62          alive           rice         4        59          0.729          0.014         17.500          0.788          1.000          0.355          0.836         58.833          1.468          0.042          0.917         26.155          0.000         17.044          1.000        830.932          0.000        421.098        402.436          7.398        154.082         65.039          0.860          0.000          0.400          0.425          4.937          3.703          1.234          2.250
      1992        63          alive           rice         4        60          0.744          0.014         18.027          0.756          1.000          0.344          0.811         58.429          1.499          0.042          0.809         26.965          0.000         17.320          1.000        877.318          0.000        452.420        415.546          9.351        155.232         64.562          0.905          0.000          0.400          0.425          4.800          3.600          1.200          2.290
      1992        64          alive           rice         4        61          0.758          0.014         18.102          0.725          1.000          0.333          0.787         58.128          1.535          0.041          0.926         27.891          0.000         17.617          1.000        928.440          0.000        487.808        429.043         11.588        167.253         70.587          0.952          0.000          0.400          0.428          5.792          4.344          1.448          2.892
      1992        65          alive           rice         4        62          0.771          0.014         17.329          0.686          1.000          0.319          0.757         57.706          1.564          0.040          0.654         28.545          0.016         17.750          1.000        978.578          0.928        522.441        441.083         14.126        165.567         68.807          0.996          0.000          0.400          0.424          5.443          4.082          1.361          2.841
      1992        66          alive           rice         4        63          0.785          0.014         17.849          0.649          1.000          0.307          0.728         57.548          1.709          0.039          0.577         29.122          0.061         17.826          1.000       1028.503          3.480        556.112        451.951         16.960        166.092         68.071          1.043          0.000          0.400          0.426          5.413          4.059          1.353          2.941
