Summary_file = soiln2.sum
Title = SoilN2 Sample Simulation
    day   year          no3()          nh4()       biom_n()        fom_n()
  (day) (year)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)
      1   1988         83.310          7.349        116.269         19.239
      2   1988         84.933          6.176        116.791         18.426
      3   1988         86.361          5.269        117.309         17.569
      4   1988         87.644          4.629        117.826         16.621
      5   1988         88.807          4.125        118.273         15.738
      6   1988         89.861          3.708        118.634         14.960
      7   1988         90.811          3.352        118.917         14.292
      8   1988         91.679          3.063        119.149         13.687
      9   1988         92.506          2.833        119.346         13.106
     10   1988         93.306          2.676        119.518         12.525
     11   1988         94.085          2.563        119.655         11.965
     12   1988         94.847          2.477        119.757         11.436
     13   1988         95.592          2.400        119.825         10.949
     14   1988         96.317          2.321        119.863         10.508
     15   1988         97.017          2.234        119.876         10.112
     16   1988         97.678          2.148        119.871          9.762
     17   1988         98.337          2.086        119.848          9.416
     18   1988         98.998          2.072        119.805          9.061
     19   1988         99.665          2.074        119.743          8.713
     20   1988         99.975          2.116        119.695          8.421
     21   1988        100.514          2.137        119.614          8.096
     22   1988        101.145          2.135        119.510          7.780
     23   1988        101.813          2.126        119.390          7.488
     24   1988        102.508          2.133        119.249          7.203
     25   1988        103.206          2.138        119.095          6.933
     26   1988        103.893          2.113        118.940          6.689
     27   1988        104.564          2.074        118.783          6.466
     28   1988        105.218          2.032        118.623          6.258
     29   1988        105.847          1.974        118.468          6.070
     30   1988        106.452          1.928        118.309          5.893
