Summary_file=stylo.sum
Title =stylo sample simulation
    day   year            lai        biomass  green_biomass
  (day) (year)      (m^2/m^2)        (kg/ha)        (kg/ha)
    310   1988          0.000          0.000          0.000
    311   1988          0.000          0.000          0.000
    312   1988          0.000          0.000          0.000
    313   1988          0.000          0.000          0.000
    314   1988          0.000          0.000          0.000
    315   1988          0.000          0.000          0.000
    316   1988          0.000          0.000          0.000
    317   1988          0.000          0.000          0.000
    318   1988          0.000          0.000          0.000
    319   1988          0.000          0.000          0.000
    320   1988          0.000          0.000          0.000
    321   1988          0.000          0.000          0.000
    322   1988          0.005         10.000         10.000
    323   1988          0.005         10.332         10.332
    324   1988          0.006         10.695         10.695
    325   1988          0.006         11.000         11.000
    326   1988          0.006         11.350         11.350
    327   1988          0.006         11.690         11.690
    328   1988          0.007         12.117         12.117
    329   1988          0.007         12.563         12.563
    330   1988          0.007         13.020         13.020
    331   1988          0.008         13.491         13.491
    332   1988          0.008         13.946         13.946
    333   1988          0.008         14.473         14.473
    334   1988          0.009         15.039         15.039
    335   1988          0.009         15.650         15.650
    336   1988          0.010         16.263         16.263
    337   1988          0.010         16.894         16.894
    338   1988          0.010         17.457         17.457
    339   1988          0.011         18.138         18.138
    340   1988          0.011         18.848         18.848
    341   1988          0.012         19.525         19.525
    342   1988          0.012         20.033         20.033
    343   1988          0.013         20.488         20.488
    344   1988          0.013         21.136         21.136
    345   1988          0.014         21.860         21.860
    346   1988          0.014         22.715         22.715
    347   1988          0.015         23.443         23.443
    348   1988          0.015         24.313         24.313
    349   1988          0.016         25.255         25.255
    350   1988          0.017         26.177         26.177
    351   1988          0.017         26.847         26.847
    352   1988          0.017         27.287         27.287
    353   1988          0.018         27.776         27.776
    354   1988          0.019         28.759         28.759
    355   1988          0.019         29.832         29.832
    356   1988          0.020         31.014         31.014
    357   1988          0.021         32.154         32.154
    358   1988          0.022         33.370         33.370
    359   1988          0.023         34.615         34.615
    360   1988          0.024         35.976         35.976
    361   1988          0.025         37.417         37.417
    362   1988          0.026         38.600         38.600
    363   1988          0.027         40.236         40.236
    364   1988          0.028         41.843         41.843
    365   1988          0.029         43.408         43.408
    366   1988          0.030         45.010         45.010
      1   1989          0.031         46.751         46.751
      2   1989          0.032         48.018         48.018
      3   1989          0.034         49.670         49.670
      4   1989          0.035         51.674         51.674
      5   1989          0.037         53.881         53.881
      6   1989          0.038         55.338         55.338
      7   1989          0.039         57.225         57.225
      8   1989          0.041         59.453         59.453
      9   1989          0.042         61.759         61.759
     10   1989          0.044         64.494         64.494
     11   1989          0.046         66.924         66.924
     12   1989          0.048         69.811         69.811
     13   1989          0.050         72.816         72.816
     14   1989          0.052         75.584         75.584
     15   1989          0.054         78.665         78.665
     16   1989          0.057         81.873         81.873
     17   1989          0.058         85.311         85.311
     18   1989          0.060         88.988         88.988
     19   1989          0.062         92.852         92.852
     20   1989          0.064         96.169         96.169
     21   1989          0.066        100.172        100.172
     22   1989          0.067        103.100        103.100
     23   1989          0.068        105.769        105.769
     24   1989          0.069        108.420        108.420
     25   1989          0.071        112.423        112.423
     26   1989          0.074        116.952        116.952
     27   1989          0.075        120.635        120.635
     28   1989          0.077        125.080        125.080
     29   1989          0.080        129.717        129.717
     30   1989          0.082        134.892        134.892
     31   1989          0.085        140.314        140.314
     32   1989          0.087        145.408        144.988
     33   1989          0.086        149.311        146.354
     34   1989          0.085        152.945        147.425
     35   1989          0.083        154.578        146.940
     36   1989          0.082        155.644        146.248
     37   1989          0.081        158.627        147.263
     38   1989          0.080        162.243        148.731
     39   1989          0.079        166.681        150.535
     40   1989          0.078        171.391        152.168
     41   1989          0.076        176.247        153.671
     42   1989          0.073        179.822        154.025
     43   1989          0.071        183.211        154.484
     44   1989          0.069        187.515        155.845
     45   1989          0.068        191.814        157.126
     46   1989          0.066        195.988        158.252
     47   1989          0.064        200.034        159.223
     48   1989          0.062        203.759        160.063
     49   1989          0.060        207.301        160.734
     50   1989          0.057        210.811        160.987
     51   1989          0.055        214.238        160.996
     52   1989          0.052        216.749        160.220
     53   1989          0.049        219.447        159.418
     54   1989          0.046        221.835        158.890
     55   1989          0.044        223.694        157.849
     56   1989          0.041        225.999        157.243
     57   1989          0.039        228.181        156.801
     58   1989          0.037        230.217        156.309
     59   1989          0.035        231.572        155.570
     60   1989          0.033        233.117        154.829
     61   1989          0.030        234.746        153.420
     62   1989          0.027        235.901        151.812
     63   1989          0.024        237.052        149.827
     64   1989          0.020        238.003        147.343
     65   1989          0.017        239.084        145.055
     66   1989          0.013        239.978        142.624
     67   1989          0.010        240.655        140.062
     68   1989          0.006        241.175        137.060
     69   1989          0.005        241.504        136.717
     70   1989          0.005        241.786        136.908
     71   1989          0.005        242.061        137.104
     72   1989          0.005        242.336        137.303
     73   1989          0.005        242.587        137.478
     74   1989          0.005        242.843        137.667
     75   1989          0.005        242.972        137.726
     76   1989          0.005        243.076        137.799
     77   1989          0.005        243.218        137.919
     78   1989          0.005        243.416        138.083
     79   1989          0.005        243.653        138.268
     80   1989          0.005        243.914        138.465
     81   1989          0.005        244.167        138.647
     82   1989          0.005        244.425        138.837
     83   1989          0.005        244.675        139.018
     84   1989          0.005        244.837        139.142
     85   1989          0.005        244.939        139.234
     86   1989          0.005        245.092        139.374
     87   1989          0.005        245.092        139.374
     88   1989          0.005        245.092        139.374
     89   1989          0.005        245.092        139.374
     90   1989          0.000          0.000          0.000
     91   1989          0.000          0.000          0.000
     92   1989          0.000          0.000          0.000
     93   1989          0.000          0.000          0.000
     94   1989          0.000          0.000          0.000
     95   1989          0.000          0.000          0.000
     96   1989          0.000          0.000          0.000
     97   1989          0.000          0.000          0.000
     98   1989          0.000          0.000          0.000
     99   1989          0.000          0.000          0.000
    100   1989          0.000          0.000          0.000
