ApsimVersion = 6.1
Title = test
           year     dd/mm/yyyy DaysAfterSowing          Stage            LAI        Biomass          Yield      biomass_n    swdef_expan    nfact_expan    swdef_pheno    nfact_pheno   dlt_dm_light   dlt_dm_water         dlt_dm  extinct_coeff
         (year)             ()          (days)             ()        (m2/m2)        (kg/ha)        (kg/ha)        (g/m^2)            (?)             ()            (?)             ()            (?)            (?)            (?)            (?)
           1989     01/11/1989               1          1.999          0.000            0.0            0.0           0.00          0.000          1.000          0.000          0.000              ?              ?              ?              ?
           1989     02/11/1989               2          2.000          0.000            0.0            0.0           0.00          0.000          1.000          0.000          0.000              ?              ?              ?              ?
           1989     03/11/1989               3          2.303          0.000            0.0            0.0           0.00          1.000          1.000          1.000          0.000              ?              ?              ?              ?
           1989     04/11/1989               4          2.630          0.000            0.0            0.0           0.00          1.000          1.000          1.000          0.000              ?              ?              ?              ?
           1989     05/11/1989               5          2.964          0.000            0.0            0.0           0.00          1.000          1.000          1.000          0.000              ?              ?              ?              ?
           1989     06/11/1989               6          3.000          0.002           20.0            0.0           0.04          1.000          1.000          1.000          1.000              ?              ?              ?              ?
           1989     07/11/1989               7          3.168          0.008           20.2            0.0           0.05          1.000          1.000          1.000          1.000              ?              ?              ?              ?
           1989     08/11/1989               8          3.252          0.009           21.1            0.0           0.06          1.000          1.000          1.000          1.000              ?              ?              ?              ?
           1989     09/11/1989               9          3.356          0.013           22.3            0.0           0.06          1.000          1.000          1.000          1.000              ?              ?              ?              ?
           1989     10/11/1989              10          3.450          0.016           23.6            0.0           0.07          1.000          1.000          1.000          1.000              ?              ?              ?              ?
           1989     11/11/1989              11          3.555          0.020           25.0            0.0           0.07          1.000          1.000          1.000          1.000              ?              ?              ?              ?
           1989     12/11/1989              12          3.667          0.024           27.3            0.0           0.08          1.000          1.000          1.000          1.000              ?              ?              ?              ?
           1989     13/11/1989              13          3.788          0.028           29.5            0.0           0.08          1.000          1.000          1.000          1.000              ?              ?              ?              ?
           1989     14/11/1989              14          3.920          0.035           32.6            0.0           0.09          1.000          1.000          1.000          1.000              ?              ?              ?              ?
           1989     15/11/1989              15          4.000          0.044           36.6            0.0           0.10          1.000          1.000          1.000          1.000              ?              ?              ?              ?
           1989     16/11/1989              16          4.128          0.055           41.4            0.0           0.12          1.000          1.000          1.000          1.000              ?              ?              ?              ?
           1989     17/11/1989              17          4.231          0.071           47.6            0.0           0.14          1.000          1.000          1.000          1.000              ?              ?              ?              ?
           1989     18/11/1989              18          4.333          0.090           53.5            0.0           0.16          1.000          1.000          1.000          1.000              ?              ?              ?              ?
           1989     19/11/1989              19          4.425          0.112           60.3            0.0           0.19          1.000          1.000          1.000          1.000              ?              ?              ?              ?
           1989     20/11/1989              20          4.498          0.133           70.7            0.0           0.22          1.000          1.000          1.000          1.000              ?              ?              ?              ?
           1989     21/11/1989              21          4.564          0.155           85.3            0.0           0.25          1.000          1.000          1.000          1.000              ?              ?              ?              ?
           1989     22/11/1989              22          4.629          0.180          102.4            0.0           0.29          1.000          1.000          1.000          1.000              ?              ?              ?              ?
           1989     23/11/1989              23          4.687          0.206          118.9            0.0           0.32          1.000          1.000          1.000          1.000              ?              ?              ?              ?
           1989     24/11/1989              24          4.766          0.246          140.4            0.0           0.38          1.000          1.000          1.000          1.000              ?              ?              ?              ?
           1989     25/11/1989              25          4.845          0.292          167.3            0.0           0.44          1.000          1.000          1.000          1.000              ?              ?              ?              ?
           1989     26/11/1989              26          4.914          0.340          197.8            0.0           0.51          1.000          1.000          1.000          1.000              ?              ?              ?              ?
           1989     27/11/1989              27          4.993          0.401          234.0            0.0           0.60          1.000          1.000          1.000          1.000              ?              ?              ?              ?
           1989     28/11/1989              28          5.000          0.459          276.3            0.0           0.69          1.000          1.000          1.000          1.000              ?              ?              ?              ?
           1989     29/11/1989              29          5.067          0.527          327.0            0.0           0.79          1.000          1.000          1.000          1.000              ?              ?              ?              ?
           1989     30/11/1989              30          5.103          0.602          387.1            0.0           0.92          1.000          1.000          1.000          1.000              ?              ?              ?              ?
           1989     01/12/1989              31          5.140          0.687          454.4            0.0           1.05          1.000          1.000          1.000          1.000              ?              ?              ?              ?
           1989     02/12/1989              32          5.185          0.798          528.7            0.0           1.22          1.000          1.000          1.000          1.000              ?              ?              ?              ?
           1989     03/12/1989              33          5.238          0.941          607.7            0.0           1.42          1.000          1.000          1.000          1.000              ?              ?              ?              ?
           1989     04/12/1989              34          5.292          1.099          686.4            0.0           1.66          1.000          1.000          1.000          1.000              ?              ?              ?              ?
           1989     05/12/1989              35          5.337          1.232          743.1            0.0           1.87          1.000          1.000          1.000          1.000              ?              ?              ?              ?
           1989     06/12/1989              36          5.387          1.383          854.5            0.0           2.13          1.000          1.000          1.000          1.000              ?              ?              ?              ?
           1989     07/12/1989              37          5.439          1.536          983.2            0.0           2.40          1.000          1.000          1.000          1.000              ?              ?              ?              ?
           1989     08/12/1989              38          5.485          1.666         1122.6            0.0           2.66          1.000          1.000          1.000          1.000              ?              ?              ?              ?
           1989     09/12/1989              39          5.527          1.779         1258.0            0.0           2.91          1.000          1.000          1.000          1.000              ?              ?              ?              ?
           1989     10/12/1989              40          5.573          1.892         1419.3            0.0           3.16          1.000          1.000          1.000          1.000              ?              ?              ?              ?
           1989     11/12/1989              41          5.622          1.999         1595.1            0.0           3.42          1.000          1.000          1.000          1.000              ?              ?              ?              ?
           1989     12/12/1989              42          5.672          2.097         1771.7            0.0           3.66          1.000          1.000          1.000          1.000              ?              ?              ?              ?
           1989     13/12/1989              43          5.726          2.185         1947.3            0.0           3.89          1.000          1.000          1.000          1.000              ?              ?              ?              ?
           1989     14/12/1989              44          5.775          2.254         2067.8            0.0           4.06          1.000          1.000          1.000          1.000              ?              ?              ?              ?
           1989     15/12/1989              45          5.816          2.303         2197.6            0.0           4.23          1.000          1.000          1.000          1.000              ?              ?              ?              ?
           1989     16/12/1989              46          5.854          2.341         2351.1            0.0           4.40          1.000          1.000          1.000          1.000              ?              ?              ?              ?
           1989     17/12/1989              47          5.888          2.371         2523.7            0.0           4.60          1.000          1.000          1.000          1.000              ?              ?              ?              ?
           1989     18/12/1989              48          5.926          2.401         2718.3            0.0           4.81          1.000          1.000          1.000          1.000              ?              ?              ?              ?
           1989     19/12/1989              49          5.966          2.426         2922.6            0.0           5.04          1.000          1.000          1.000          1.000              ?              ?              ?              ?
           1989     20/12/1989              50          6.000          2.445         3134.1            0.0           5.30          1.000          1.000          1.000          1.000              ?              ?              ?              ?
           1989     21/12/1989              51          6.088          2.445         3351.3            0.0           5.55          1.000          1.000          1.000          1.000              ?              ?              ?              ?
           1989     22/12/1989              52          6.165          2.445         3542.2            0.0           5.77          1.000          1.000          1.000          1.000              ?              ?              ?              ?
           1989     23/12/1989              53          6.237          2.445         3710.7            0.0           5.96          1.000          1.000          1.000          1.000              ?              ?              ?              ?
           1989     24/12/1989              54          6.322          2.445         3894.0            0.0           6.14          1.000          1.000          1.000          1.000              ?              ?              ?              ?
           1989     25/12/1989              55          6.395          2.445         4053.3            0.0           6.30          1.000          1.000          1.000          1.000              ?              ?              ?              ?
           1989     26/12/1989              56          6.477          2.445         4244.3            0.0           6.47          1.000          1.000          1.000          1.000              ?              ?              ?              ?
           1989     27/12/1989              57          6.560          2.445         4451.6            0.0           6.65          1.000          1.000          1.000          1.000              ?              ?              ?              ?
           1989     28/12/1989              58          6.634          2.445         4658.2            0.0           6.83          1.000          1.000          1.000          1.000              ?              ?              ?              ?
           1989     29/12/1989              59          6.706          2.445         4868.0            0.0           7.01          1.000          1.000          1.000          1.000              ?              ?              ?              ?
           1989     30/12/1989              60          6.777          2.445         5076.4            0.0           7.18          1.000          1.000          1.000          1.000              ?              ?              ?              ?
           1989     31/12/1989              61          6.848          2.445         5287.9            0.0           7.36          1.000          1.000          1.000          1.000              ?              ?              ?              ?
           1990     01/01/1990              62          6.922          2.445         5501.4            0.0           7.53          1.000          1.000          1.000          1.000              ?              ?              ?              ?
           1990     02/01/1990              63          6.992          2.445         5723.2            0.0           7.70          1.000          1.000          1.000          1.000              ?              ?              ?              ?
           1990     03/01/1990              64          7.000          2.445         5943.6            0.0           7.86          1.000          1.000          1.000          1.000              ?              ?              ?              ?
           1990     04/01/1990              65          7.419          2.445         6162.8            0.0           8.05          1.000          1.000          1.000          1.000              ?              ?              ?              ?
           1990     05/01/1990              66          7.642          2.445         6346.4            0.0           8.11          1.000          1.000          1.000          1.000              ?              ?              ?              ?
           1990     06/01/1990              67          7.864          2.445         6539.3            0.0           8.16          1.000          1.000          1.000          1.000              ?              ?              ?              ?
           1990     07/01/1990              68          8.000          2.445         6740.7            0.0           8.21          1.000          1.000          1.000          1.000              ?              ?              ?              ?
           1990     08/01/1990              69          8.039          2.445         6946.7           92.7           8.24          1.000          1.000          1.000          1.000              ?              ?              ?              ?
           1990     09/01/1990              70          8.066          2.445         7141.0          205.4           8.27          1.000          1.000          1.000          1.000              ?              ?              ?              ?
           1990     10/01/1990              71          8.094          2.445         7324.5          338.8           8.31          1.000          1.000          1.000          1.000              ?              ?              ?              ?
           1990     11/01/1990              72          8.122          2.445         7467.1          480.5           8.36          1.000          1.000          1.000          1.000              ?              ?              ?              ?
           1990     12/01/1990              73          8.149          2.445         7638.9          658.8           8.48          1.000          1.000          1.000          1.000              ?              ?              ?              ?
           1990     13/01/1990              74          8.177          2.445         7816.5          864.4           8.66          1.000          1.000          1.000          1.000              ?              ?              ?              ?
           1990     14/01/1990              75          8.205          2.445         7993.3         1075.2           8.84          1.000          1.000          1.000          1.000              ?              ?              ?              ?
           1990     15/01/1990              76          8.232          2.445         8190.8         1294.4           9.02          1.000          1.000          1.000          1.000              ?              ?              ?              ?
           1990     16/01/1990              77          8.260          2.445         8348.0         1497.3           9.23          1.000          1.000          1.000          1.000              ?              ?              ?              ?
           1990     17/01/1990              78          8.288          2.445         8512.8         1703.4           9.42          1.000          1.000          1.000          1.000              ?              ?              ?              ?
           1990     18/01/1990              79          8.315          2.445         8695.8         1916.7           9.61          1.000          1.000          1.000          1.000              ?              ?              ?              ?
           1990     19/01/1990              80          8.343          2.443         8883.0         2131.7           9.79          1.000          1.000          1.000          1.000              ?              ?              ?              ?
           1990     20/01/1990              81          8.371          2.404         9079.2         2350.4           9.95          1.000          1.000          1.000          1.000              ?              ?              ?              ?
           1990     21/01/1990              82          8.398          2.350         9261.8         2563.6          10.11          1.000          1.000          1.000          1.000              ?              ?              ?              ?
           1990     22/01/1990              83          8.426          2.273         9437.9         2774.2          10.27          1.000          1.000          1.000          1.000              ?              ?              ?              ?
           1990     23/01/1990              84          8.454          2.152         9616.8         2985.8          10.41          1.000          1.000          1.000          1.000              ?              ?              ?              ?
           1990     24/01/1990              85          8.479          2.060         9788.8         3183.8          10.51          1.000          1.000          1.000          1.000              ?              ?              ?              ?
