Summary_file = orobanche.sum
Title = orobanchen Sample Simulation
       day      year   faba_biomass         faba_c    day_at     orob_stage         dlt_tt    host_tt_sum parasite_c_demand        biomass    biomass_pot  biomass_emerg
     (day)    (year)        (kg/ha)         (g/m2)        ()             ()          (oCd)          (oCd)            (g/m2)        (kg/ha)        (kg/ha)         (g/m2)
       130      1988          0.000          0.000         0          0.000          0.000          0.000             0.000          0.000          0.000          0.000
       131      1988          0.000          0.000         0          0.000          0.000          0.000             0.000          0.000          0.000          0.000
       132      1988          0.000          0.000         0          0.000          0.000          0.000             0.000          0.000          0.000          0.000
       133      1988          0.000          0.000         0          0.000          0.000          0.000             0.000          0.000          0.000          0.000
       134      1988          0.000          0.000         0          0.000          0.000          0.000             0.000          0.000          0.000          0.000
       135      1988          0.000          0.000         0          0.000          0.000          0.000             0.000          0.000          0.000          0.000
       136      1988          0.000          0.000         0          0.000          0.000          0.000             0.000          0.000          0.000          0.000
       137      1988          0.000          0.000         0          0.000          0.000          0.000             0.000          0.000          0.000          0.000
       138      1988          0.000          0.000         0          0.000          0.000          0.000             0.000          0.000          0.000          0.000
       139      1988          0.000          0.000         0          0.000          0.000          0.000             0.000          0.000          0.000          0.000
       140      1988          0.000          0.000         0          0.000          0.000          0.000             0.000          0.000          0.000          0.000
       141      1988          0.000          0.000         0          0.000          0.000          0.000             0.000          0.000          0.000          0.000
       142      1988         10.000          0.000         1          1.038         10.270         13.300             0.000          0.000          0.000          0.000
       143      1988         12.380          0.000         2          1.072          9.279         26.650             0.000          0.000          0.000          0.000
       144      1988         14.843          0.000         3          1.108          9.583         42.331             0.000          0.000          0.000          0.000
       145      1988         17.616          0.000         4          1.147         10.468         58.881             0.000          0.000          0.000          0.000
       146      1988         21.068          0.000         5          1.180          8.952         71.431             0.000          0.000          0.000          0.000
       147      1988         25.109          0.000         6          1.213          8.964         86.921             0.000          0.000          0.000          0.000
       148      1988         29.767          0.000         7          1.249          9.789        103.350             0.000          0.000          0.000          0.000
       149      1988         34.700          0.000         8          1.283          9.198        117.150             0.000          0.000          0.000          0.000
       150      1988         40.637          0.000         9          1.314          8.359        130.450             0.000          0.000          0.000          0.000
       151      1988         47.832          0.000        10          1.342          7.388        142.450             0.000          0.000          0.000          0.000
       152      1988         55.229          0.000        11          1.370          7.730        156.250             0.000          0.000          0.000          0.000
       153      1988         61.459          0.000        12          1.404          9.168        171.850             0.000          0.000          0.000          0.000
       154      1988         69.167          0.000        13          1.440          9.662        187.500             0.000          0.000          0.000          0.000
       155      1988         77.535          0.000        14          1.477         10.000        203.800             0.000          0.000          0.000          0.000
       156      1988         82.067          0.000        15          1.516         10.484        221.550             0.000          0.000          0.000          0.000
       157      1988         88.882          0.000        16          1.547          8.515        241.319             0.000          0.000          0.000          0.000
       158      1988         98.436          0.000        17          1.579          8.626        258.069             0.000          0.000          0.000          0.000
       159      1988        112.795          0.000        18          1.619         10.608        271.369             0.000          0.000          0.000          0.000
       160      1988        128.845          0.000        19          1.653          9.292        282.719             0.000          0.000          0.000          0.000
       161      1988        147.092          0.000        20          1.687          9.113        295.369             0.000          0.000          0.000          0.000
       162      1988        167.489          0.000        21          1.723          9.804        310.369             0.000          0.000          0.000          0.000
       163      1988        190.692          0.000        22          1.756          8.999        322.769             0.000          0.000          0.000          0.000
       164      1988        212.531          0.000        23          1.784          7.465        332.869             0.000          0.000          0.000          0.000
       165      1988        239.606          0.000        24          1.809          6.582        343.319             0.000          0.000          0.000          0.000
       166      1988        271.750          0.000        25          1.833          6.572        354.369             0.000          0.000          0.000          0.000
       167      1988        309.697          0.000        26          1.858          6.921        366.369             0.000          0.000          0.000          0.000
       168      1988        344.921          0.000        27          1.888          7.891        379.469             0.000          0.000          0.000          0.000
       169      1988        384.437          0.000        28          1.918          8.238        392.819             0.000          0.000          0.000          0.000
       170      1988        429.862          0.000        29          1.952          8.991        407.619             0.000          0.000          0.000          0.000
       171      1988        482.458          0.000        30          1.982          8.247        419.519             0.000          0.000          0.000          0.000
       172      1988        540.596          0.000        31          2.031          7.832        431.869             0.000          0.000          0.000          0.000
       173      1988        604.127          0.000        32          2.099          6.384        445.519             0.000          0.000          0.000          0.000
       174      1988        670.018          0.000        33          2.162          6.032        457.169             0.000          0.000          0.000          0.000
       175      1988        741.040          0.000        34          2.220          5.505        468.669             0.000          0.000          0.000          0.000
       176      1988        814.889          0.000        35          2.282          5.838        481.069             0.000          0.000          0.000          0.000
       177      1988        889.956          0.000        36          2.350          6.457        494.469             0.000          0.000          0.000          0.000
       178      1988        966.761          0.000        37          2.423          6.948        508.169             0.000          0.000          0.000          0.000
       179      1988       1060.527          0.000        38          2.500          7.369        522.869             0.000          0.000          0.000          0.000
       180      1988       1158.688          0.000        39          2.572          6.859        535.269             0.000          0.000          0.000          0.000
